col_0,col_1,col_2,col_3
Kolby Gilles,F,Out indefinitely - Ankle - 3/12/25,"Gilles is nursing an ankle injury, and there is no timetable for recovery."
Grant Nelson,F,Questionable - Knee - 3/15/25,"Nelson exited the contest with a knee injury, and it is unclear if he will suit up for the next game."
Houston Mallette,G,Out indefinitely - Knee - 2/9/25,"Mallette is dealing with a knee injury, and he will miss an undetermined length of time."
Latrell Wrightsell Jr.,G,Out indefinitely - Achilles - 1/31/25,"Wrightsell is out of commission due to ruptured achilles, and he will miss an extended period."
Motiejus Krivas,C,out for season - Leg - 12/31/24,"Krivas has been out of the lineup with a leg injury, and he is expected to miss the remainder of the season."
Jayden Quaintance,F,Questionable - Knee - 3/12/25,"Quaintance is dealing with a knee injury, and it is unclear if he will be active for next game."
Austin Nunez,G,out for season - Leg - 12/9/24,"Nunez is out of commission due to a foot injury, and he is expected to miss the remainder of the season."
Adou Thiero,F,Out indefinitely - Undisclosed - 3/8/25,"Thiero is dealing with an undisclosed injury, and he will miss an undetermined length of time."
Boogie Fland,G,out of season - Hand - 1/22/25,"Fland is hampered by a hand injury, and he has been shut down for the remainder of the season."
Yanis Ndjonga,F,Out indefinitely - Knee - 3/12/25,"Ndjonga has been sidelined with a knee injury, and he will miss an undetermined length of time."
Josh Ojianwuna,F,out for season - Knee - 3/12/25,"Ojianwuna will undergo knee surgery, and has been shut down for the remainder of the season."
Dominic Parolin,F,out of season - Redshirt - 11/7/24,Parolin has been shut down for the remainder of the season with a Redshirt.
Roger McFarlane,G,Questionable - Hip - 3/8/25,"McFarlane is dealing with a hip injury, and it is unclear if he will be active for the next game."
Trey Thomas,G,out for season - Leg - 2/21/25,"Thomas is out of action with a broken leg, and he has been shut down for the remainder of the season."
Nana Owusu-Anane,F,Out indefinitely - Shoulder - 10/16/24,"Owusu-Anane is sidelined with a shoulder injury, and he will miss an undetermined length of time."
Quin Berger,G,out for season - Knee - 10/16/24,"Berger is out of action with a knee injury, and he will be idle for the remainder of the season"
Augusto Cassia,F,Out indefinitely - Knee - 3/12/25,"Cassia is out of commission due to a torn ligament in his right knee, and there is no timetable for return."
Jeremiah Wilkinson,G,Questionable - Concussion - 3/12/25,"Wilkinson is battling a concussion, and it is unclear if he will dress for the next game."
Jovan Blacksher Jr.,G,Questionable - Undisclosed - 3/12/25,"Blacksher is hampered by an undisclosed injury, and it is unclear if he will suit up for the next contest."
Joshua Ola-Joseph,F,Out indefinitely - Undisclosed - 3/12/25,"Ola-Joseph is is out of commission due to an undisclosed injury, and there is no timetable for recovery."
Devin Curtis,F,Out indefinitely - Undisclosed - 3/12/25,"Curtis is battling an undisclosed injury, and the team officials have yet to provide an exact return date."
BJ Omot,F,out for season - Undisclosed - 3/12/25,"Omot is out of commission due to an undisclosed injury, and he is expected to miss the remainder of the season."
Mikey Williams,G,Questionable - Undisclosed - 3/13/25,"Williams is dealing with an undisclosed injury, and it is unclear if he will be active for next game."
Rokas Jocius,F,Out indefinitely - Foot - 3/13/25,"Jocius has been sidelined with a foot injury, and he will miss an undetermined length of time."
Jaylin Sellers,G,Out indefinitely - Undisclosed - 2/8/25,"Sellers has been sidelined with an undisclosed injury, and it is unknown how long he will be debilitated."
Cameron Simpson,G,Out indefinitely - Undisclosed - 12/21/24,"Simpson has been sidelined with an undisclosed injury, and he is without a definitive timetable for return."
Jeremiah Oden,F,out for season - Undisclosed - 3/12/25,Oden is likely to miss the remainder of the season due to an undisclosed injury.
Tyler McKinley,F,out for season - Leg - 3/12/25,"McKinley is out of action with a lower leg injury, and he is expected to miss the remainder of the season."
Connor Hickman,G,out for season - Foot - 3/12/25,"Hickman is out of action with a foot injury, and he is expected to miss the remainder of the season."
Fedor Zugic,G,Questionable - Ankle - 3/15/25,"Zugic exited the contest with an ankle injury, and it remains to be seen if he will return to action for the next game."
Pop Isaacs,G,out of season - Hip - 12/7/24,"Isaacs will undergo a hip surgery, and he will miss the rest of the season."
Larry Johnson,G,Out indefinitely - Knee - 11/27/24,"Johnson has been sidelined with a knee injury, and it is unclear when he will return to action."
David Skogman,F,out for season - Undisclosed - 3/12/25,"Skogman is out of action with an undisclosed injury, and he has been shut down for the remainder of the season."
Garfield Turner,F,out for season - Knee - 10/16/24,"Turner is out of commission due to a knee injury, and he is projected to miss the remainder of the season."
Cooper Flagg,G,Questionable - Ankle - 3/14/25,"Flagg is managing an ankle injury, and it is unknown if he will play the next game."
Jake DiMichele,G,Ques Sat - Undisclosed - 3/5/25,"DiMichele is managing with an undisclosed injury, and it has yet to be established if he will kit up against the Saint Louis Billikens on Saturday."
Callum Richard,C,Out indefinitely - Illness - 2/9/25,"Richard has been out of lineup due to an illness, and there is no timetable for return."
Julien Soumaoro,G,Out indefinitely - Personal - 2/9/25,"Soumaoro is dealing with personal reasons, and he will miss an undetermined length of time."
Sam Alexis,F,Out indefinitely - Undisclosed - 3/2/25,"Alexis is dealing with an undisclosed injury, and it is unclear how long he will be idle."
Max Langenfeld,F,Out indefinitely - Undisclosed - 1/22/25,"Langenfeld is nursing an undisclosed injury, and he will miss an undetermined length of time."
Amar Amkou,G,Out indefinitely - Undisclosed - 1/22/25,"Amkou underwent surgery on an undisclosed injury, and it is unknown how long he will be debilitated."
Mantas Kocanas,C,Out indefinitely - Undisclosed - 1/22/25,"Kocanas underwent surgery on an undisclosed injury, and the team officials have yet to provide an exact return date."
Okechukwu Okeke,F,Out indefinitely - Undisclosed - 1/4/25,"Okeke has been sidelined with an undisclosed injury, and he will miss an undetermined length of time."
Daquan Davis,G,Questionable - Undisclosed - 3/12/25,"Davis is managing an undisclosed injury, and and it is unclear if he will be active for next game."
