Player,Team,PPG,APG,RPG,3PM,Games
Spivey Word,CORB,32.0,0.0,2.0,2.0,1
Walter Peggs Jr.,SPRHILL,30.0,1.0,3.0,7.0,1
Marcus Tomashek,MTU,30.0,2.0,8.0,4.0,1
Jonathan Grimsley,MDEV,27.0,1.0,6.0,1.0,1
Peyton Dulin,TEXAS,25.0,2.0,6.0,5.0,1
Eric Dixon,VILL,23.0,2.0,5.2,2.9,1
Trent McLaughlin,NAU,22.3,3.4,3.5,3.0,1
Jaylin McCants,DUB,22.0,0.0,2.0,5.0,1
Ja'Maris Blackmon,JES,22.0,1.0,0.0,4.0,1
Jaden Gray,MOR,22.0,3.0,3.0,4.0,1
Jordan Bell,OAKWO,22.0,3.5,8.0,2.5,1
Jeremy Arnum,FLORI,22.0,2.0,10.0,6.0,1
Sherman Brashear,HAWAIIPAC,22.0,0.0,7.0,5.0,1
Ray Cuevas,BOW,22.0,2.0,2.0,5.0,1
Donavan Brown,FIT,21.8,3.4,4.8,1.8,1
PJ Haggerty,MEM,21.8,3.8,5.8,1.1,1
Jaron Pierre Jr.,JVST,21.5,3.7,5.4,2.9,1
Deondre Dunn,SWCHRISTU,21.5,1.0,5.0,3.5,1
Markus Burton,ND,21.3,3.0,3.6,1.8,1
TY Johnson,UCD,21.1,3.0,4.1,1.2,1
Drew Zalescik,MERCHMAR,21.0,2.0,6.0,2.0,1
Jovan Germain,SUNYMAR,21.0,1.0,5.0,4.0,1
Tate Ivanyo,AND,21.0,3.0,6.0,4.0,1
Brayden Koch,MTTECH,21.0,3.0,3.0,4.0,1
Ethan Robertson,MERCY,21.0,1.0,3.0,4.0,1
Malachi Howard,LZX,21.0,4.0,2.0,4.0,1
Bryan Bayonne,SPA,21.0,2.0,4.0,5.0,1
Damian Garcia,BRESC,20.7,0.7,3.7,2.7,1
Jacksen Moni,NDSU,20.6,3.7,5.6,2.4,1
Donovan Dent,UNM,20.6,6.4,2.3,0.8,1
Barrington Hargress,UCR,20.6,4.0,2.3,2.2,1
Terrence Brown,FDU,20.6,3.2,5.6,1.2,1
Taje' Kelly,CHSO,20.5,2.1,8.9,0.6,1
Nick Martinelli,NU,20.5,1.7,6.2,1.0,1
Lamar Wilkerson,SHSU,20.5,2.1,4.0,3.4,1
Issac Lane,PSUS,20.3,0.0,5.3,0.7,1
Trey Kaufman-Renn,PUR,20.2,2.2,6.2,0.1,1
Maxime Raynaud,STAN,20.1,1.7,10.6,1.9,1
Abdi Bashir Jr.,MONM,20.1,2.2,2.6,3.8,1
Jacob Ognacevic,LIP,20.1,1.4,8.1,1.4,1
Blaise Threatt,WEB,20.0,4.4,5.8,0.7,1
Brice Williams,NEB,20.0,2.8,4.1,1.8,1
Tyrone Woods Jr.,TXCL,20.0,0.0,1.0,3.0,1
William Becker,COLOCS,20.0,1.0,6.0,1.0,1
Paul McMillan IV,CAN,20.0,2.8,3.5,1.2,1
Tre Johnson,TEX,19.8,2.8,3.0,2.7,1
Adam Clark,MRMK,19.8,6.0,4.5,0.6,1
Dylan Darling,IDST,19.8,5.7,3.4,1.9,1
Primo Spears,UTSA,19.8,4.0,1.8,2.1,1
Dominique Daniels Jr.,CBU,19.6,3.1,2.3,1.7,1
Quimari Peterson,ETSU,19.5,3.7,4.5,2.7,1
Blake Harper,HOW,19.5,3.4,6.2,1.3,1
Aniwaniwa Tait-Jones,UCSD,19.5,3.7,5.5,0.4,1
Orlando Gooden,SOUTH,19.5,1.0,2.5,4.5,1
Dre Burroughs,BREWT,19.5,2.5,3.0,3.5,1
Jackie Johnson III,FOR,19.5,2.5,2.9,2.8,1
Dylan Harper,RUTG,19.4,4.0,4.6,1.7,1
Ryan Kalkbrenner,CREI,19.4,1.5,8.8,0.6,1
Malik Thomas,SF,19.3,2.1,3.6,2.0,1
Kam Jones,MARQ,19.3,5.9,4.5,1.9,1
Ray'Sean Taylor,SIUE,19.3,3.8,4.5,2.8,1
John Poulakidas,YALE,19.2,1.3,3.3,3.2,1
Jalen Jackson,PFW,19.2,3.1,4.4,0.9,1
Tariq Francis,NJIT,19.2,3.6,4.3,2.6,1
John Tonje,WISC,19.2,1.8,5.3,2.3,1
Dawson Garcia,MINN,19.2,2.0,7.5,1.6,1
Marquel Sutton,OMA,19.1,1.2,8.0,0.8,1
Bennett Stirtz,DRKE,19.1,5.7,4.4,1.8,1
Nique Clifford,CSU,19.0,4.4,9.7,1.9,1
Brandon Noel,WRST,19.0,1.7,7.7,1.2,1
Jahlen Jack,FTVALLEY,19.0,2.0,2.0,2.0,1
Tyjean Burrell,SFSU,19.0,0.0,3.0,4.0,1
Lavar Miller Jr.,KYSTATE,19.0,2.0,2.0,3.0,1
Cameron Jones,ASBUR,19.0,0.0,7.0,5.0,1
Seth Chargois,HARRI,19.0,1.0,5.0,3.0,1
Josh Talton,HNB,19.0,3.0,0.0,3.0,1
Josiah Fulcher,MIDACU,19.0,3.0,6.0,3.0,1
Cam Clardy,SUL,19.0,1.0,3.0,2.0,1
Justin Reaves,ECCLE,19.0,0.7,4.7,3.3,1
Issac McBride,ORU,19.0,2.5,2.8,2.5,1
Jemel Jones,CSUB,18.9,2.1,3.6,1.1,1
Treysen Eaglestaff,UND,18.9,2.4,2.8,2.5,1
Devin Askew,LBSU,18.9,4.5,4.6,2.1,1
Cooper Flagg,DUKE,18.9,4.1,7.5,1.3,1
Johni Broome,AUB,18.9,3.1,10.6,0.7,1
Reed Bailey,DAV,18.8,3.8,6.1,0.5,1
Jordan Marsh,UNCA,18.8,3.7,4.2,1.4,1
RJ Felton,ECU,18.8,2.5,6.4,2.6,1
Keyshawn Hall,UCF,18.8,2.4,7.1,1.4,1
Austin Benigni,NAVY,18.8,4.3,3.3,1.0,1
Adrian Wooley,KENN,18.8,3.6,5.2,2.2,1
Mark Sears,ALA,18.7,4.9,3.0,2.4,1
Josh Hubbard,MSST,18.7,3.2,2.2,3.2,1
Javon Small,WVU,18.6,5.6,4.1,2.6,1
Rashad King,NE,18.5,3.3,6.1,1.4,1
Rafael Pinzon,BRY,18.5,2.2,3.0,2.7,1
Blaize Darling Jr.,UNKNOWN,18.5,2.5,3.0,0.5,1
Brian Moore Jr.,NORF,18.4,3.1,3.8,0.8,1
Jamir Watkins,FSU,18.4,2.4,5.7,1.7,1
Ante Brzovic,COFC,18.4,2.8,8.1,0.6,1
RJ Luis Jr.,SJU,18.4,2.1,7.2,1.2,1
Stefan Todorovic,PEPP,18.3,2.1,5.5,1.9,1
Hunter Sallis,WAKE,18.3,2.8,5.1,1.3,1
JT Toppin,TTU,18.1,1.2,9.2,0.6,1
Amarri Monroe,QUIN,18.1,1.6,9.1,1.6,1
George Kimble III,EKU,18.0,3.2,3.7,2.6,1
Robert Smith,DSU,18.0,2.9,3.0,2.6,1
Gibson Jimerson,SLU,18.0,0.9,4.7,3.3,1
Eric Panning,HEI,18.0,2.0,7.0,0.0,1
Simeon Cottle,KENN,18.0,3.0,2.4,2.7,1
Tarrence Gaines,MIDACU,18.0,0.0,7.0,4.0,1
DJ Nunnery,TRINI,18.0,2.0,7.0,3.0,1
Cha'Mar Martin,COL,18.0,0.0,3.0,2.0,1
Kalep Crane,TABOR,18.0,1.0,4.0,1.0,1
Ketron Shaw,UMES,18.0,3.1,5.9,0.4,1
Dario Domingos,TXPBAS,18.0,0.0,12.0,0.0,1
James Shoenfelt,TABOR,18.0,1.0,3.0,4.0,1
Elijah Kinney,END,18.0,2.0,2.0,4.0,1
Isaiah Payne,TXA,18.0,4.0,2.0,2.0,1
George Bellevue,JUD,18.0,0.0,8.0,0.0,1
Shaun Williams,OUA,18.0,2.0,1.0,4.0,1
Derek Pranger,COLOCS,18.0,1.0,5.0,4.0,1
Dasilas Jones,PEN,18.0,3.0,2.0,2.0,1
PJay Smith Jr.,FUR,18.0,3.9,4.2,3.4,1
Paul Zilinskas,IUIN,18.0,1.8,2.8,3.0,1
Tyson Degenhart,BOIS,17.9,1.4,6.1,1.3,1
Andrej Stojakovic,CAL,17.9,1.8,4.7,1.4,1
