teamName,playerName,position,updated,injury,injuryStatus
Athletics,K. WaldichukKen Waldichuk,SP,"Thu, Mar 27",Elbow,Expected to be out until at least Jul 1
Athletics,Z. GelofZack Gelof,2B,"Thu, Mar 27",Wrist,Expected to be out until at least May 19
Athletics,M. OtanezMichel Otanez,RP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 25
Athletics,B. BassoBrady Basso,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 15
Athletics,B. HarrisBrett Harris,3B,"Wed, Mar 26",Oblique,Expected to be out until at least Apr 11
Athletics,L. MedinaLuis Medina,SP,"Mon, Feb 17",Elbow,Expected to be out until at least Sep 15
Arizona,K. GinkelKevin Ginkel,RP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 11
Arizona,J. WinderJosh Winder,RP,"Thu, Mar 27",Elbow,Out for the season
Arizona,B. AlexanderBlaze Alexander,2B,"Thu, Mar 27",Oblique,Expected to be out until at least Apr 4
Arizona,K. GravemanKendall Graveman,RP,"Thu, Mar 27",Back,Expected to be out until at least Apr 18
Arizona,T. VieiraThyago Vieira,RP,"Thu, Mar 27",Elbow,Out for the season
Arizona,J. MontgomeryJordan Montgomery,SP,"Wed, Mar 26",Elbow,Out for the season
Arizona,B. WalstonBlake Walston,SP,"Sun, Mar 23",Elbow,Out for the season
Atlanta,R. KerrRaymond Kerr,RP,"Thu, Mar 27",Elbow,Expected to be out until at least Sep 1
Atlanta,R. SalinasRoyber Salinas,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least Aug 1
Atlanta,S. MurphySean Murphy,C,"Wed, Mar 26",Ribs,Expected to be out until at least Apr 14
Atlanta,J. JimenezJoe Jimenez,RP,"Tue, Mar 25",Knee,Expected to be out until at least Aug 1
Atlanta,R. AcunaRonald Acuna,RF,"Tue, Mar 25",Knee,Expected to be out until at least May 1
Atlanta,S. StriderSpencer Strider,SP,"Tue, Mar 25",Elbow,Expected to be out until at least Apr 18
Atlanta,I. AlvarezIgnacio Alvarez,3B,"Tue, Mar 25",Wrist,Expected to be out until at least Apr 4
Baltimore,T. RogersTrevor Rogers,SP,"Thu, Mar 27",Kneecap,Expected to be out until at least Apr 15
Baltimore,C. McDermottChayce McDermott,SP,"Thu, Mar 27",Lat,Expected to be out until at least Apr 15
Baltimore,G. RodriguezGrayson Rodriguez,SP,"Thu, Mar 27",Elbow,Expected to be out until at least May 1
Baltimore,G. HendersonGunnar Henderson,SS,"Thu, Mar 27",Side,Expected to be out until at least Apr 3
Baltimore,A. KittredgeAndrew Kittredge,RP,"Thu, Mar 27",Knee,Expected to be out until at least Jun 15
Baltimore,T. WellsTyler Wells,SP,"Sun, Mar 23",Elbow,Expected to be out until at least Jul 1
Baltimore,K. BradishKyle Bradish,SP,"Fri, Mar 21",Elbow,Expected to be out until at least Aug 1
Boston,K. CrawfordKutter Crawford,SP,"Thu, Mar 27",Knee,Expected to be out until at least May 1
Boston,J. MoranJovani Moran,RP,"Thu, Mar 27",Elbow,Expected to be out until at least Jun 1
Boston,B. BelloBrayan Bello,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 11
