teamName,playerName,position,updated,injury,injuryStatus
Atlanta,Keaton Wallace,PG,"Sun, Mar 30",Shoulder,Expected to be out until at least Apr 1
Atlanta,Jacob Toppin,SF,"Sun, Mar 30",Calf,Expected to be out until at least Apr 1
Atlanta,Larry Nance Jr.,PF,"Wed, Mar 26",Knee,Out for the season
Atlanta,Clint Capela,C,"Sat, Mar 22",Hand,Expected to be out until at least Apr 15
Atlanta,Jalen Johnson,SF,"Wed, Jan 29",Shoulder,Out for the season
Atlanta,Kobe Bufkin,SG,"Wed, Dec 18",Shoulder,Out for the season
Boston,Jaylen Brown,SF,"Sun, Mar 30",Knee,Game Time Decision
Brooklyn,Noah Clowney,PF,"Sun, Mar 30",Ankle,Expected to be out until at least Apr 3
Brooklyn,Day'Ron Sharpe,C,"Sun, Mar 30",Knee,Expected to be out until at least Apr 3
Brooklyn,Cameron Johnson,SF,"Sat, Mar 29",Back,Game Time Decision
Brooklyn,Cam Thomas,SG,"Sat, Mar 15",Hamstring,Out for the season
Brooklyn,De'Anthony Melton,SG,"Wed, Nov 20",Knee,Out for the season
Charlotte,Damion Baugh,SG,"Sun, Mar 30",Hip,Game Time Decision
Charlotte,Seth Curry,SG,"Sat, Mar 29",Knee,Expected to be out until at least Mar 31
Charlotte,Mark Williams,C,"Sat, Mar 29",Rest,Expected to be out until at least Mar 31
Charlotte,Josh Green,SF,"Sat, Mar 29",Shoulder,Expected to be out until at least Mar 31
Charlotte,LaMelo Ball,PG,"Fri, Mar 28",Ankle,Out for the season
Charlotte,Tre Mann,PG,"Thu, Jan 30",Back,Out for the season
Charlotte,Brandon Miller,SG,"Thu, Jan 23",Wrist,Out for the season
Charlotte,Grant Williams,PF,"Sun, Nov 24",Knee,Out for the season
Chicago,E.J. Liddell,SF,"Sun, Mar 30",Illness,Expected to be out until at least Apr 1
Chicago,Josh Giddey,PG,"Sun, Mar 30",Hip,Game Time Decision
Chicago,Kevin Huerter,SG,"Sun, Mar 30",Thumb,Expected to be out until at least Apr 1
Chicago,Lonzo Ball,PG,"Sun, Mar 30",Wrist,Game Time Decision
Chicago,Tre Jones,PG,"Sat, Mar 22",Foot,Expected to be out until at least Apr 6
Chicago,Ayo Dosunmu,PG,"Sun, Mar 2",Shoulder,Out for the season
Cleveland,Emoni Bates,SF,"Sun, Mar 30",Personal,Game Time Decision
Cleveland,Jaylon Tyson,SF,"Sun, Mar 30",Knee,Game Time Decision
Cleveland,Ty Jerome,SG,"Sun, Mar 30",Knee,Game Time Decision
Dallas,Daniel Gafford,C,"Sun, Mar 30",Knee,Game Time Decision
Dallas,Dereck Lively II,C,"Sun, Mar 30",Ankle,Game Time Decision
Dallas,Caleb Martin,SF,"Sun, Mar 30",Hip,Game Time Decision
Dallas,Anthony Davis,C,"Sun, Mar 30",Groin,Game Time Decision
Dallas,Dante Exum,SG,"Wed, Mar 19",Hand,Expected to be out until at least Oct 1
Dallas,Olivier-Maxence Prosper,SF,"Fri, Mar 7",Wrist,Out for the season
Dallas,Kyrie Irving,PG,"Tue, Mar 4",Knee,Out for the season
Denver,Jamal Murray,PG,"Sat, Mar 29",Hamstring,Game Time Decision
Denver,Julian Strawther,SF,"Wed, Mar 19",Knee,Expected to be out until at least Apr 9
Denver,DaRon Holmes II,PF,"Sun, Feb 23",Achilles,Out for the season
Detroit,Ron Harper Jr.,SF,"Sun, Mar 30",Illness,Expected to be out until at least Apr 2
Detroit,Cade Cunningham,SG,"Sun, Mar 30",Calf,Game Time Decision
Detroit,Tobias Harris,PF,"Sun, Mar 30",Achilles,Game Time Decision
Detroit,Jaden Ivey,SG,"Wed, Mar 19",Lower Leg,Expected to be out until at least May 1
Golden St.,Jonathan Kuminga,PF,"Sun, Mar 30",Ankle,Game Time Decision
Golden St.,Gary Payton II,PG,"Thu, Mar 27",Thumb,Expected to be out until at least Apr 8
Indiana,Bennedict Mathurin,SF,"Sun, Mar 30",Calf,Expected to be out until at least Apr 2
Indiana,Isaiah Jackson,C,"Sat, Nov 2",Achilles,Out for the season
L.A. Clippers,Jordan Miller,SF,"Sun, Mar 30",Hamstring,Game Time Decision
L.A. Clippers,Seth Lundy,SG,"Sun, Mar 30",Ankle,Expected to be out until at least Apr 2
L.A. Clippers,Kawhi Leonard,SF,"Sun, Mar 30",Knee,Game Time Decision
L.A. Clippers,Amir Coffey,SF,"Sun, Mar 30",Knee,Game Time Decision
L.A. Lakers,LeBron James,SF,"Sun, Mar 30",Groin,Game Time Decision
L.A. Lakers,Maxi Kleber,C,"Wed, Mar 19",Foot,Expected to be out until at least Apr 11
Memphis,Zyon Pullin,PG,"Sun, Mar 30",Knee,Expected to be out until at least Apr 1
Memphis,Brandon Clarke,C,"Sat, Mar 22",Knee,Out for the season
Miami,Nikola Jovic,PF,"Sun, Mar 30",Hand,Expected to be out until at least Apr 2
Miami,Andrew Wiggins,SF,"Sun, Mar 30",Hamstring,Expected to be out until at least Apr 2
Miami,Alec Burks,PG,"Sun, Mar 30",Back,Game Time Decision
Miami,Kevin Love,PF,"Sun, Mar 30",Personal,Expected to be out until at least Apr 2
Miami,Duncan Robinson,SG,"Sun, Mar 30",Back,Expected to be out until at least Apr 2
Miami,Dru Smith,SG,"Tue, Dec 24",Achilles,Out for the season
Milwaukee,AJ Green,SG,"Sun, Mar 30",Shoulder,Expected to be out until at least Apr 1
Milwaukee,Damian Lillard,PG,"Wed, Mar 26",Calf,Expected to be out until at least Apr 19
Milwaukee,Jericho Sims,C,"Wed, Mar 19",Thumb,Expected to be out until at least Apr 19
Minnesota,Terrence Shannon Jr.,SG,"Sun, Mar 30",Groin,Game Time Decision
New Orleans,CJ McCollum,PG,"Mon, Mar 31",Foot,Game Time Decision
New Orleans,Zion Williamson,PF,"Mon, Mar 31",Back,Game Time Decision
New Orleans,Jordan Hawkins,SG,"Sun, Mar 30",Back,Expected to be out until at least Apr 2
New Orleans,Brandon Boston Jr.,SG,"Sat, Mar 29",Ankle,Expected to be out until at least Apr 2
New Orleans,Trey Murphy III,SF,"Tue, Mar 18",Shoulder,Out for the season
New Orleans,Herbert Jones,SG,"Tue, Feb 11",Shoulder,Out for the season
New Orleans,Dejounte Murray,PG,"Fri, Jan 31",Achilles,Out for the season
New York,Kevin McCullar Jr.,SG,"Sun, Mar 30",Knee,Game Time Decision
New York,Miles McBride,PG,"Sun, Mar 30",Groin,Game Time Decision
New York,Jalen Brunson,PG,"Sun, Mar 30",Ankle,Expected to be out until at least Apr 6
New York,Cameron Payne,PG,"Sun, Mar 30",Ankle,Game Time Decision
New York,Ariel Hukporti,C,"Wed, Mar 19",Knee,Expected to be out until at least Apr 6
Oklahoma City,Aaron Wiggins,SG,"Sun, Mar 30",Achilles,Expected to be out until at least Apr 2
Oklahoma City,Alex Ducas,SG,"Sun, Mar 30",Quadriceps,Expected to be out until at least Apr 2
Oklahoma City,Ousmane Dieng,SF,"Sun, Mar 30",Calf,Expected to be out until at least Apr 2
Oklahoma City,Isaiah Hartenstein,C,"Sun, Mar 30",Hip,Game Time Decision
Oklahoma City,Chet Holmgren,C,"Sun, Mar 30",Hip,Game Time Decision
Oklahoma City,Jaylin Williams,PF,"Sun, Mar 30",Hip,Game Time Decision
Oklahoma City,Ajay Mitchell,PG,"Wed, Mar 19",Toe,Expected to be out until at least Apr 2
Oklahoma City,Nikola Topic,PG,"Thu, Nov 7",Knee,Out for the season
Orlando,Cole Anthony,PG,"Sat, Mar 29",Toe,Game Time Decision
Orlando,Jalen Suggs,SG,"Tue, Mar 4",Knee,Out for the season
Orlando,Moe Wagner,C,"Sun, Dec 22",Knee,Out for the season
Philadelphia,Kyle Lowry,PG,"Mon, Mar 31",Hip,Game Time Decision
Philadelphia,Kelly Oubre Jr.,SG,"Mon, Mar 31",Knee,Game Time Decision
Philadelphia,Tyrese Maxey,PG,"Mon, Mar 31",Finger,Game Time Decision
Philadelphia,Quentin Grimes,SG,"Mon, Mar 31",Rest,Game Time Decision
Philadelphia,Guerschon Yabusele,PF,"Sun, Mar 30",Knee,Game Time Decision
Philadelphia,Andre Drummond,C,"Sat, Mar 29",Toe,Expected to be out until at least Apr 7
Philadelphia,Paul George,SF,"Mon, Mar 17",Groin,Out for the season
Philadelphia,Joel Embiid,C,"Fri, Feb 28",Knee,Out for the season
Philadelphia,Eric Gordon,SF,"Thu, Feb 27",Wrist,Out for the season
Philadelphia,Jared McCain,SG,"Thu, Jan 9",Knee,Out for the season
Phoenix,Kevin Durant,PF,"Sun, Mar 30",Ankle,Game Time Decision
Phoenix,Bradley Beal,SG,"Sat, Mar 29",Hamstring,Expected to be out until at least Apr 1
Portland,Deandre Ayton,C,"Sun, Mar 30",Calf,Game Time Decision
Portland,Scoot Henderson,PG,"Sun, Mar 30",Concussion,Game Time Decision
Portland,Jerami Grant,PF,"Sun, Mar 30",Knee,Game Time Decision
Portland,Bryce McGowens,SF,"Thu, Mar 27",Ribs,Out for the season
Portland,Sidy Cissoko,SF,"Wed, Mar 26",Ankle,Game Time Decision
Portland,Robert Williams III,C,"Fri, Mar 21",Knee,Expected to be out until at least Oct 1
Sacramento,Devin Carter,SG,"Sun, Mar 30",Shoulder,Expected to be out until at least Apr 2
Sacramento,Jake LaRavia,SF,"Fri, Mar 28",Thumb,Expected to be out until at least Apr 6
San Antonio,De'Aaron Fox,PG,"Thu, Mar 13",Finger,Out for the season
San Antonio,Victor Wembanyama,C,"Fri, Feb 21",Shoulder,Out for the season
