PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1628983,1,Shai Gilgeous-Alexander,1610612760,OKC,60,34.2,11.2,21.4,0.525,2.1,5.7,0.374,8.0,9.0,0.896,0.9,4.2,5.2,6.2,1.8,1.0,2.5,32.6,33.2
203507,2,Giannis Antetokounmpo,1610612749,MIL,47,34.1,12.3,20.3,0.606,0.2,0.9,0.2,6.1,10.4,0.589,2.2,9.9,12.1,5.9,0.7,1.3,3.3,30.9,35.3
203999,3,Nikola Jokić,1610612743,DEN,55,36.1,11.0,19.1,0.578,2.0,4.4,0.443,4.9,6.0,0.822,2.9,9.9,12.7,10.4,1.8,0.7,3.3,28.9,42.2
1630162,4,Anthony Edwards,1610612750,MIN,59,36.6,9.1,20.8,0.439,4.1,10.2,0.406,5.2,6.2,0.842,0.8,5.2,6.0,4.6,1.2,0.6,3.4,27.6,24.0
1628369,5,Jayson Tatum,1610612738,BOS,58,36.5,9.1,20.1,0.452,3.6,10.1,0.352,5.0,6.3,0.802,0.7,8.2,8.8,5.8,1.1,0.5,2.9,26.8,27.9
201142,6,Kevin Durant,1610612756,PHX,48,36.8,9.8,18.4,0.529,2.4,6.0,0.399,4.8,5.9,0.819,0.4,5.6,6.0,4.3,0.9,1.3,3.0,26.7,26.5
1630178,7,Tyrese Maxey,1610612755,PHI,52,37.7,9.2,21.0,0.437,3.1,9.2,0.337,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,26.3,23.1
1628973,8,Jalen Brunson,1610612752,NYK,59,35.3,9.1,18.5,0.49,2.3,5.9,0.393,5.6,6.8,0.822,0.4,2.5,3.0,7.4,1.0,0.1,2.5,26.1,24.4
1626164,9,Devin Booker,1610612756,PHX,55,37.2,8.6,18.9,0.455,2.7,7.8,0.347,6.1,6.8,0.899,1.0,3.0,4.0,6.9,1.1,0.3,2.8,26.0,24.4
203081,10,Damian Lillard,1610612749,MIL,49,36.4,7.8,17.4,0.447,3.5,9.2,0.38,6.4,6.9,0.92,0.6,4.1,4.7,7.3,1.2,0.2,3.0,25.4,25.7
1630595,11,Cade Cunningham,1610612765,DET,57,35.2,9.4,20.5,0.458,2.2,6.3,0.359,4.2,5.0,0.855,0.8,5.3,6.1,9.4,1.0,0.8,4.4,25.3,26.3
2544,12,LeBron James,1610612747,LAL,55,34.7,9.5,18.3,0.518,2.3,5.8,0.391,3.5,4.5,0.768,1.0,7.0,8.0,8.6,0.9,0.6,4.0,24.8,29.0
202681,13,Kyrie Irving,1610612742,DAL,50,36.1,8.9,18.9,0.473,2.9,7.2,0.401,3.9,4.3,0.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,24.7,23.3
1626157,14,Karl-Anthony Towns,1610612752,NYK,54,35.1,8.9,16.7,0.53,2.0,4.8,0.425,4.7,5.6,0.836,3.1,10.3,13.4,3.1,1.0,0.8,2.6,24.5,31.4
1628378,15,Donovan Mitchell,1610612739,CLE,56,31.2,8.5,18.7,0.456,3.6,9.1,0.395,3.6,4.4,0.822,0.7,3.5,4.3,4.8,1.3,0.2,2.0,24.3,21.9
1641705,16,Victor Wembanyama,1610612759,SAS,46,33.2,8.9,18.6,0.476,3.1,8.8,0.352,3.4,4.1,0.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,24.3,30.2
201939,17,Stephen Curry,1610612744,GSW,52,32.1,8.0,17.9,0.447,4.4,11.2,0.395,3.6,3.9,0.926,0.5,3.9,4.4,6.2,1.1,0.4,2.8,24.0,23.2
1629639,18,Tyler Herro,1610612748,MIA,58,35.6,8.3,18.1,0.459,3.6,9.7,0.371,3.7,4.3,0.865,0.4,5.0,5.4,5.7,0.8,0.2,2.6,23.9,23.0
