teamName,playerName,position,updated,injury,injuryStatus
Anaheim,Robby Fabbri,C,"Thu, Feb 27",Upper Body,IR. Expected to be out until at least Mar 5
Anaheim,Brock McGinn,LW,"Mon, Jan 27",Lower Body,IR. Expected to be out until at least Sep 15
Boston,Brad Marchand,LW,"Mon, Mar 3",Upper Body,Day-to-Day
Boston,Trent Frederic,C,"Sun, Mar 2",Lower Body,Expected to be out until at least Mar 11
Boston,Charlie McAvoy,D,"Sun, Feb 23",Shoulder,IR. Expected to be out until at least Mar 11
Boston,Hampus Lindholm,D,"Sun, Feb 23",Kneecap,IR. Expected to be out until at least May 1
Buffalo,Jason Zucker,LW,"Mon, Mar 3",Lower Body,Expected to be out until at least Mar 4
Calgary,Justin Kirkland,LW,"Mon, Jan 27",Knee,IR. Expected to be out until at least Sep 15
Calgary,Anthony Mantha,RW,"Mon, Jan 27",Knee,IR. Expected to be out until at least Sep 15
Carolina,William Carrier,LW,"Sun, Mar 2",Lower Body,Expected to be out until at least Mar 30
Carolina,Jesper Fast,RW,"Mon, Jan 27",Neck,IR. Expected to be out until at least Sep 15
Chicago,Philipp Kurashev,C,"Mon, Mar 3",Hand,IR. Expected to be out until at least Mar 7
Chicago,Nick Foligno,LW,"Mon, Mar 3",Back,Expected to be out until at least Mar 5
Chicago,Jason Dickinson,C,"Sat, Feb 22",Ankle,IR. Expected to be out until at least Mar 13
Chicago,Laurent Brossoit,G,"Mon, Jan 27",Knee,IR. Expected to be out until at least Apr 2
Colorado,Gabriel Landeskog,LW,"Mon, Mar 3",Knee,IR. Expected to be out until at least Apr 17
Colorado,Josh Manson,D,"Sat, Mar 1",Lower Body,Day-to-Day
Columbus,Yegor Chinakhov,RW,"Mon, Mar 3",Back,IR. Expected to be out until at least Mar 4
Columbus,Cole Sillinger,C,"Sun, Mar 2",Upper Body,Expected to be out until at least Mar 9
Columbus,Kevin Labanc,RW,"Fri, Feb 21",Shoulder,IR. Expected to be out until at least Sep 20
Columbus,Sean Monahan,C,"Mon, Feb 10",Wrist,IR. Expected to be out until at least Mar 15
Columbus,Erik Gudbranson,D,"Mon, Jan 27",Shoulder,IR. Expected to be out until at least Mar 24
Dallas,Miro Heiskanen,D,"Tue, Feb 4",Knee,IR. Expected to be out until at least Mar 31
Dallas,Tyler Seguin,C,"Sat, Feb 1",Hip,IR. Expected to be out until at least Apr 3
Dallas,Nils Lundkvist,D,"Sat, Feb 1",Shoulder,IR. Expected to be out until at least Sep 21
Detroit,Michael Rasmussen,C,"Mon, Mar 3",Upper Body,Expected to be out until at least Mar 6
Detroit,Andrew Copp,C,"Tue, Feb 25",Pectoral,IR. Expected to be out until at least Sep 15
Detroit,Jeff Petry,D,"Mon, Feb 3",Undisclosed,IR. Expected to be out until at least Apr 1
Edmonton,Alec Regula,D,"Thu, Feb 27",Knee,IR. Expected to be out until at least Mar 18
Edmonton,Evander Kane,LW,"Fri, Feb 21",Knee,IR. Expected to be out until at least Mar 8
