,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Nathan MacKinnon,2024-25,COL,R,C,66,27,75,102,+25,31,1.55,19,69,8,33,0,0,1,5,268,10.1,22:55,49.1
2,Leon Draisaitl,2024-25,EDM,L,C,66,49,51,100,+29,34,1.52,34,70,15,30,0,0,5,10,221,22.2,21:39,54.5
3,Nikita Kucherov,2024-25,TBL,L,R,61,28,64,92,+13,39,1.51,23,56,5,36,0,0,1,8,205,13.7,21:28,50.0
4,Connor McDavid,2024-25,EDM,L,C,60,24,61,85,+5,31,1.42,15,56,9,29,0,0,0,3,182,13.2,22:22,47.9
5,Kyle Connor,2024-25,WPG,L,L,67,35,49,84,+15,25,1.25,24,54,9,28,2,2,1,7,218,16.1,20:21,12.5
6,David Pastrnak,2024-25,BOS,R,R,67,34,48,82,-3,34,1.22,27,63,7,19,0,0,3,4,279,12.2,20:19,37.5
7,Mitch Marner,2024-25,TOR,R,R,64,21,59,80,+10,14,1.25,14,51,6,27,1,2,2,6,143,14.7,21:34,33.3
8,Jack Eichel,2024-25,VGK,R,C,64,20,59,79,+28,6,1.23,15,47,4,30,1,2,0,2,202,9.9,20:53,46.3
9,Jesper Bratt,2024-25,NJD,L,L,67,19,57,76,+10,14,1.13,14,46,4,28,1,2,0,1,148,12.8,18:41,0.0
10,Cale Makar,2024-25,COL,R,D,66,24,51,75,+22,14,1.14,12,42,10,30,2,3,0,3,203,11.8,25:39,--
11,Mark Scheifele,2024-25,WPG,R,C,67,35,40,75,+13,53,1.12,25,52,10,23,0,0,2,9,144,24.3,20:22,48.8
12,Clayton Keller,2024-25,UTA,L,R,64,23,51,74,-7,18,1.16,16,43,7,31,0,0,1,4,173,13.3,19:19,31.0
13,Mikko Rantanen,2024-25,"COL, CAR, DAL",L,R,65,29,44,73,+9,40,1.12,19,50,10,23,0,0,0,6,183,15.9,21:50,52.5
14,Brandon Hagel,2024-25,TBL,L,L,65,30,42,72,+27,48,1.11,27,57,0,8,3,7,0,4,186,16.1,21:05,34.8
15,Sidney Crosby,2024-25,PIT,L,C,66,23,49,72,-22,25,1.09,15,52,8,20,0,0,3,6,185,12.4,20:23,56.3
16,Martin Necas,2024-25,"CAR, COL",R,C,66,22,50,72,+8,14,1.09,13,42,9,30,0,0,0,8,162,13.6,18:58,37.5
17,Jack Hughes,2024-25,NJD,L,C,62,27,43,70,+12,18,1.13,20,41,6,27,1,2,2,7,229,11.8,20:54,37.6
