,NAME,TB,SO,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SB,CS,PA,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS
,Tarik Skubal,,32,0,,,,,,,,,,,,,,,,,,,,,
,Will Warren,,26,0,,,,,,,,,,,,,,,,,,,,,
,Merrill Kelly,,25,0,,,,,,,,,,,,,,,,,,,,,
,Dylan Cease,,24,0,,,,,,,,,,,,,,,,,,,,,
,Robbie Ray,,23,0,,,,,,,,,,,,,,,,,,,,,
,Kris Bubic,,23,0,,,,,,,,,,,,,,,,,,,,,
,Paul Skenes,,23,0,,,,,,,,,,,,,,,,,,,,,
,Logan Henderson,,20,0,,,,,,,,,,,,,,,,,,,,,
,Max Fried,,20,0,,,,,,,,,,,,,,,,,,,,,
,Mitch Keller,,20,0,,,,,,,,,,,,,,,,,,,,,
,Sonny Gray,,19,0,,,,,,,,,,,,,,,,,,,,,
,Clarke Schmidt,,19,0,,,,,,,,,,,,,,,,,,,,,
,Matthew Boyd,,19,0,,,,,,,,,,,,,,,,,,,,,
,Nick Pivetta,,19,0,,,,,,,,,,,,,,,,,,,,,
,Corbin Burnes,,18,0,,,,,,,,,,,,,,,,,,,,,
,Patrick Corbin,,18,0,,,,,,,,,,,,,,,,,,,,,
,Ben Brown,,18,0,,,,,,,,,,,,,,,,,,,,,
,David Peterson,,18,0,,,,,,,,,,,,,,,,,,,,,
,Nathan Eovaldi,,18,0,,,,,,,,,,,,,,,,,,,,,
,Edward Cabrera,,17,0,,,,,,,,,,,,,,,,,,,,,
,Nick Lodolo,,17,0,,,,,,,,,,,,,,,,,,,,,
,Sandy Alcantara,,17,0,,,,,,,,,,,,,,,,,,,,,
,Dustin May,,16,0,,,,,,,,,,,,,,,,,,,,,
,Jacob deGrom,,16,0,,,,,,,,,,,,,,,,,,,,,
,Michael King,,16,0,,,,,,,,,,,,,,,,,,,,,
