,NAME,SO,G,W,L,W%,GS,ERA,CG,SHO,SV,IP,H,ER,R,HR,BB,HBP,GF,IBB,TBF,WP,K/9,BB/9,K/BB,HR/9,K%,BB%,WHIP,BABIP,RA,H/9
,Paul SkenesP. Skenes,25,3,2,0,1.000,3,2.12,0,0,0,17.0,15,4,4,1,3,1,0,0,69,0,13.24,1.59,8.33,0.53,36.2,4.3,1.06,.359,2.12,7.94
,George KirbyG. Kirby,24,3,3,0,1.000,3,2.00,0,0,0,18.0,13,4,4,1,7,1,0,0,73,1,12.00,3.50,3.43,0.50,32.9,9.6,1.11,.300,2.00,6.50
,Kevin GausmanK. Gausman,23,3,1,1,.500,3,2.84,0,0,0,19.0,10,6,6,2,3,0,0,0,71,0,10.89,1.42,7.67,0.95,32.4,4.2,0.68,.186,2.84,4.74
,Tarik SkubalT. Skubal,23,3,1,0,1.000,3,3.57,0,0,0,17.2,16,7,7,3,5,0,0,0,71,1,11.72,2.55,4.60,1.53,32.4,7.0,1.19,.325,3.57,8.15
,Edward CabreraE. Cabrera,22,3,2,1,.667,3,1.35,0,0,0,20.0,8,3,4,3,5,0,0,0,73,1,9.90,2.25,4.40,1.35,30.1,6.8,0.65,.116,1.80,3.60
,Chase BurnsC. Burns,22,3,0,1,.000,3,2.84,0,0,0,12.2,9,4,4,0,2,0,0,0,51,0,15.63,1.42,11.00,0.00,43.1,3.9,0.87,.333,2.84,6.39
,Brandon WoodruffB. Woodruff,22,3,2,0,1.000,3,2.84,0,0,0,19.0,8,6,6,4,6,0,0,0,70,1,10.42,2.84,3.67,1.89,31.4,8.6,0.74,.105,2.84,3.79
,Shane BazS. Baz,22,3,0,2,.000,3,7.07,0,0,0,14.0,18,11,11,2,6,0,0,0,66,0,14.14,3.86,3.67,1.29,33.3,9.1,1.71,.444,7.07,11.57
,Sean BurkeS. Burke,22,3,0,1,.000,2,4.85,0,0,0,13.0,15,7,7,1,6,0,0,0,61,0,15.23,4.15,3.67,0.69,36.1,9.8,1.62,.438,4.85,10.38
,Logan WebbL. Webb,21,2,1,0,1.000,2,1.54,0,0,0,11.2,12,2,2,0,4,1,0,0,51,0,16.20,3.09,5.25,0.00,41.2,7.8,1.37,.480,1.54,9.26
,Jacob deGromJ. deGrom,21,3,0,3,.000,3,6.88,0,0,0,17.0,17,13,13,5,5,0,0,0,72,0,11.12,2.65,4.20,2.65,29.2,6.9,1.29,.293,6.88,9.00
,Max ScherzerM. Scherzer,21,3,1,2,.333,3,2.84,0,0,0,19.0,14,6,6,3,3,1,0,0,74,0,9.95,1.42,7.00,1.42,28.4,4.1,0.89,.239,2.84,6.63
,Carlos RodónC. Rodón,20,3,1,0,1.000,3,5.40,0,0,0,15.0,12,9,9,4,10,0,0,0,65,0,12.00,6.00,2.00,2.40,30.8,15.4,1.47,.258,5.40,7.20
,Brady SingerB. Singer,20,3,2,1,.667,3,2.65,0,0,0,17.0,13,5,5,2,6,2,0,0,70,1,10.59,3.18,3.33,1.06,28.6,8.6,1.12,.275,2.65,6.88
,Logan GilbertL. Gilbert,20,3,0,1,.000,3,4.50,0,0,0,16.0,10,8,8,2,6,2,0,0,66,3,11.25,3.38,3.33,1.13,30.3,9.1,1.00,.222,4.50,5.63
,Aaron CivaleA. Civale,20,3,1,1,.500,3,5.52,0,0,0,14.2,12,9,9,0,4,1,0,0,60,0,12.27,2.45,5.00,0.00,33.3,6.7,1.09,.343,5.52,7.36
,Tanner BibeeT. Bibee,20,3,2,0,1.000,3,7.20,0,0,0,15.0,20,12,12,4,6,0,0,0,70,0,12.00,3.60,3.33,2.40,28.6,8.6,1.73,.400,7.20,12.00
,Yusei KikuchiY. Kikuchi,19,3,2,0,1.000,3,4.41,0,0,0,16.1,22,8,9,1,4,1,0,0,74,1,10.47,2.20,4.75,0.55,25.7,5.4,1.59,.429,4.96,12.12
,Trevor RogersT. Rogers,19,3,2,1,.667,3,0.86,1,0,0,21.0,13,2,2,0,3,0,0,0,77,0,8.14,1.29,6.33,0.00,24.7,3.9,0.76,.236,0.86,5.57
,Jacob LopezJ. Lopez,19,3,2,0,1.000,3,0.00,0,0,0,17.0,10,0,0,0,6,0,0,0,65,0,10.06,3.18,3.17,0.00,29.2,9.2,0.94,.250,0.00,5.29
,Charlie MortonC. Morton,18,3,1,2,.333,3,5.51,0,0,0,16.1,19,10,10,3,5,2,0,1,73,0,9.92,2.76,3.60,1.65,24.7,6.8,1.47,.356,5.51,10.47
,Dylan CeaseD. Cease,18,2,1,0,1.000,2,4.66,0,0,0,9.2,6,5,5,1,6,0,0,1,42,0,16.76,5.59,3.00,0.93,42.9,14.3,1.24,.294,4.66,5.59
,Zack WheelerZ. Wheeler,18,2,0,2,.000,2,5.40,0,0,0,11.2,14,7,8,3,2,3,0,0,53,0,13.89,1.54,9.00,2.31,34.0,3.8,1.37,.407,6.17,10.80
,Garrett CrochetG. Crochet,18,2,2,0,1.000,2,2.77,0,0,0,13.0,12,4,4,2,3,0,0,0,52,0,12.46,2.08,6.00,1.38,34.6,5.8,1.15,.345,2.77,8.31
,Cristopher SánchezC. Sánchez,17,3,2,1,.667,3,2.18,0,0,0,20.2,18,5,5,2,3,0,0,0,83,0,7.40,1.31,5.67,0.87,20.5,3.6,1.02,.262,2.18,7.84
