,NAME,RBI,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS
,Bo BichetteB. Bichette,17,13,59,9,27,5,0,3,4,0,5,0,0,63,41,8,0,0,0,6,.458,.492,.695,1.187
,Andrew VaughnA. Vaughn,16,13,52,11,20,2,0,5,4,1,8,0,0,58,37,7,0,1,0,1,.385,.431,.712,1.143
,Nathan LukesN. Lukes,14,13,45,11,10,2,1,4,6,0,4,0,0,52,26,7,0,1,0,0,.222,.308,.578,.885
,Brent RookerB. Rooker,14,13,54,8,15,4,0,3,2,1,10,2,0,58,28,7,0,1,0,2,.278,.310,.519,.829
,Gunnar HendersonG. Henderson,14,14,50,15,17,3,0,3,7,0,9,2,1,57,29,6,0,0,0,0,.340,.421,.580,1.001
,Kyle SchwarberK. Schwarber,13,13,49,5,12,3,0,5,8,1,17,1,0,58,30,8,0,0,0,1,.245,.362,.612,.974
,Trevor StoryT. Story,13,12,43,12,14,4,0,3,6,1,17,2,0,51,27,7,0,1,0,0,.326,.412,.628,1.040
,Jackson MerrillJ. Merrill,13,12,48,3,12,1,2,1,3,0,10,0,0,53,20,4,0,2,0,0,.250,.283,.417,.700
,Freddie FreemanF. Freeman,12,12,46,5,17,2,0,3,5,0,14,0,0,53,28,5,0,2,0,0,.370,.415,.609,1.024
,Giancarlo StantonG. Stanton,12,12,40,6,11,0,0,4,5,0,17,0,0,45,23,4,0,0,1,1,.275,.356,.575,.931
,Shea LangeliersS. Langeliers,12,13,54,14,22,5,0,8,2,0,5,1,0,57,51,13,0,1,0,0,.407,.421,.944,1.365
,Brice TurangB. Turang,12,12,48,6,14,5,0,4,2,0,10,3,0,52,31,9,1,1,0,0,.292,.314,.646,.960
,Isaac CollinsI. Collins,12,12,43,7,17,3,1,1,7,2,11,2,2,52,25,5,0,0,0,1,.395,.500,.581,1.081
,Eli WhiteE. White,11,12,41,5,9,1,0,3,1,0,13,1,0,43,19,4,0,1,0,0,.220,.233,.463,.696
,Tyler O'NeillT. O'Neill,11,8,22,6,6,0,0,4,4,0,6,0,0,27,18,4,0,1,0,0,.273,.370,.818,1.189
,Marcell OzunaM. Ozuna,11,12,36,9,10,0,0,5,9,0,8,0,0,46,25,5,0,1,0,0,.278,.413,.694,1.107
,Gleyber TorresG. Torres,11,12,48,7,11,1,0,4,3,0,12,0,0,51,24,5,0,0,0,2,.229,.275,.500,.775
,Taylor WardT. Ward,11,13,48,6,13,1,0,4,6,0,17,1,0,54,26,5,0,0,0,1,.271,.352,.542,.894
,Lourdes Gurriel Jr.L. Gurriel Jr.,11,11,46,3,12,2,0,2,1,0,6,2,2,48,20,4,0,1,0,3,.261,.271,.435,.706
,Pete AlonsoP. Alonso,11,13,50,5,10,1,0,4,3,0,10,0,0,55,23,5,0,2,0,3,.200,.236,.460,.696
,Addison BargerA. Barger,11,13,53,7,13,2,0,3,2,1,17,0,0,57,24,5,0,1,0,0,.245,.281,.453,.734
,Jarren DuranJ. Duran,11,11,45,9,16,6,2,3,3,0,10,2,0,48,35,11,0,0,0,2,.356,.396,.778,1.174
,Colson MontgomeryC. Montgomery,11,13,47,6,9,1,0,5,3,1,16,0,0,51,25,6,0,0,1,0,.191,.255,.532,.787
,Heriberto HernándezH. Hernández,11,11,37,8,10,1,0,4,4,0,12,0,0,41,23,5,0,0,0,0,.270,.341,.622,.963
,Daulton VarshoD. Varsho,10,5,20,3,8,1,0,3,1,0,4,0,0,21,18,4,0,0,0,0,.400,.429,.900,1.329
