,NAME,SO,G,W,L,W%,GS,ERA,CG,SHO,SV,IP,H,ER,R,HR,BB,HBP,GF,IBB,TBF,WP,K/9,BB/9,K/BB,HR/9,K%,BB%,WHIP,BABIP,RA,H/9
,Logan Gilbert,18,2,0,1,.000,2,3.00,0,0,0,12.0,7,4,4,1,1,0,0,0,44,0,13.50,0.75,18.00,0.75,40.9,2.3,0.67,.250,3.00,5.25
,Eduardo Rodriguez,17,2,0,1,.000,2,6.10,0,0,0,10.1,8,7,7,2,4,0,0,0,41,0,14.81,3.48,4.25,1.74,41.5,9.8,1.16,.333,6.10,6.97
,Nathan Eovaldi,17,2,1,0,1.000,2,1.20,1,1,0,15.0,7,2,2,1,0,0,0,0,51,1,10.20,0.00,,0.60,33.3,0.0,0.47,.182,1.20,4.20
,Zac Gallen,17,2,1,1,.500,2,3.38,0,0,0,10.2,7,4,4,1,4,0,0,0,45,1,14.34,3.38,4.25,0.84,37.8,8.9,1.03,.261,3.38,5.91
,Kris Bubic,16,2,2,0,1.000,2,0.71,0,0,0,12.2,8,1,1,0,3,1,0,0,49,1,11.37,2.13,5.33,0.00,32.7,6.1,0.87,.276,0.71,5.68
,Chris Bassitt,16,2,1,0,1.000,2,0.71,0,0,0,12.2,12,1,1,0,2,0,0,0,51,1,11.37,1.42,8.00,0.00,31.4,3.9,1.11,.364,0.71,8.53
,Hunter Greene,16,2,0,1,.000,2,2.25,0,0,0,12.0,6,3,3,1,2,0,0,0,44,1,12.00,1.50,8.00,0.75,36.4,4.5,0.67,.200,2.25,4.50
,Brady Singer,15,2,2,0,1.000,2,2.25,0,0,0,12.0,10,3,5,0,3,0,0,0,49,0,11.25,2.25,5.00,0.00,30.6,6.1,1.08,.323,3.75,7.50
,Max Meyer,15,2,0,1,.000,2,3.09,0,0,0,11.2,13,4,5,1,3,1,0,0,52,0,11.57,2.31,5.00,0.77,28.8,5.8,1.37,.375,3.86,10.03
,Hunter Brown,15,2,1,1,.500,2,3.00,0,0,0,12.0,9,4,5,1,3,0,0,0,45,0,11.25,2.25,5.00,0.75,33.3,6.7,1.00,.308,3.75,6.75
,Yoshinobu Yamamoto,15,2,0,1,.000,2,1.64,0,0,0,11.0,8,2,3,2,5,0,0,0,44,1,12.27,4.09,3.00,1.64,34.1,11.4,1.18,.273,2.45,6.55
,Sonny Gray,15,2,1,0,1.000,2,5.73,0,0,0,11.0,9,7,7,3,2,2,0,0,45,0,12.27,1.64,7.50,2.45,33.3,4.4,1.00,.261,5.73,7.36
,Dylan Cease,14,2,1,0,1.000,2,3.38,0,0,0,10.2,8,4,4,1,3,0,0,0,43,0,11.81,2.53,4.67,0.84,32.6,7.0,1.03,.280,3.38,6.75
,Michael King,14,2,1,0,1.000,2,3.52,0,0,0,7.2,6,3,3,1,5,1,0,0,35,2,16.43,5.87,2.80,1.17,40.0,14.3,1.43,.357,3.52,7.04
,Charlie Morton,13,2,0,2,.000,2,9.72,0,0,0,8.1,13,9,9,2,3,0,0,0,41,0,14.04,3.24,4.33,2.16,31.7,7.3,1.92,.478,9.72,14.04
,Mitch Spence,13,4,0,0,,0,8.00,0,0,0,9.0,13,8,10,1,2,0,1,0,42,0,13.00,2.00,6.50,1.00,31.0,4.8,1.67,.462,10.00,13.00
,José Berríos,13,2,0,1,.000,2,6.75,0,0,0,10.2,13,8,8,3,5,0,0,0,46,0,10.97,4.22,2.60,2.53,28.3,10.9,1.69,.400,6.75,10.97
,Framber Valdez,13,2,1,1,.500,2,3.75,0,0,0,12.0,8,5,5,2,6,1,0,0,49,0,9.75,4.50,2.17,1.50,26.5,12.2,1.17,.222,3.75,6.00
,Cole Ragans,13,2,0,0,,2,3.60,0,0,0,10.0,10,4,4,1,4,0,0,0,44,0,11.70,3.60,3.25,0.90,29.5,9.1,1.40,.346,3.60,9.00
,Paul Skenes,13,2,1,0,1.000,2,1.46,0,0,0,12.1,6,2,3,0,2,0,0,0,44,0,9.49,1.46,6.50,0.00,29.5,4.5,0.65,.207,2.19,4.38
,David Peterson,12,2,1,0,1.000,2,2.53,0,0,0,10.2,8,3,3,2,8,1,0,0,47,0,10.13,6.75,1.50,1.69,25.5,17.0,1.50,.250,2.53,6.75
,Cade Povich,12,2,0,1,.000,2,6.10,0,0,0,10.1,18,7,7,0,2,0,0,0,48,1,10.45,1.74,6.00,0.00,25.0,4.2,1.94,.529,6.10,15.68
,Andrew Heaney,12,2,0,0,,2,1.50,0,0,0,12.0,9,2,2,0,2,0,0,0,47,0,9.00,1.50,6.00,0.00,25.5,4.3,0.92,.273,1.50,6.75
,Jack Flaherty,12,2,1,0,1.000,2,2.38,0,0,0,11.1,6,3,3,1,4,1,0,0,44,0,9.53,3.18,3.00,0.79,27.3,9.1,0.88,.192,2.38,4.76
,Jeffrey Springs,12,2,1,1,.500,2,4.00,0,0,0,9.0,8,4,5,1,5,0,0,0,40,0,12.00,5.00,2.40,1.00,30.0,12.5,1.44,.318,5.00,8.00
