,NAME,TB,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,PA,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS
,Aaron Judge,33,9,37,14,12,3,0,6,17,5,1,12,2,0,43,9,0,0,2,1,.324,.419,.892,1.310
,Kyle Tucker,33,10,39,13,14,4,0,5,14,11,0,6,3,0,50,9,0,0,1,1,.359,.500,.846,1.346
,Tyler Soderstrom,28,10,39,7,14,2,0,4,8,3,0,10,0,0,42,6,0,0,0,1,.359,.405,.718,1.123
,Alex Bregman,26,10,44,7,15,5,0,2,10,3,0,11,1,0,47,7,0,0,0,0,.341,.383,.591,.974
,Riley Greene,26,9,37,8,13,4,0,3,5,1,0,12,0,0,38,7,0,0,0,1,.351,.368,.703,1.071
,Anthony Volpe,26,9,37,9,11,3,0,4,12,3,1,9,0,2,41,7,0,0,0,0,.297,.366,.703,1.069
,Wilyer Abreu,26,10,29,10,14,3,0,3,12,8,0,4,1,0,37,6,0,0,1,1,.483,.595,.897,1.491
,Teoscar Hernández,25,9,33,6,10,3,0,4,12,2,0,8,2,0,36,7,0,1,0,1,.303,.333,.758,1.091
,Corbin Carroll,25,10,39,7,11,3,1,3,6,5,2,10,0,0,46,7,0,0,0,1,.282,.391,.641,1.032
,Jackson Merrill,25,10,37,7,14,2,0,3,10,3,0,7,1,1,41,5,0,1,0,1,.378,.415,.676,1.090
,Seiya Suzuki,25,10,41,8,11,2,0,4,11,8,0,17,0,1,50,6,0,1,0,0,.268,.380,.610,.990
,Heliot Ramos,24,9,39,7,12,3,0,3,9,1,0,12,2,0,40,6,0,0,0,1,.308,.325,.615,.940
,Jazz Chisholm J,23,9,38,7,9,2,0,4,9,2,2,17,3,0,42,6,0,0,0,0,.237,.310,.605,.915
,Eugenio Suárez,22,10,34,7,6,1,0,5,11,6,1,10,1,0,41,6,0,0,1,1,.176,.317,.647,.964
,Brent Rooker,22,10,45,7,10,0,0,4,8,1,0,13,0,0,46,4,0,0,0,0,.222,.239,.489,.728
,Iván Herrera,22,7,21,6,8,2,0,4,11,3,0,5,0,0,24,6,0,0,0,3,.381,.458,1.048,1.506
,Kristian Campbell,22,10,33,10,12,4,0,2,5,8,0,8,1,0,42,6,0,1,0,0,.364,.476,.667,1.143
,Wilmer Flores,21,9,33,5,9,0,0,4,12,1,1,6,0,0,35,4,0,0,0,2,.273,.314,.636,.951
,Cedric Mullins,21,9,32,7,10,2,0,3,11,5,2,7,2,1,39,5,0,0,0,1,.313,.436,.656,1.092
,Tommy Edman,21,9,34,8,9,0,0,4,7,1,0,3,1,0,36,4,0,1,0,0,.265,.278,.618,.895
,Spencer Torkelson,21,9,34,6,11,4,0,2,6,6,1,13,1,0,41,6,0,0,0,0,.324,.439,.618,1.057
,Jacob Wilson,21,10,37,5,13,2,0,2,7,0,0,2,0,0,37,4,0,0,0,1,.351,.351,.568,.919
,Jose Altuve,20,9,39,7,14,0,0,2,4,2,0,11,1,2,41,2,0,0,0,1,.359,.390,.513,.903
,Mookie Betts,20,8,32,8,10,1,0,3,7,2,1,4,1,0,35,4,0,0,0,1,.313,.371,.625,.996
,Trent Grisham,20,8,22,8,10,1,0,3,9,3,1,4,0,1,26,4,0,0,0,0,.455,.538,.909,1.448
