,NAME,TB,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,PA,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS
,Ceddanne Rafaela,25,12,45,5,14,2,0,3,6,4,0,11,3,1,50,5,1,0,0,1,.311,.367,.556,.923
,,24,12,45,3,18,3,0,1,7,10,0,3,2,1,55,4,0,0,1,0,.400,.509,.533,1.042
,Abraham Toro,24,11,43,7,14,4,0,2,7,3,1,8,0,0,48,6,0,1,0,0,.326,.375,.558,.933
,Trevor Story,23,12,48,8,14,3,0,2,10,2,0,12,2,0,50,5,0,0,0,1,.292,.320,.479,.799
,Cal Raleigh,22,11,43,6,11,2,0,3,9,5,1,8,1,1,49,5,0,0,2,1,.256,.347,.512,.859
,Julio Rodríguez,22,12,50,5,17,3,1,0,2,0,1,12,4,0,51,4,0,0,0,1,.340,.353,.440,.793
,Jarren Duran,22,12,46,7,12,5,1,1,4,5,2,18,1,0,53,7,0,0,0,1,.261,.358,.478,.837
,Romy González,21,10,35,4,12,4,1,1,9,1,0,10,0,0,36,6,0,0,0,0,.343,.361,.600,.961
,Rafael Devers,20,12,45,10,9,2,0,3,6,9,3,12,0,0,57,5,0,0,3,3,.200,.368,.444,.813
,Rowdy Tellez,19,11,36,4,8,2,0,3,4,0,0,10,0,0,37,5,0,1,0,2,.222,.216,.528,.744
,Jorge Polanco,18,12,46,4,13,2,0,1,5,3,0,4,1,0,50,3,0,1,0,1,.283,.320,.391,.711
,Randy Arozarena,18,12,42,5,12,3,0,1,4,8,2,11,5,0,53,4,0,1,0,1,.286,.415,.429,.844
,Carlos Narváez,17,11,34,9,10,4,0,1,6,9,0,9,0,0,43,5,0,0,0,1,.294,.442,.500,.942
,Marcelo Mayer,15,10,19,7,5,1,0,3,5,2,0,7,0,0,22,4,0,1,0,0,.263,.318,.789,1.108
,Kristian Campbell,12,12,33,3,7,2,0,1,5,5,4,8,0,0,42,3,0,0,0,1,.212,.381,.364,.745
,Ben Williamson,11,10,28,5,8,3,0,0,0,2,1,7,1,0,32,3,1,0,0,0,.286,.355,.393,.748
,Cole Young,10,10,36,2,8,2,0,0,3,0,0,9,0,0,37,2,1,0,0,0,.222,.222,.278,.500
,Dominic Canzone,9,6,19,3,5,1,0,1,4,3,0,4,1,0,22,2,0,0,0,0,.263,.364,.474,.837
,Rob Refsnyder,9,10,22,5,7,2,0,0,1,6,0,5,0,0,28,2,0,0,0,1,.318,.464,.409,.873
,Donovan Solano,7,5,12,2,4,0,0,1,3,0,1,2,0,0,13,1,0,0,0,0,.333,.385,.583,.968
,Miles Mastrobuoni,6,10,17,3,6,0,0,0,1,2,0,5,1,0,19,0,0,0,0,1,.353,.421,.353,.774
,Mitch Garver,4,4,16,1,3,1,0,0,1,1,0,8,0,0,17,1,0,0,0,1,.188,.235,.250,.485
,David Hamilton,3,11,9,2,2,1,0,0,2,0,0,3,2,1,9,1,0,0,0,1,.222,.222,.333,.556
,Roman Anthony,2,6,17,0,1,1,0,0,3,2,0,4,0,0,19,1,0,0,0,0,.059,.158,.118,.276
,Wilyer Abreu,2,6,10,1,2,0,0,0,3,0,0,5,0,0,12,0,0,2,0,0,.200,.167,.200,.367
