,NAME,3PM,GP,MPG,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG%,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Derrick White,4.8,5,40.2,22.6,6.2,2.6,0.2,1.6,6.6,14.6,45.2,11.4,42.1,4.6,5.4,85.2,66.6,1.8,4.4,1.2,201,113,31,13,1,8,6,11,+43
,Jayson Tatum,4.3,4,41.4,25.0,11.8,5.5,2.8,1.0,9.0,22.5,40.0,11.3,37.8,2.8,3.3,84.6,52.2,0.5,11.3,3.8,166,100,47,22,11,4,15,11,+12
,Payton Pritchard,3.4,5,28.1,14.8,3.0,1.4,0.6,0.0,4.8,11.6,41.4,9.0,37.8,1.8,1.8,100.0,59.7,1.2,1.8,0.6,140,74,15,7,3,0,3,5,+36
,Jalen Brunson,3.0,5,38.8,26.8,3.4,7.4,0.6,0.2,9.0,21.0,42.9,7.6,39.5,5.8,7.2,80.6,55.4,0.8,2.6,2.6,194,134,17,37,3,1,13,18,-21
,OG Anunoby,2.4,5,38.2,12.4,4.4,1.8,1.0,0.4,4.4,12.2,36.1,6.0,40.0,1.2,1.6,75.0,48.0,1.4,3.0,1.8,191,62,22,9,5,2,9,10,-48
,Jaylen Brown,2.0,5,38.4,21.6,6.8,5.0,0.8,0.2,7.6,18.8,40.4,7.2,27.8,4.4,6.4,68.8,50.0,2.0,4.8,3.2,192,108,34,25,4,1,16,15,+60
,Josh Hart,2.0,5,37.5,15.4,7.8,3.2,0.6,0.8,5.2,11.0,47.3,5.2,38.5,3.0,4.0,75.0,60.3,2.4,5.4,1.6,187,77,39,16,3,4,8,16,-41
,Miles McBride,2.0,5,20.7,7.6,0.6,1.0,0.6,0.0,2.6,5.2,50.0,3.8,52.6,0.4,0.4,100.0,70.7,0.0,0.6,0.2,103,38,3,5,3,0,1,3,-4
,Al Horford,1.4,5,32.0,8.6,6.0,1.4,1.0,1.0,3.2,7.0,45.7,3.8,36.8,0.8,0.8,100.0,58.5,1.8,4.2,0.4,160,43,30,7,5,5,2,17,+4
,Jrue Holiday,1.2,5,33.0,10.4,4.4,3.6,0.6,0.0,4.2,7.4,56.8,3.4,35.3,0.8,1.6,50.0,64.2,2.0,2.4,1.8,165,52,22,18,3,0,9,17,+20
,Mikal Bridges,1.2,5,43.1,13.2,5.0,4.0,2.6,0.8,6.0,15.2,39.5,4.8,25.0,0.0,0.0,,43.4,0.4,4.6,2.0,216,66,25,20,13,4,10,7,-33
,JD Davison,1.0,1,2.6,3.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,100.0,0.0,0.0,,150.0,0.0,0.0,0.0,3,3,0,1,0,0,0,0,+1
,Sam Hauser,1.0,2,9.4,3.0,0.5,1.0,0.0,0.0,1.0,3.5,28.6,3.5,28.6,0.0,0.0,,42.9,0.0,0.5,0.0,19,6,1,2,0,0,0,3,-7
,Karl-Anthony Towns,0.4,5,33.5,19.6,12.8,0.4,0.4,0.6,7.2,14.6,49.3,2.6,15.4,4.8,5.2,92.3,58.0,3.4,9.4,2.6,168,98,64,2,2,3,13,22,-34
,Kristaps Porziņģis,0.2,5,16.4,4.2,3.4,0.6,0.2,0.8,1.0,4.2,23.8,1.4,14.3,2.0,3.0,66.7,38.0,2.0,1.4,1.0,82,21,17,3,1,4,5,10,-10
