,NAME,APG,GP,MPG,PPG,RPG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Dennis Schröder,7.1,7,33.6,13.1,3.4,0.6,0.0,4.0,11.9,33.7,0.9,4.4,19.4,4.3,4.9,88.2,47.0,0.6,2.9,1.4,235,92,24,50,4,0,10,20,0
,Davion Mitchell,6.7,7,35.2,12.9,3.0,1.9,0.0,4.9,9.7,50.0,2.0,4.3,46.7,1.1,1.6,72.7,61.8,0.9,2.1,1.7,247,90,21,47,13,0,12,20,+72
,DeMar DeRozan,6.6,8,36.5,22.8,4.1,0.3,0.8,8.0,17.3,46.4,1.1,3.9,29.0,5.6,7.0,80.4,56.0,0.8,3.4,1.1,292,182,33,53,2,6,9,18,+28
,Jared Butler,5.8,8,28.0,13.8,1.8,1.4,0.1,5.3,11.8,44.7,2.4,5.1,46.3,0.9,1.3,70.0,55.9,0.4,1.4,1.9,224,110,14,46,11,1,15,18,-2
,Tyler Herro,5.6,7,36.3,28.9,5.0,1.4,0.1,10.0,17.6,56.9,3.0,6.1,48.8,5.9,6.1,95.3,71.2,1.0,4.0,1.9,254,202,35,39,10,1,13,5,+104
,Quentin Grimes,5.0,6,34.8,23.5,3.7,1.3,0.0,7.3,16.7,44.0,3.3,8.3,40.0,5.5,6.5,84.6,60.2,0.8,2.8,3.0,209,141,22,30,8,0,18,11,-87
,Domantas Sabonis,4.9,8,34.5,19.3,14.1,0.9,0.1,7.6,13.8,55.5,0.4,1.9,20.0,3.6,4.9,74.4,60.6,3.6,10.5,3.0,276,154,113,39,7,1,24,25,-32
,Lonnie Walker IV,4.4,5,29.0,13.2,3.6,0.4,0.2,5.4,11.6,46.6,1.8,6.2,29.0,0.6,1.0,60.0,54.8,0.2,3.4,1.0,145,66,18,22,2,1,5,9,-31
,Andrew Wiggins,4.3,3,31.9,22.7,4.3,1.7,1.3,8.7,16.3,53.1,3.3,6.0,55.6,2.0,3.0,66.7,64.2,1.0,3.3,2.3,96,68,13,13,5,4,7,5,+38
,Bam Adebayo,4.1,8,33.7,21.5,8.1,1.3,0.6,8.0,17.0,47.1,1.9,3.6,51.7,3.6,4.5,80.6,56.6,1.8,6.4,1.8,270,172,65,33,10,5,14,12,+80
,Cade Cunningham,4.0,1,27.8,25.0,9.0,0.0,1.0,9.0,24.0,37.5,2.0,6.0,33.3,5.0,7.0,71.4,46.2,1.0,8.0,2.0,28,25,9,4,0,1,2,4,-3
,Jalen Duren,3.5,6,29.4,16.5,11.8,0.7,1.2,6.3,10.0,63.3,0.0,0.0,,3.8,5.8,65.7,65.6,4.7,7.2,2.0,177,99,71,21,4,7,12,20,+11
,Malik Monk,3.3,6,24.4,11.3,3.8,0.5,0.0,4.0,10.8,36.9,1.5,4.8,31.0,1.8,2.3,78.6,47.8,0.2,3.7,3.2,146,68,23,20,3,0,19,9,+15
,Tobias Harris,3.3,3,27.1,13.0,5.0,1.3,0.3,5.3,11.0,48.5,1.0,3.3,30.0,1.3,1.3,100.0,56.1,0.3,4.7,1.3,81,39,15,10,4,1,4,5,-17
,Guerschon Yabusele,3.0,6,31.0,14.3,6.2,1.0,0.3,5.2,10.5,49.2,1.7,5.0,33.3,2.3,3.5,66.7,59.5,2.2,4.0,1.0,186,86,37,18,6,2,6,11,-18
,Chuma Okeke,3.0,2,33.9,10.0,8.5,0.5,0.5,3.5,8.5,41.2,2.0,5.5,36.4,1.0,1.5,66.7,54.6,4.5,4.0,1.0,68,20,17,6,1,1,2,3,-3
,Ausar Thompson,2.7,7,27.7,13.9,6.7,1.6,1.4,5.4,10.9,50.0,0.1,1.3,11.1,2.9,3.9,74.1,55.2,2.1,4.6,1.3,194,97,47,19,11,10,9,22,0
,Jeff Dowtin J,2.7,3,25.2,13.3,2.0,1.3,1.7,5.0,9.7,51.7,0.7,2.7,25.0,2.7,3.0,88.9,60.7,0.7,1.3,1.3,76,40,6,8,4,5,4,5,-22
,Kyle Anderson,2.6,7,22.6,10.0,4.3,1.1,0.1,4.0,7.7,51.9,0.4,1.4,30.0,1.6,1.7,91.7,59.0,1.3,3.0,0.9,158,70,30,18,8,1,6,14,+59
,Colin Castleton,2.5,2,15.6,4.0,4.5,0.0,0.0,2.0,5.0,40.0,0.0,1.5,0.0,0.0,1.0,0.0,36.8,1.0,3.5,0.0,31,8,9,5,0,0,0,6,-17
,Zach LaVine,2.5,8,35.9,21.5,3.8,0.4,0.0,8.1,15.8,51.6,3.1,7.0,44.6,2.1,2.4,89.5,64.0,0.5,3.3,2.9,287,172,30,20,3,0,23,22,-85
,Pelle Larsson,2.5,8,20.4,7.4,2.9,1.4,0.4,2.6,6.3,42.0,0.9,2.4,36.8,1.3,1.8,71.4,52.5,1.3,1.6,1.0,163,59,23,20,11,3,8,13,+48
,Jalen Hood-Schifino,2.4,5,20.0,8.6,1.2,0.4,0.4,3.2,6.8,47.1,0.8,2.8,28.6,1.4,1.4,100.0,58.0,0.0,1.2,2.2,100,43,6,12,2,2,11,7,-46
,Terry Rozier,2.3,3,13.7,5.0,2.3,0.3,0.0,1.7,5.0,33.3,1.0,3.0,33.3,0.7,1.0,66.7,46.0,0.3,2.0,0.0,41,15,7,7,1,0,0,0,+3
,Keon Ellis,2.3,8,29.4,7.6,2.6,2.5,0.9,2.6,5.6,46.7,1.8,4.1,42.4,0.6,1.0,62.5,62.9,0.5,2.1,1.1,235,61,21,18,20,7,9,21,-8
