,NAME,MPG,APG,MONTH,GP,PPG,RPG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Nikola Jokić,34.8,11.6,February 2025,12,27.3,12.3,1.7,0.8,10.2,16.7,61.0,1.7,5.0,33.3,5.3,6.2,85.1,70.3,1.8,10.6,3.7,417,327,148,139,20,9,44,30,+150
,Isaiah Collier,30.4,9.5,February 2025,13,11.5,3.9,0.9,0.2,4.5,10.2,44.7,1.0,3.5,28.3,1.4,2.3,60.0,51.3,0.6,3.3,3.4,395,149,51,123,12,2,44,29,-52
,James Harden,37.7,9.0,February 2025,11,22.5,6.1,1.8,0.7,6.6,18.5,36.0,3.1,9.9,31.2,6.2,7.3,85.0,52.1,1.3,4.8,4.5,415,248,67,99,20,8,49,23,-8
,Devin Booker,38.6,7.3,February 2025,12,28.0,3.7,0.7,0.2,9.3,19.3,48.5,2.6,7.4,34.8,6.8,7.3,92.0,62.3,0.9,2.8,3.2,463,336,44,87,8,2,38,44,-79
,Chris Paul,28.2,7.2,February 2025,12,7.3,2.6,1.6,0.1,2.4,6.8,35.8,1.6,4.8,33.3,0.8,0.9,90.9,50.7,0.3,2.3,1.3,338,87,31,86,19,1,16,21,-33
,Ja Morant,32.3,7.1,February 2025,9,22.6,3.8,1.1,0.2,7.6,18.8,40.2,1.4,6.0,24.1,6.0,6.7,90.0,51.9,0.4,3.3,3.8,291,203,34,64,10,2,34,27,+25
,Anthony Davis,31.0,7.0,February 2025,1,26.0,16.0,0.0,3.0,10.0,18.0,55.6,2.0,2.0,100.0,4.0,6.0,66.7,63.0,4.0,12.0,1.0,31,26,16,7,0,3,1,0,+9
,Tyler Herro,36.4,7.0,February 2025,11,24.1,4.9,1.3,0.2,8.2,19.9,41.1,2.5,9.8,25.9,5.2,6.1,85.1,53.3,0.5,4.4,3.5,400,265,54,77,14,2,39,11,+7
,Jalen Brunson,35.4,6.8,February 2025,11,26.7,3.1,1.1,0.3,9.4,19.4,48.4,2.0,5.5,36.1,6.0,7.0,85.7,59.5,0.4,2.7,3.0,389,294,34,75,12,3,33,21,-46
,Shai Gilgeous-Alexander,33.3,6.8,February 2025,13,31.7,4.9,1.2,0.9,10.2,20.2,50.6,2.3,5.5,42.3,8.9,10.3,86.6,64.0,0.9,4.0,2.2,433,412,64,88,16,12,29,30,+182
,Keyonte George,31.3,6.7,February 2025,13,17.2,4.5,0.5,0.2,5.5,13.3,41.0,2.7,7.6,35.4,3.6,4.6,78.3,56.2,0.3,4.2,2.6,407,224,58,87,7,2,34,16,-77
,De'Aaron Fox,34.2,6.5,February 2025,11,19.6,4.4,2.1,0.4,7.2,16.5,43.4,1.6,5.9,27.7,3.6,4.6,78.4,52.8,0.6,3.7,2.5,377,216,48,72,23,4,28,29,-69
,Darius Garland,28.9,6.1,February 2025,9,18.8,2.7,1.3,0.1,6.7,15.2,43.8,2.8,6.7,41.7,2.7,3.3,80.0,56.3,0.7,2.0,2.6,260,169,24,55,12,1,23,17,+105
,Josh Hart,38.5,6.1,February 2025,9,18.2,9.8,1.2,0.4,7.0,12.8,54.8,0.6,2.3,23.8,3.7,4.7,78.6,61.4,2.0,7.8,3.0,346,164,88,55,11,4,27,26,-46
,Malik Monk,35.1,6.1,February 2025,11,16.9,4.5,1.0,1.2,6.6,16.2,41.0,1.7,6.4,27.1,1.9,2.1,91.3,49.4,0.8,3.6,3.5,387,186,49,67,11,13,38,29,-28
,Anfernee Simons,33.5,6.1,February 2025,12,19.7,2.8,0.9,0.1,6.8,16.0,42.7,3.1,8.8,35.2,2.9,3.3,87.5,56.3,0.3,2.4,2.3,402,236,33,73,11,1,28,21,+16
,Jamal Murray,35.6,5.6,February 2025,11,24.7,2.5,1.3,0.4,9.3,17.6,52.6,3.6,7.0,51.9,2.5,2.9,87.5,65.4,0.5,2.0,2.1,392,272,28,62,14,4,23,26,+97
,Immanuel Quickley,29.3,5.5,February 2025,11,16.5,4.0,0.5,0.1,5.4,12.0,44.7,2.5,6.4,38.6,3.3,4.0,81.8,59.8,0.4,3.6,2.0,322,181,44,61,5,1,22,26,-9
,Tyus Jones,26.5,5.5,February 2025,13,7.9,2.5,0.8,0.2,2.7,8.4,32.1,1.9,5.5,35.2,0.6,0.7,88.9,45.6,0.5,2.0,1.6,344,103,32,72,11,2,21,6,-49
,Scoot Henderson,25.5,5.5,February 2025,11,12.5,2.7,1.5,0.1,4.4,10.0,43.6,2.1,5.5,37.7,1.7,2.0,86.4,57.7,0.6,2.1,2.3,280,138,30,60,16,1,25,29,+120
,RJ Barrett,33.8,5.4,February 2025,7,22.1,5.1,1.3,0.0,8.6,17.3,49.6,2.0,5.4,36.8,3.0,4.4,67.7,57.6,1.1,4.0,2.4,236,155,36,38,9,0,17,15,-47
,Scottie Barnes,34.9,5.4,February 2025,11,19.3,6.6,1.3,1.5,7.1,16.5,42.9,1.2,4.4,27.1,3.9,4.7,82.7,51.7,1.1,5.5,2.3,384,212,73,59,14,17,25,16,-72
,Donovan Mitchell,30.5,5.3,February 2025,10,25.8,4.2,0.9,0.1,9.1,18.7,48.7,3.2,8.4,38.1,4.4,5.6,78.6,61.0,1.0,3.2,2.4,305,258,42,53,9,1,24,18,+127
,Jalen Williams,32.7,5.3,February 2025,11,20.4,5.1,1.3,0.5,7.6,16.1,47.5,1.9,5.1,37.5,3.2,4.1,77.8,56.9,1.2,3.9,2.3,359,224,56,58,14,6,25,22,+73
,Desmond Bane,35.4,5.1,February 2025,9,20.0,7.1,1.0,0.3,7.0,14.9,47.0,2.2,6.3,35.1,3.8,4.1,91.9,59.9,1.2,5.9,2.9,319,180,64,46,9,3,26,23,-11
