,NAME,PPG,GP,MPG,RPG,APG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Nikola Jokić,29.8,6,41.0,14.7,5.7,2.0,1.0,10.3,21.8,47.3,2.0,6.3,31.6,7.2,8.8,81.1,58.0,2.8,11.8,4.3,246,179,88,34,12,6,26,25,-17
,Shai Gilgeous-Alexander,28.8,6,37.8,7.0,7.0,1.3,0.5,10.2,19.8,51.3,1.2,4.3,26.9,7.3,9.0,81.5,60.6,1.7,5.3,2.3,227,173,42,42,8,3,14,15,+37
,Jamal Murray,22.0,6,41.5,5.0,5.0,1.0,0.7,7.2,17.5,41.0,2.3,6.8,34.1,5.3,6.2,86.5,54.4,1.3,3.7,3.5,249,132,30,30,6,4,21,14,+3
,Jalen Williams,16.5,6,36.0,5.5,5.8,1.5,1.0,5.3,15.8,33.7,1.2,5.5,21.2,4.7,5.7,82.4,45.0,1.2,4.3,1.5,216,99,33,35,9,6,9,8,+7
,Aaron Gordon,14.5,6,37.6,9.2,3.8,0.5,0.3,5.0,11.3,44.1,2.3,5.2,45.2,2.2,2.7,81.3,58.0,3.8,5.3,1.8,225,87,55,23,3,2,11,11,+8
,Chet Holmgren,14.3,6,31.2,10.8,1.0,1.0,2.0,5.5,11.8,46.5,1.0,4.0,25.0,2.3,3.5,66.7,53.6,1.8,9.0,1.3,187,86,65,6,6,12,8,15,+21
,Christian Braun,11.7,6,39.3,7.3,2.3,1.3,1.2,3.8,9.8,39.0,1.8,6.2,29.7,2.2,2.3,92.9,53.7,1.3,6.0,1.3,236,70,44,14,8,7,8,21,-13
,Isaiah Hartenstein,11.2,6,28.9,9.0,2.5,0.7,0.8,5.2,9.0,57.4,0.0,0.0,,0.8,1.2,71.4,58.7,3.2,5.8,1.2,173,67,54,15,4,5,7,24,+11
,Russell Westbrook,10.5,6,22.9,2.3,2.5,0.7,0.2,3.5,9.8,35.6,0.8,4.5,18.5,2.7,3.8,69.6,45.6,1.2,1.2,2.3,137,63,14,15,4,1,14,23,-58
,Alex Caruso,10.3,6,23.1,1.8,2.7,1.3,0.7,3.5,8.3,42.0,2.3,5.3,43.8,1.0,1.5,66.7,57.4,0.3,1.5,1.0,138,62,11,16,8,4,6,16,+22
,Luguentz Dort,9.5,6,26.4,2.3,1.0,0.5,0.5,3.2,9.2,34.5,2.3,7.8,29.8,0.8,1.0,83.3,49.4,1.2,1.2,1.0,159,57,14,6,3,3,6,19,-17
,Hunter Tyson,8.0,1,12.0,4.0,1.0,1.0,0.0,2.0,4.0,50.0,0.0,1.0,0.0,4.0,4.0,100.0,69.4,1.0,3.0,0.0,12,8,4,1,1,0,0,1,+5
,Michael Porter J,7.7,6,30.6,5.7,0.5,0.8,0.5,2.7,8.5,31.4,1.5,5.3,28.1,0.8,1.0,83.3,42.9,0.7,5.0,0.8,184,46,34,3,5,3,5,13,-19
,Aaron Wiggins,6.3,6,13.4,3.2,0.8,0.2,0.5,2.3,5.3,43.8,1.3,3.5,38.1,0.3,0.3,100.0,57.8,0.8,2.3,0.8,81,38,19,5,1,3,5,5,+38
,Cason Wallace,6.3,6,20.0,3.0,1.7,1.8,0.0,2.3,4.8,48.3,1.2,2.5,46.7,0.5,0.7,75.0,61.8,0.7,2.3,1.0,120,38,18,10,11,0,6,13,+28
,Julian Strawther,5.8,5,10.8,1.0,0.4,0.2,0.0,1.8,3.6,50.0,1.0,1.8,55.6,1.2,1.4,85.7,68.8,0.4,0.6,0.4,54,29,5,2,1,0,2,7,-14
,Ajay Mitchell,5.0,2,7.0,0.0,0.0,0.5,0.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,,62.5,0.0,0.0,0.5,14,10,0,0,1,0,1,2,+2
,Peyton Watson,4.7,6,14.0,3.2,0.0,1.0,0.8,1.7,4.5,37.0,0.8,2.0,41.7,0.5,1.3,37.5,45.9,1.2,2.0,0.5,84,28,19,0,6,5,3,12,-43
,Kenrich Williams,4.0,1,12.0,3.0,1.0,2.0,0.0,1.0,4.0,25.0,0.0,1.0,0.0,2.0,2.0,100.0,41.0,0.0,3.0,1.0,12,4,3,1,2,0,1,1,-5
,Jaylin Williams,4.0,6,11.1,1.8,1.2,0.5,0.0,1.5,2.5,60.0,0.7,1.3,50.0,0.3,1.0,33.3,68.0,0.5,1.3,0.7,66,24,11,7,3,0,4,18,+9
,Isaiah Joe,3.2,6,8.9,1.0,0.8,0.3,0.0,1.2,3.0,38.9,0.7,2.3,28.6,0.2,0.3,50.0,50.3,0.2,0.8,0.2,53,19,6,5,2,0,1,5,+5
,Jalen Pickett,3.0,1,13.1,2.0,1.0,0.0,1.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,,50.0,0.0,2.0,2.0,13,3,2,1,0,1,2,0,0
,DeAndre Jordan,2.0,1,2.2,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,100.0,0.0,0.0,0.0,2,2,0,0,0,0,0,2,-3
,Zeke Nnaji,2.0,2,8.1,1.5,1.0,0.0,0.5,0.5,2.0,25.0,0.5,1.0,50.0,0.5,1.0,50.0,41.0,0.5,1.0,0.5,16,4,3,2,0,1,1,3,-9
,Dillon Jones,2.0,2,4.6,0.5,0.5,0.0,0.5,0.5,0.5,100.0,0.0,0.0,,1.0,1.0,100.0,106.4,0.0,0.5,0.0,9,4,1,1,0,1,0,1,+1
