,NAME,MPG,RPG,MONTH,GP,PPG,APG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Anthony Davis,31.0,16.0,February 2025,1,26.0,7.0,0.0,3.0,10.0,18.0,55.6,2.0,2.0,100.0,4.0,6.0,66.7,63.0,4.0,12.0,1.0,31,26,16,7,0,3,1,0,+9
,Walker Kessler,33.2,15.1,February 2025,10,12.9,2.2,0.9,2.2,5.6,7.5,74.7,0.0,0.0,,1.7,3.1,54.8,72.8,4.9,10.2,1.7,332,129,151,22,9,22,17,24,+39
,Domantas Sabonis,34.0,13.8,February 2025,11,15.9,5.1,0.5,0.3,6.3,11.8,53.1,0.5,2.4,23.1,2.8,4.3,66.0,58.1,4.3,9.5,2.8,374,175,152,56,6,3,31,37,-16
,Nikola Jokić,34.8,12.3,February 2025,12,27.3,11.6,1.7,0.8,10.2,16.7,61.0,1.7,5.0,33.3,5.3,6.2,85.1,70.3,1.8,10.6,3.7,417,327,148,139,20,9,44,30,+150
,Ivica Zubac,33.2,11.9,February 2025,11,16.7,2.3,1.1,1.5,7.2,11.1,64.8,0.0,0.0,,2.4,2.9,81.3,67.6,3.6,8.3,1.5,365,184,131,25,12,16,17,25,+17
,Victor Wembanyama,33.6,11.7,February 2025,6,22.2,3.7,1.3,2.8,8.2,17.2,47.6,2.0,6.7,30.0,3.8,5.0,76.7,57.2,2.2,9.5,2.2,201,133,70,22,8,17,13,17,-19
,Karl-Anthony Towns,36.9,11.6,February 2025,10,24.3,2.4,1.0,0.5,9.0,18.3,49.2,2.3,5.2,44.2,4.0,4.9,81.6,59.4,2.9,8.7,2.6,369,243,116,24,10,5,26,37,-21
,Jarrett Allen,26.4,10.8,February 2025,11,12.1,1.9,0.7,0.9,5.1,7.1,71.8,0.0,0.2,0.0,1.9,2.5,77.8,74.0,3.0,7.8,1.5,290,133,119,21,8,10,16,20,+119
,Kel'el Ware,27.7,10.5,February 2025,12,9.1,1.8,0.6,0.8,4.0,7.9,50.5,0.3,1.7,15.0,0.8,1.1,76.9,54.1,3.1,7.4,1.1,332,109,126,21,7,10,13,23,-5
,Evan Mobley,29.7,10.1,February 2025,11,20.4,3.8,0.6,2.3,7.8,13.8,56.6,1.1,3.6,30.0,3.6,4.8,75.5,63.9,2.8,7.3,2.0,327,224,111,42,7,25,22,24,+153
,Bam Adebayo,35.4,9.8,February 2025,11,21.2,3.5,0.7,0.6,8.6,15.6,55.2,1.3,3.2,40.0,2.6,3.5,76.3,61.7,3.0,6.8,2.1,389,233,108,39,8,7,23,26,-35
,Josh Hart,38.5,9.8,February 2025,9,18.2,6.1,1.2,0.4,7.0,12.8,54.8,0.6,2.3,23.8,3.7,4.7,78.6,61.4,2.0,7.8,3.0,346,164,88,55,11,4,27,26,-46
,Deandre Ayton,29.6,9.7,February 2025,6,15.2,2.0,0.5,1.2,6.3,11.8,53.5,0.0,0.2,0.0,2.5,3.2,78.9,57.3,3.3,6.3,1.8,178,91,58,12,3,7,11,18,+4
,Isaiah Hartenstein,25.0,9.5,February 2025,13,9.9,3.3,0.7,0.8,4.6,7.6,60.6,0.0,0.2,0.0,0.7,1.1,64.3,61.3,3.2,6.2,1.5,326,129,123,43,9,10,19,41,+71
,Michael Porter J,34.8,9.4,February 2025,9,22.0,2.2,0.7,0.3,8.4,17.0,49.7,3.0,7.1,42.2,2.1,2.4,86.4,60.9,3.8,5.7,1.7,313,198,85,20,6,3,15,15,+80
,Zach Edey,20.3,9.2,February 2025,11,7.9,0.8,0.5,1.3,3.3,5.6,58.1,0.1,0.5,16.7,1.3,1.5,82.4,62.6,3.9,5.3,0.8,224,87,101,9,6,14,9,21,+4
,Nick Richards,22.1,9.2,February 2025,13,8.2,0.5,0.2,1.0,3.2,5.6,57.5,0.0,0.0,,1.7,2.2,78.6,62.1,2.5,6.7,0.9,287,106,119,7,3,13,12,33,-65
,Daniel Gafford,25.7,8.3,February 2025,4,7.3,2.0,0.3,2.5,3.0,5.0,60.0,0.0,0.0,,1.3,2.3,55.6,60.5,2.5,5.8,1.0,103,29,33,8,1,10,4,11,+29
,Donovan Clingan,18.5,7.9,February 2025,11,7.5,0.9,0.5,1.5,3.2,4.8,66.0,0.1,0.1,100.0,1.1,2.2,50.0,65.3,2.8,5.1,1.2,203,83,87,10,5,17,13,30,+15
,Chet Holmgren,25.6,7.9,February 2025,7,13.6,1.7,1.0,2.9,4.9,9.7,50.0,1.3,3.4,37.5,2.6,3.6,72.0,60.1,1.9,6.0,1.3,179,95,55,12,7,20,9,13,+71
,John Collins,32.8,7.8,February 2025,9,20.7,0.9,0.7,1.3,7.7,14.1,54.3,1.4,4.3,33.3,3.9,4.8,81.4,63.7,1.7,6.1,2.6,295,186,70,8,6,12,23,25,+12
,Precious Achiuwa,30.3,7.5,February 2025,11,9.5,1.5,0.9,0.8,3.9,7.7,50.6,0.2,1.0,18.2,1.5,2.1,73.9,55.2,3.1,4.5,0.9,333,105,83,16,10,9,10,21,-83
,Moses Brown,17.1,7.3,February 2025,3,9.7,0.7,1.3,1.0,4.3,6.7,65.0,0.0,0.0,,1.0,1.3,75.0,66.6,1.7,5.7,1.7,51,29,22,2,4,3,5,6,+15
,Christian Braun,35.9,7.2,February 2025,12,17.7,3.2,1.3,0.4,7.0,12.1,57.9,0.8,2.6,29.0,2.9,3.5,83.3,64.8,1.3,5.9,0.5,430,212,86,38,16,5,6,26,+175
,Desmond Bane,35.4,7.1,February 2025,9,20.0,5.1,1.0,0.3,7.0,14.9,47.0,2.2,6.3,35.1,3.8,4.1,91.9,59.9,1.2,5.9,2.9,319,180,64,46,9,3,26,23,-11
