,NAME,RPG,GP,MPG,PPG,APG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Domantas Sabonis,14.1,8,34.5,19.3,4.9,0.9,0.1,7.6,13.8,55.5,0.4,1.9,20.0,3.6,4.9,74.4,60.6,3.6,10.5,3.0,276,154,113,39,7,1,24,25,-32
,Jalen Duren,11.8,6,29.4,16.5,3.5,0.7,1.2,6.3,10.0,63.3,0.0,0.0,,3.8,5.8,65.7,65.6,4.7,7.2,2.0,177,99,71,21,4,7,12,20,+11
,Kel'el Ware,10.1,8,27.0,9.9,1.0,0.3,1.1,4.4,7.8,56.5,0.4,1.3,30.0,0.8,1.3,60.0,59.5,2.5,7.6,0.9,216,79,81,8,2,9,7,19,+51
,Cade Cunningham,9.0,1,27.8,25.0,4.0,0.0,1.0,9.0,24.0,37.5,2.0,6.0,33.3,5.0,7.0,71.4,46.2,1.0,8.0,2.0,28,25,9,4,0,1,2,4,-3
,Chuma Okeke,8.5,2,33.9,10.0,3.0,0.5,0.5,3.5,8.5,41.2,2.0,5.5,36.4,1.0,1.5,66.7,54.6,4.5,4.0,1.0,68,20,17,6,1,1,2,3,-3
,Bam Adebayo,8.1,8,33.7,21.5,4.1,1.3,0.6,8.0,17.0,47.1,1.9,3.6,51.7,3.6,4.5,80.6,56.6,1.8,6.4,1.8,270,172,65,33,10,5,14,12,+80
,Adem Bona,7.9,7,27.1,11.9,1.3,1.3,2.7,5.3,7.3,72.5,0.0,0.0,,1.3,1.9,69.2,73.2,2.7,5.1,2.1,189,83,55,9,9,19,15,24,-60
,Ausar Thompson,6.7,7,27.7,13.9,2.7,1.6,1.4,5.4,10.9,50.0,0.1,1.3,11.1,2.9,3.9,74.1,55.2,2.1,4.6,1.3,194,97,47,19,11,10,9,22,0
,Guerschon Yabusele,6.2,6,31.0,14.3,3.0,1.0,0.3,5.2,10.5,49.2,1.7,5.0,33.3,2.3,3.5,66.7,59.5,2.2,4.0,1.0,186,86,37,18,6,2,6,11,-18
,Ricky Council IV,5.3,8,23.7,10.5,2.1,0.3,0.1,3.6,10.1,35.8,0.5,3.6,13.8,2.8,3.8,73.3,44.6,0.9,4.4,0.9,189,84,42,17,2,1,7,13,-66
,Marcus Bagley,5.2,6,20.2,4.5,0.3,0.5,1.2,2.0,5.0,40.0,0.0,2.2,0.0,0.5,0.7,75.0,42.5,1.7,3.5,0.3,121,27,31,2,3,7,2,6,-77
,Keegan Murray,5.1,7,33.1,14.6,1.0,1.0,1.6,5.6,11.3,49.4,3.1,7.0,44.9,0.3,0.4,66.7,63.5,1.3,3.9,0.4,232,102,36,7,7,11,3,13,-36
,Tobias Harris,5.0,3,27.1,13.0,3.3,1.3,0.3,5.3,11.0,48.5,1.0,3.3,30.0,1.3,1.3,100.0,56.1,0.3,4.7,1.3,81,39,15,10,4,1,4,5,-17
,Haywood Highsmith,5.0,8,28.7,6.4,1.9,0.9,0.4,2.4,5.5,43.2,1.1,3.3,34.6,0.5,0.9,57.1,54.2,1.6,3.4,0.9,229,51,40,15,7,3,7,23,+73
,Tyler Herro,5.0,7,36.3,28.9,5.6,1.4,0.1,10.0,17.6,56.9,3.0,6.1,48.8,5.9,6.1,95.3,71.2,1.0,4.0,1.9,254,202,35,39,10,1,13,5,+104
,Isaiah Stewart,5.0,5,20.2,8.6,2.0,0.4,1.8,3.6,5.6,64.3,0.6,1.0,60.0,0.8,1.0,80.0,71.2,1.0,4.0,1.2,101,43,25,10,2,9,6,15,+5
,Justin Edwards,4.6,8,31.1,13.5,2.0,1.8,0.4,5.4,12.4,43.4,1.9,4.8,39.5,0.9,1.4,63.6,52.0,1.4,3.3,1.9,248,108,37,16,14,3,15,18,-73
,Colin Castleton,4.5,2,15.6,4.0,2.5,0.0,0.0,2.0,5.0,40.0,0.0,1.5,0.0,0.0,1.0,0.0,36.8,1.0,3.5,0.0,31,8,9,5,0,0,0,6,-17
,Andrew Wiggins,4.3,3,31.9,22.7,4.3,1.7,1.3,8.7,16.3,53.1,3.3,6.0,55.6,2.0,3.0,66.7,64.2,1.0,3.3,2.3,96,68,13,13,5,4,7,5,+38
,Alex Reese,4.3,3,19.6,6.7,0.7,0.7,0.0,2.3,4.0,58.3,1.0,2.7,37.5,1.0,1.0,100.0,75.1,1.0,3.3,0.0,59,20,13,2,2,0,0,5,-3
,Kyle Anderson,4.3,7,22.6,10.0,2.6,1.1,0.1,4.0,7.7,51.9,0.4,1.4,30.0,1.6,1.7,91.7,59.0,1.3,3.0,0.9,158,70,30,18,8,1,6,14,+59
,DeMar DeRozan,4.1,8,36.5,22.8,6.6,0.3,0.8,8.0,17.3,46.4,1.1,3.9,29.0,5.6,7.0,80.4,56.0,0.8,3.4,1.1,292,182,33,53,2,6,9,18,+28
,Jonas Valančiūnas,4.1,8,11.1,4.8,0.9,0.4,0.0,2.0,3.6,55.2,0.0,0.1,0.0,0.8,0.9,85.7,59.2,1.0,3.1,0.5,89,38,33,7,3,0,4,17,+1
,Oshae Brissett,4.0,1,14.9,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,6.0,83.3,53.9,0.0,4.0,0.0,15,5,4,0,0,0,0,1,-14
,Trey Lyles,3.9,7,20.1,4.3,0.7,0.9,0.1,1.3,3.4,37.5,0.9,2.7,31.6,0.9,1.4,60.0,52.8,0.6,3.3,0.3,141,30,27,5,6,1,2,9,+5
