,NAME,G,GP,A,P,+/-,PIM,PPG,PPA,SHG,SHA,GWG,OTG,S,S%,FOW,FO,FOW%,HIT,BKS,TKA,GVA,TOI/GP
,Sam Bennett,3,6,1,4,-1,4,1,0,0,0,0,0,16,18.8,17,59,28.8,35,1,2,6,17:28
,William Nylander,3,6,3,6,0,0,0,1,0,0,0,0,17,17.6,6,7,85.7,3,1,1,5,19:08
,Aleksander Barkov,2,6,1,3,0,2,1,1,0,0,0,0,16,12.5,59,100,59.0,22,3,0,4,21:09
,Brad Marchand,2,6,3,5,+3,26,0,1,0,0,1,1,6,33.3,0,0,,8,4,1,2,17:27
,Max Pacioretty,2,6,4,6,+3,4,1,0,0,0,0,0,6,33.3,0,0,,36,4,0,2,12:58
,Morgan Rielly,2,6,2,4,+2,0,0,1,0,0,0,0,7,28.6,0,0,,11,15,1,9,21:35
,John Tavares,2,6,0,2,-1,4,1,0,0,0,0,0,22,9.1,60,101,59.4,8,5,1,8,19:46
,Carter Verhaeghe,2,6,3,5,0,2,1,1,0,0,1,0,15,13.3,2,6,33.3,22,0,2,2,20:14
,Matthew Knies,2,6,2,4,+1,2,0,0,0,0,1,0,15,13.3,0,0,,19,3,1,5,20:21
,Nicholas Robertson,1,1,0,1,+1,0,0,0,0,0,0,0,1,100.0,2,2,100.0,0,0,0,0,9:21
,Jonah Gadjovich,1,4,1,2,+2,0,0,0,0,0,0,0,5,20.0,0,0,,23,1,0,1,6:44
,Aaron Ekblad,1,5,4,5,+3,24,0,1,0,0,0,0,16,6.3,0,0,,15,3,4,3,22:34
,Max Domi,1,6,3,4,+1,29,0,1,0,0,0,0,10,10.0,30,54,55.6,3,1,1,5,12:03
,Seth Jones,1,6,1,2,-1,0,1,1,0,0,0,0,6,16.7,0,0,,16,6,4,8,26:09
,Dmitry Kulikov,1,6,1,2,0,6,0,0,0,0,1,0,6,16.7,0,0,,17,2,0,7,15:25
,Auston Matthews,1,6,3,4,+2,2,0,0,0,0,1,0,24,4.2,65,120,54.2,14,5,6,8,21:01
,Sam Reinhart,1,6,3,4,-1,0,0,0,0,0,0,0,24,4.2,10,33,30.3,12,7,4,2,21:44
,Christopher Tanev,1,6,1,2,0,0,0,0,0,0,0,0,2,50.0,0,0,,4,23,2,8,19:37
,,1,5,0,1,+1,6,0,0,0,0,0,0,4,25.0,3,6,50.0,16,3,1,0,7:12
,Mitch Marner,1,6,4,5,+1,2,0,1,0,0,1,0,6,16.7,2,3,66.7,13,10,1,7,22:39
,Niko Mikkola,1,6,0,1,-1,8,0,0,0,0,0,0,6,16.7,0,0,,6,5,0,4,19:47
,Jesper Boqvist,1,4,1,2,-1,0,0,0,0,0,0,0,4,25.0,1,2,50.0,20,1,0,1,9:54
,Eetu Luostarinen,1,6,3,4,+2,4,0,0,0,0,0,0,7,14.3,1,7,14.3,30,6,1,5,16:36
,Anton Lundell,1,6,3,4,+3,4,0,0,0,0,0,0,11,9.1,40,93,43.0,11,2,2,4,16:34
,Uvis Balinskis,1,1,0,1,+1,2,0,0,0,0,0,0,1,100.0,0,0,,2,2,0,0,11:16
