,NAME,HIT,GP,G,A,P,+/-,PIM,PPG,PPA,SHG,SHA,GWG,OTG,S,S%,FOW,FO,FOW%,BKS,TKA,GVA,TOI/GP
,Luke Schenn,33,6,0,1,1,0,4,0,0,0,0,0,0,3,0.0,0,0,,13,1,7,17:34
,Nathan Walker,33,7,1,1,2,+1,19,0,0,0,0,0,0,9,11.1,2,7,28.6,10,2,4,13:31
,Jack McBain,31,7,0,2,2,+2,17,0,0,0,0,0,0,6,0.0,27,63,42.9,2,1,6,13:51
,Alexey Toropchenko,29,7,1,1,2,+1,2,0,0,0,0,1,0,11,9.1,0,0,,2,1,3,12:56
,Lawson Crouse,26,7,0,2,2,0,0,0,0,0,0,0,0,12,0.0,2,4,50.0,4,2,3,13:10
,Emil Heineman,26,7,0,1,1,-2,0,0,1,0,0,0,0,7,0.0,0,0,,3,1,4,10:36
,Mathieu Olivier,26,6,2,2,4,0,5,0,0,0,0,0,0,11,18.2,0,0,,2,0,6,14:22
,Marc Gatcomb,25,7,2,0,2,0,0,0,0,0,0,0,0,7,28.6,1,1,100.0,3,0,3,10:23
,Adam Klapka,24,7,1,0,1,-5,12,0,0,0,0,0,0,7,14.3,2,4,50.0,4,1,2,8:08
,Martin Pospisil,23,7,0,3,3,0,6,0,0,0,0,0,0,13,0.0,3,8,37.5,1,1,2,14:44
,Samuel Helenius,23,8,1,1,2,+2,0,0,0,0,0,0,0,4,25.0,25,57,43.9,1,0,5,9:15
,Vasily Podkolzin,22,6,1,0,1,-3,4,0,0,0,0,0,0,10,10.0,1,3,33.3,3,2,5,14:24
,Marco Kasper,22,6,2,1,3,+2,2,0,0,0,0,1,0,8,25.0,34,76,44.7,8,0,4,16:01
,Patrick Brown,22,6,0,0,0,-2,2,0,0,0,0,0,0,5,0.0,11,22,50.0,4,0,4,10:52
,Keegan Kolesar,21,6,0,1,1,-1,2,0,0,0,0,0,0,4,0.0,1,3,33.3,3,2,1,12:17
,Connor Clifton,21,8,0,4,4,+3,8,0,0,0,1,0,0,9,0.0,0,0,,17,2,4,18:02
,Casey Cizikas,20,7,1,1,2,+1,0,0,0,1,0,0,0,6,16.7,47,84,56.0,4,3,3,13:33
,Cole Smith,20,7,0,1,1,-1,9,0,0,0,0,0,0,3,0.0,0,0,,1,0,1,13:08
,Zemgus Girgensons,20,7,0,0,0,-1,9,0,0,0,0,0,0,6,0.0,2,2,100.0,1,2,2,10:39
,Cole Koepke,20,6,0,2,2,-1,0,0,0,0,0,0,0,6,0.0,0,0,,1,1,4,14:08
,Darnell Nurse,19,6,0,6,6,+2,11,0,1,0,0,0,0,12,0.0,0,0,,11,1,7,22:58
,Tyler Tucker,19,7,1,1,2,+5,23,0,0,0,0,0,0,5,20.0,0,0,,10,5,3,15:38
,Beck Malenstyn,19,8,0,1,1,-1,2,0,0,0,0,0,0,6,0.0,2,4,50.0,4,1,4,11:11
,Zack Bolduc,18,7,4,1,5,+6,15,2,1,0,0,0,0,18,22.2,0,0,,2,2,4,13:57
,MacKenzie Weegar,18,6,0,2,2,+2,4,0,1,0,0,0,0,16,0.0,0,0,,21,2,12,24:49
