,NAME,P,MONTH,GP,G,A,+/-,PIM,PPG,PPA,SHG,SHA,GWG,OTG,S,S%,FOW,FO,FOW%,HIT,BKS,TKA,GVA,TOI/GP
,Clayton Keller,13,February 2025,9,4,9,-3,0,1,5,0,0,0,0,36,11.1,0,1,0.0,2,1,0,11,20:29
,Mika Zibanejad,13,February 2025,9,4,9,+4,2,1,2,0,2,0,0,21,19.0,51,96,53.1,4,9,2,10,19:41
,Brandon Hagel,13,February 2025,8,7,6,+14,2,0,0,1,0,2,0,21,33.3,0,2,0.0,13,6,2,12,21:09
,Nathan MacKinnon,12,February 2025,8,4,8,+3,4,4,2,0,0,1,0,38,10.5,106,183,57.9,4,1,3,8,21:57
,Robert Thomas,12,February 2025,8,4,8,+8,0,0,3,0,0,1,0,21,19.0,97,157,61.8,1,6,2,8,20:01
,Aleksander Barkov,12,February 2025,8,2,10,+3,0,0,5,0,0,1,0,14,14.3,63,124,50.8,8,7,6,5,20:21
,Leon Draisaitl,12,February 2025,8,8,4,+1,8,3,1,0,0,0,0,31,25.8,61,120,50.8,7,3,6,14,21:45
,David Pastrnak,12,February 2025,7,7,5,+6,2,0,3,0,0,0,0,33,21.2,0,0,,11,2,3,12,22:30
,Matt Duchene,11,February 2025,8,6,5,0,2,2,3,0,0,2,0,21,28.6,57,109,52.3,2,3,2,9,16:55
,Nikita Kucherov,11,February 2025,7,4,7,+5,10,2,2,0,0,2,0,21,19.0,0,1,0.0,0,5,2,10,21:11
,Auston Matthews,11,February 2025,8,1,10,+6,2,0,3,0,0,0,0,32,3.1,82,150,54.7,3,11,4,7,20:54
,Ryan Donato,11,February 2025,8,4,7,-5,2,1,4,0,0,0,0,21,19.0,36,77,46.8,10,4,1,6,18:44
,Quinton Byfield,11,February 2025,8,0,11,+10,6,0,1,0,0,0,0,17,0.0,47,104,45.2,5,7,4,9,20:22
,Dylan Guenther,10,February 2025,8,6,4,0,2,3,2,0,0,4,2,33,18.2,1,2,50.0,9,6,1,3,18:59
,Pavel Buchnevich,10,February 2025,8,1,9,+8,6,1,1,0,0,0,0,18,5.6,2,3,66.7,3,3,5,7,19:32
,Jesper Bratt,10,February 2025,7,1,9,0,0,0,3,0,1,1,0,14,7.1,0,0,,9,1,1,3,18:15
,Cale Makar,10,February 2025,8,3,7,+2,2,0,5,1,0,0,0,35,8.6,0,0,,3,11,4,14,27:05
,Jason Robertson,10,February 2025,8,6,4,+1,2,2,2,0,0,1,0,31,19.4,0,0,,12,3,1,16,16:54
,Matvei Michkov,10,February 2025,7,5,5,+5,0,1,0,0,0,0,0,27,18.5,3,4,75.0,1,6,0,4,16:33
,,10,February 2025,9,5,5,0,0,1,3,0,0,0,0,16,31.3,60,100,60.0,31,5,4,12,17:49
,Alex Ovechkin,10,February 2025,8,7,3,+2,0,2,1,0,0,1,0,33,21.2,0,1,0.0,22,2,1,7,18:47
,Sam Reinhart,10,February 2025,8,2,8,+4,0,0,3,0,0,2,0,20,10.0,11,45,24.4,7,7,2,8,21:11
,Dylan Strome,10,February 2025,8,3,7,0,0,1,3,0,0,0,0,18,16.7,70,131,53.4,0,6,1,9,17:17
,Matthew Tkachuk,10,February 2025,5,6,4,+3,0,2,1,0,0,1,0,28,21.4,0,0,,8,1,1,2,18:07
,Tim Stutzle,10,February 2025,7,2,8,-5,6,0,4,0,0,0,0,13,15.4,32,48,66.7,8,4,2,5,20:57
