,NAME,SV,MONTH,GP,GS,W,L,OTL,SA,SV%,GA,GAA,SHO,MIN
,Ilya Sorokin,181,February 2025,7,7,3,4,0,203,.892,22,3.34,0,395
,Juuse Saros,165,February 2025,6,6,2,4,0,183,.902,18,3.02,0,357
,Joey Daccord,164,February 2025,6,6,2,3,1,182,.901,18,3.25,0,332
,Lukas Dostal,161,February 2025,6,5,4,1,1,175,.920,14,2.57,0,327
,Igor Shesterkin,154,February 2025,7,7,3,4,0,176,.875,22,3.54,0,373
,Cam Talbot,149,February 2025,6,5,3,2,1,167,.892,18,3.00,0,360
,Dustin Wolf,147,February 2025,6,6,1,4,1,165,.891,18,3.03,0,356
,Arvid Soderblom,145,February 2025,5,4,0,3,2,162,.895,17,3.65,0,280
,Jake Oettinger,145,February 2025,5,5,2,2,1,161,.901,16,3.21,0,299
,Sam Montembeault,143,February 2025,7,6,4,3,0,159,.899,16,2.41,1,398
,Stuart Skinner,143,February 2025,6,6,1,4,0,165,.867,22,4.16,0,317
,Karel Vejmelka,130,February 2025,6,5,5,1,0,143,.909,13,2.19,0,356
,Jordan Binnington,129,February 2025,5,5,4,0,1,141,.915,12,2.34,0,307
,Logan Thompson,129,February 2025,5,5,2,1,2,147,.878,18,3.59,0,301
,Linus Ullmark,122,February 2025,4,4,0,4,0,137,.891,15,4.35,0,207
,Alex Nedeljkovic,117,February 2025,6,6,2,2,1,135,.867,18,3.52,1,307
,Connor Hellebuyck,97,February 2025,4,4,4,0,0,106,.915,9,2.23,0,242
,Petr Mrazek,96,February 2025,4,4,1,2,0,113,.850,17,5.11,0,200
,Kevin Lankinen,92,February 2025,4,3,2,1,1,100,.920,8,2.03,0,236
,Casey DeSmith,82,February 2025,3,3,3,0,0,90,.911,8,2.68,0,179
,Eric Comrie,79,February 2025,3,3,2,1,0,84,.940,5,1.65,1,182
,Connor Ingram,76,February 2025,4,4,1,2,0,86,.884,10,3.09,0,194
,Calvin Pickard,74,February 2025,3,2,1,2,0,85,.871,11,4.14,0,159
,Joel Hofer,72,February 2025,3,3,1,1,1,80,.900,8,2.60,0,185
,Jonathan Quick,70,February 2025,3,2,2,0,0,78,.897,8,2.97,0,162
