,NAME,MPG,3PM,DATE,TM,OPP,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,+/-
@,Tiffany HayesT. Hayes,33.3,5.0,7/5/2025,GSV,MIN,33,23,3,4,0,0,8,11,72.7,6,83.3,2,2,100.0,96.8,1,2,1,3,-6
@,Kia NurseK. Nurse,27.1,5.0,6/27/2025,CHI,GSV,27,17,4,3,0,0,6,14,42.9,11,45.5,0,0,,60.7,0,4,1,3,-8
vs,Kayla ThorntonK. Thornton,19.9,5.0,6/19/2025,GSV,IND,20,16,6,0,1,0,5,11,45.5,8,62.5,1,4,25.0,62.7,2,4,1,4,+3
vs,Rachel BanhamR. Banham,15.3,5.0,5/22/2025,CHI,NYL,15,15,1,1,0,0,5,7,71.4,7,71.4,0,0,,107.1,0,1,1,0,-4
vs,Kayla ThorntonK. Thornton,30.1,4.0,6/27/2025,GSV,CHI,30,29,6,1,1,0,8,15,53.3,7,57.1,9,10,90.0,74.7,0,6,3,4,+5
vs,Kate MartinK. Martin,24.1,4.0,6/25/2025,GSV,NYL,24,21,2,0,1,0,7,15,46.7,10,40.0,3,3,100.0,64.3,0,2,2,1,-9
vs,Kayla ThorntonK. Thornton,35.5,4.0,6/7/2025,GSV,LVA,36,22,11,2,2,0,8,16,50.0,8,50.0,2,2,100.0,65.2,5,6,2,2,+17
@,Ariel AtkinsA. Atkins,25.9,4.0,5/31/2025,CHI,DAL,26,26,4,3,4,0,8,14,57.1,8,50.0,6,8,75.0,74.2,2,2,1,5,+5
@,Kia NurseK. Nurse,32.1,4.0,5/27/2025,CHI,PHX,32,14,2,2,0,0,4,8,50.0,7,57.1,2,2,100.0,78.8,0,2,1,5,-1
@,Janelle SalaünJ. Salaün,30.4,4.0,5/23/2025,GSV,LAS,30,18,8,1,2,1,5,11,45.5,8,50.0,4,4,100.0,70.5,0,8,2,1,-2
vs,Julie VanlooJ. Vanloo,27.1,4.0,5/16/2025,GSV,LAS,27,14,4,2,1,0,5,11,45.5,10,40.0,0,0,,63.6,1,3,6,3,-16
@,Kia NurseK. Nurse,23.9,3.0,6/29/2025,CHI,LAS,24,14,2,0,0,0,4,7,57.1,5,60.0,3,3,100.0,84.1,0,2,2,1,+13
@,Rachel BanhamR. Banham,27.8,3.0,6/29/2025,CHI,LAS,28,13,1,4,1,0,4,10,40.0,8,37.5,2,2,100.0,59.7,1,0,1,1,-2
vs,Tiffany HayesT. Hayes,25.7,3.0,6/29/2025,GSV,SEA,26,21,3,4,0,0,8,13,61.5,6,50.0,2,2,100.0,75.6,0,3,1,0,+18
vs,Kate MartinK. Martin,20.0,3.0,6/27/2025,GSV,CHI,20,11,3,0,0,0,4,11,36.4,7,42.9,0,0,,50.0,0,3,0,2,+1
@,Rachel BanhamR. Banham,25.2,3.0,6/27/2025,CHI,GSV,25,11,1,1,0,0,4,8,50.0,6,50.0,0,0,,68.8,0,1,1,2,-2
vs,Stephanie TalbotS. Talbot,28.2,3.0,6/25/2025,GSV,NYL,28,13,5,3,0,0,5,7,71.4,5,60.0,0,0,,92.9,1,4,2,1,+7
vs,Chloe BibbyC. Bibby,19.6,3.0,6/22/2025,GSV,CON,20,11,4,2,2,0,4,11,36.4,7,42.9,0,0,,50.0,1,3,0,2,-6
@,Kia NurseK. Nurse,16.1,3.0,6/15/2025,CHI,CON,16,11,2,0,1,0,4,4,100.0,3,100.0,0,0,,137.5,0,2,1,1,-3
vs,Kayla ThorntonK. Thornton,36.0,3.0,6/14/2025,GSV,SEA,36,22,12,1,0,0,7,14,50.0,9,33.3,5,6,83.3,66.1,2,10,3,4,-2
@,Rachel BanhamR. Banham,22.7,3.0,6/13/2025,CHI,ATL,23,9,4,3,0,0,3,8,37.5,6,50.0,0,0,,56.3,2,2,1,0,+2
@,Janelle SalaünJ. Salaün,38.7,3.0,6/9/2025,GSV,LAS,39,21,8,1,0,0,7,11,63.6,4,75.0,4,4,100.0,82.3,2,6,2,5,+17
vs,Cecilia ZandalasiniC. Zandalasini,29.7,3.0,6/7/2025,GSV,LVA,30,18,1,3,1,0,5,9,55.6,4,75.0,5,5,100.0,80.4,0,1,2,4,+12
vs,Veronica BurtonV. Burton,23.5,3.0,6/1/2025,GSV,MIN,24,21,5,3,0,1,7,11,63.6,5,60.0,4,5,80.0,79.5,2,3,4,2,+8
@,Janelle SalaünJ. Salaün,30.5,3.0,5/29/2025,GSV,NYL,30,18,13,3,1,0,7,19,36.8,8,37.5,1,2,50.0,45.3,4,9,2,5,0
