,NAME,MPG,PPG,GP,RPG,APG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Sabrina IonescuS. Ionescu,33.1,23.1,7,6.6,4.7,1.6,0.4,8.0,16.9,47.5,1.6,5.9,26.8,5.6,6.0,92.9,59.3,1.4,5.1,2.7,232,162,46,33,11,3,19,12,-6
,Nneka OgwumikeN. Ogwumike,29.8,22.0,6,6.3,3.2,0.3,0.2,8.5,15.2,56.0,2.0,4.7,42.9,3.0,4.2,72.0,64.7,0.8,5.5,2.2,179,132,38,19,2,1,13,12,-36
,A'ja WilsonA. Wilson,30.2,21.3,6,9.7,3.5,1.8,1.7,8.3,16.0,52.1,0.8,1.3,62.5,3.8,4.5,85.2,59.3,2.8,6.8,2.3,181,128,58,21,11,10,14,18,+83
,Paige BueckersP. Bueckers,32.6,21.0,4,5.0,4.8,1.8,0.0,7.5,15.3,49.2,1.5,4.3,35.3,4.5,4.8,94.7,60.6,1.0,4.0,1.0,130,84,20,19,7,0,4,5,+2
,Allisha GrayA. Gray,33.9,18.7,6,4.2,3.2,1.8,0.3,6.2,13.0,47.4,2.8,5.7,50.0,3.5,4.3,80.8,62.6,0.5,3.7,2.0,203,112,25,19,11,2,12,16,+69
,Jackie YoungJ. Young,30.6,18.0,6,4.5,6.5,2.0,0.0,6.5,12.5,52.0,2.5,5.8,42.9,2.5,2.8,88.2,65.5,1.3,3.2,2.3,184,108,27,39,12,0,14,14,+66
,Sonia CitronS. Citron,30.4,17.6,7,3.1,2.6,1.7,0.6,6.0,11.6,51.9,1.9,4.0,46.4,3.7,4.7,78.8,64.4,0.7,2.4,1.9,212,123,22,18,12,4,13,10,-21
,Tina CharlesT. Charles,29.0,17.0,6,6.0,2.0,1.0,0.8,5.3,12.8,41.6,0.7,1.7,40.0,5.7,6.5,87.2,54.2,1.3,4.7,2.0,174,102,36,12,6,5,12,12,-24
,Jordin CanadaJ. Canada,31.9,16.0,5,3.6,7.4,2.0,0.2,5.2,11.0,47.3,1.2,4.0,30.0,4.4,5.6,78.6,59.4,0.4,3.2,3.0,160,80,18,37,10,1,15,9,+74
,Jonquel JonesJ. Jones,28.7,15.4,7,7.6,3.0,0.3,1.0,5.6,10.9,51.3,2.1,4.1,51.7,2.1,2.4,88.2,64.7,0.6,7.0,2.6,201,108,53,21,2,7,18,19,-2
,Jewell LoydJ. Loyd,24.2,15.2,6,2.0,1.5,1.3,0.5,5.0,10.5,47.6,3.3,7.7,43.5,1.8,2.2,84.6,66.2,0.8,1.2,1.5,145,91,12,9,8,3,9,11,+26
,Arike OgunbowaleA. Ogunbowale,32.3,14.8,6,2.8,5.3,1.0,0.0,4.8,13.0,37.2,0.8,4.5,18.5,4.3,4.8,89.7,49.0,0.7,2.2,1.2,194,89,17,32,6,0,7,7,-15
,Marina MabreyM. Mabrey,27.7,14.7,6,4.2,3.7,0.5,0.2,5.3,15.3,34.8,2.0,7.2,27.9,2.0,2.0,100.0,45.2,1.3,2.8,3.7,166,88,25,22,3,1,22,15,-21
