,NAME,MPG,RPG,GP,PPG,APG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,A'ja WilsonA. Wilson,30.2,9.7,6,21.3,3.5,1.8,1.7,8.3,16.0,52.1,0.8,1.3,62.5,3.8,4.5,85.2,59.3,2.8,6.8,2.3,181,128,58,21,11,10,14,18,+83
,Naz HillmonN. Hillmon,32.1,8.5,6,13.5,3.3,0.3,0.8,4.7,9.5,49.1,1.8,5.8,31.4,2.3,2.5,93.3,63.7,2.7,5.8,1.8,192,81,51,20,2,5,11,12,+57
,Aneesah MorrowA. Morrow,21.1,8.2,6,7.2,0.3,0.7,0.7,2.7,7.3,36.4,0.2,2.2,7.7,1.7,1.7,100.0,44.4,3.0,5.2,1.7,126,43,49,2,4,4,10,11,-28
,Kiki IriafenK. Iriafen,25.7,8.1,7,12.7,2.0,0.9,0.3,5.1,9.6,53.7,0.0,0.1,0.0,2.4,3.0,81.0,58.4,2.6,5.6,2.0,180,89,57,14,6,2,14,18,+5
,Teaira McCowanT. McCowan,14.8,8.0,2,9.0,1.0,0.5,0.5,2.5,5.5,45.5,0.0,0.0,,4.0,5.0,80.0,58.4,3.5,4.5,1.0,30,18,16,2,1,1,2,2,-24
,Jonquel JonesJ. Jones,28.7,7.6,7,15.4,3.0,0.3,1.0,5.6,10.9,51.3,2.1,4.1,51.7,2.1,2.4,88.2,64.7,0.6,7.0,2.6,201,108,53,21,2,7,18,19,-2
,Dominique MalongaD. Malonga,20.1,7.2,6,12.0,0.5,0.8,1.0,5.2,8.7,59.6,0.0,0.2,0.0,1.7,2.2,76.9,62.4,2.2,5.0,1.3,121,72,43,3,5,6,8,17,+18
,Shakira AustinS. Austin,26.7,6.9,7,12.3,1.9,1.6,1.0,5.1,12.0,42.9,0.0,0.7,0.0,2.0,2.9,70.0,46.3,1.7,5.1,3.4,187,86,48,13,11,7,24,18,-25
,NaLyssa SmithN. Smith,21.8,6.7,6,8.0,0.3,0.7,0.3,3.5,5.7,61.8,0.2,0.3,50.0,0.8,2.0,41.7,61.1,3.3,3.3,1.3,131,48,40,2,4,2,8,19,+24
,Sabrina IonescuS. Ionescu,33.1,6.6,7,23.1,4.7,1.6,0.4,8.0,16.9,47.5,1.6,5.9,26.8,5.6,6.0,92.9,59.3,1.4,5.1,2.7,232,162,46,33,11,3,19,12,-6
,Nneka OgwumikeN. Ogwumike,29.8,6.3,6,22.0,3.2,0.3,0.2,8.5,15.2,56.0,2.0,4.7,42.9,3.0,4.2,72.0,64.7,0.8,5.5,2.2,179,132,38,19,2,1,13,12,-36
,Tina CharlesT. Charles,29.0,6.0,6,17.0,2.0,1.0,0.8,5.3,12.8,41.6,0.7,1.7,40.0,5.7,6.5,87.2,54.2,1.3,4.7,2.0,174,102,36,12,6,5,12,12,-24
,Brionna JonesB. Jones,24.7,5.8,6,12.7,1.7,1.5,1.0,5.2,9.2,56.4,0.5,1.2,42.9,1.8,2.2,84.6,62.6,2.2,3.7,2.2,148,76,35,10,9,6,13,15,+38
,Ezi MagbegorE. Magbegor,27.1,5.8,6,8.5,2.0,0.3,2.3,3.7,6.8,53.7,0.5,1.3,37.5,0.7,0.7,100.0,59.6,1.3,4.5,0.8,163,51,35,12,2,14,5,18,-9
,Luisa GeiselsoderL. Geiselsoder,22.6,5.5,6,7.7,1.5,0.7,0.5,3.2,7.5,42.2,1.2,3.8,30.4,0.2,0.3,50.0,50.1,1.0,4.5,0.5,136,46,33,9,4,3,3,11,-27
,Li YueruL. Yueru,15.3,5.2,6,4.8,1.0,0.0,0.2,1.8,5.3,34.4,0.7,2.2,30.8,0.5,0.7,75.0,43.0,1.8,3.3,0.8,92,29,31,6,0,1,5,9,-24
,Paige BueckersP. Bueckers,32.6,5.0,4,21.0,4.8,1.8,0.0,7.5,15.3,49.2,1.5,4.3,35.3,4.5,4.8,94.7,60.6,1.0,4.0,1.0,130,84,20,19,7,0,4,5,+2
,DiJonai CarringtonD. Carrington,22.0,4.8,4,8.8,1.3,0.3,0.8,3.8,9.0,41.7,0.0,0.5,0.0,1.3,1.3,100.0,45.8,0.8,4.0,1.8,88,35,19,5,1,3,7,7,-43
,Myisha Hines-AllenM. Hines-Allen,16.4,4.5,4,7.5,1.3,1.5,0.8,2.5,4.8,52.6,0.3,1.0,25.0,2.3,3.0,75.0,61.8,0.5,4.0,1.0,66,30,18,5,6,3,4,10,+10
,Jackie YoungJ. Young,30.6,4.5,6,18.0,6.5,2.0,0.0,6.5,12.5,52.0,2.5,5.8,42.9,2.5,2.8,88.2,65.5,1.3,3.2,2.3,184,108,27,39,12,0,14,14,+66
,Emma MeessemanE. Meesseman,24.1,4.3,3,12.7,4.0,1.3,1.3,5.0,10.0,50.0,0.3,0.7,50.0,2.3,2.7,87.5,56.7,0.7,3.7,1.7,72,38,13,12,4,4,5,7,+32
,Chelsea GrayC. Gray,30.1,4.3,6,8.3,5.7,1.5,1.0,2.5,7.0,35.7,1.0,3.7,27.3,2.3,2.8,82.4,50.5,0.5,3.8,3.2,180,50,26,34,9,6,19,13,+50
,Stephanie TalbotS. Talbot,18.3,4.3,7,4.7,2.0,1.0,0.7,1.6,3.4,45.8,0.7,2.0,35.7,0.9,1.3,66.7,59.0,0.9,3.4,1.3,128,33,30,14,7,5,9,12,-30
,Marina MabreyM. Mabrey,27.7,4.2,6,14.7,3.7,0.5,0.2,5.3,15.3,34.8,2.0,7.2,27.9,2.0,2.0,100.0,45.2,1.3,2.8,3.7,166,88,25,22,3,1,22,15,-21
,Allisha GrayA. Gray,33.9,4.2,6,18.7,3.2,1.8,0.3,6.2,13.0,47.4,2.8,5.7,50.0,3.5,4.3,80.8,62.6,0.5,3.7,2.0,203,112,25,19,11,2,12,16,+69
