Player,Team,PPG,APG,RPG,3PM,Games
Angok Anyang,AAMU,0.0,0.0,1.0,0.0,2
Bilal Abdur-Rahman,AAMU,4.5,2.0,1.0,0.5,2
Gabe Kincy,AAMU,3.5,0.0,2.0,0.5,2
Jalen Carruth,AAMU,0.0,0.0,0.0,0.0,2
James Flippin,AAMU,6.0,2.0,2.5,0.5,2
James Graham III,AAMU,18.0,0.0,5.0,0.0,1
Kintavious Dozier,AAMU,9.5,1.5,1.5,0.5,2
Koron Davis,AAMU,7.5,0.5,7.5,0.0,2
Lou Hutchinson,AAMU,9.0,1.0,0.5,2.0,2
PJ Eason,AAMU,2.0,1.0,4.5,0.0,2
Peyton Daniels Sr.,AAMU,18.0,1.0,6.0,6.0,1
Sami Pissis,AAMU,4.5,4.0,2.5,0.0,2
Tajden Davis,AAMU,1.0,0.5,0.5,0.0,2
Bradyn Hubbard,ACU,20.5,3.0,5.0,1.0,2
Cade Hornecker,ACU,1.0,0.5,1.5,0.0,2
Cbo Newton,ACU,7.5,1.5,4.5,1.0,2
Christian Alston,ACU,7.0,0.5,1.5,0.0,2
Isaac Dye,ACU,4.0,1.0,1.5,1.0,2
Isaiah Carrillo,ACU,0.0,0.0,1.0,0.0,1
Joseph Scott,ACU,11.0,1.5,11.5,0.0,2
Joseph Venzant,ACU,3.0,0.5,2.0,0.5,2
Ma'Shy Hill,ACU,5.5,0.0,2.0,0.0,2
Rich Smith,ACU,7.0,4.0,3.5,0.5,2
Tylan Lewis,ACU,3.0,1.0,3.0,0.0,2
Yaniel Rivera,ACU,11.0,1.0,1.0,3.0,1
Zy Wright,ACU,7.5,1.0,2.0,1.0,2
A.J. Patterson,AF,0.0,1.0,1.0,0.0,1
Caleb Walker,AF,6.0,1.0,3.5,0.0,2
Eli Robinson,AF,10.0,1.5,8.5,0.0,2
Ethan Greenberg,AF,13.0,0.5,2.5,3.5,2
Josh Gatete,AF,0.0,1.5,1.5,0.0,2
Justin Hinds,AF,0.0,1.0,0.5,0.0,2
Kam Sanders,AF,13.0,4.5,5.0,2.5,2
Kolby Gilles,AF,1.0,0.0,1.5,0.0,2
Kyle Marshall,AF,2.0,0.5,3.0,0.0,2
Lucas Hobin,AF,5.5,0.0,2.5,1.5,2
Wesley Celichowski,AF,8.0,2.0,4.5,0.5,2
Amani Lyles,AKR,19.0,0.5,7.0,0.5,2
Bowen Hardman,AKR,6.5,0.0,2.0,1.5,2
Conner Groce,AKR,2.0,0.0,0.0,0.0,1
Eric Mahaffey,AKR,9.0,1.0,7.0,1.0,2
Evan Mahaffey,AKR,9.0,5.0,5.5,0.5,2
Marvin Musiime-Kamali,AKR,4.0,0.0,3.5,0.0,2
Ognjen Stankovic,AKR,2.0,1.5,4.0,0.0,2
Rich Brisco,AKR,0.0,0.0,0.0,0.0,1
Shammah Scott,AKR,12.5,2.5,2.5,2.5,2
Sharron Young,AKR,9.5,2.0,3.0,2.0,2
Tavari Johnson,AKR,17.5,4.5,1.0,3.0,2
Zach Halligan,AKR,7.0,1.0,3.0,1.0,1
Aden Holloway,ALA,21.0,4.0,2.0,2.0,1
Aiden Sherrell,ALA,9.0,0.5,3.0,1.0,2
Amari Allen,ALA,9.0,3.5,8.5,1.0,2
Collins Onyejiaka,ALA,1.0,0.0,3.0,0.0,2
Davion Hannah,ALA,4.5,1.0,1.5,0.0,2
Houston Mallette,ALA,11.5,1.5,6.5,1.5,2
Jack Fagan,ALA,0.0,0.0,0.0,0.0,1
Jacob Martin,ALA,0.0,0.0,0.0,0.0,1
Klark James,ALA,0.0,0.0,0.0,0.0,1
Labaron Philon Jr.,ALA,23.5,5.5,3.0,2.0,2
Latrell Wrightsell,ALA,17.0,3.0,3.0,4.0,1
London Jemison,ALA,6.0,0.0,3.0,0.5,2
Noah Williamson,ALA,1.0,1.0,3.5,0.0,2
Taylor Bol Bowen,ALA,12.5,1.0,6.0,0.5,2
Bryson Calamese,ALCN,1.0,1.5,0.5,0.0,2
Davian Williams,ALCN,9.0,2.6666667,3.6666667,1.6666666,3
Jameel Morris,ALCN,5.6666665,1.3333334,1.3333334,0.33333334,3
Jeremy Ellis,ALCN,2.0,0.33333334,1.6666666,0.0,3
Mike Jones,ALCN,2.0,1.0,2.0,0.0,3
Nick Woodard,ALCN,10.0,2.0,5.3333335,1.3333334,3
Omari Hamilton,ALCN,2.6666667,0.0,4.0,0.0,3
Shane Lancaster,ALCN,15.0,2.0,1.0,3.0,3
Travis Roberts,ALCN,4.6666665,0.33333334,0.6666667,1.3333334,3
Tycen McDaniels,ALCN,10.0,0.6666667,3.6666667,0.0,3
William Henderson,ALCN,5.5,0.5,3.0,0.5,2
Asjon Anderson,ALST,16.0,2.0,4.0,3.0,1
Cameron Palesse,ALST,3.0,2.0,3.0,1.0,1
Damarien Yates,ALST,5.0,2.0,8.0,0.0,1
Jerquarius Stanback,ALST,0.0,1.0,0.0,0.0,1
Mario Andrews,ALST,2.0,0.0,2.0,0.0,1
Micah Simpson,ALST,9.0,0.0,2.0,1.0,1
R'Chaun King,ALST,8.0,1.0,4.0,0.0,1
Trey Miller,ALST,9.0,3.0,0.0,1.0,1
Tyler Byrd,ALST,4.0,0.0,1.0,0.0,1
Tyler Mason,ALST,8.0,0.0,6.0,1.0,1
Bryson Wheatfall,AMCC,0.0,0.0,0.5,0.0,2
Cedric Horton,AMCC,1.5,0.5,1.0,0.0,2
D'Avian Houston,AMCC,5.6666665,4.3333335,2.3333333,0.33333334,3
Daniel Michelini-Jackson,AMCC,9.666667,3.6666667,3.6666667,1.3333334,3
Franck Yetna,AMCC,6.6666665,0.33333334,4.0,0.33333334,3
Jaden Haire,AMCC,0.0,1.0,3.0,0.0,2
Jamal Ambrose,AMCC,2.0,0.0,1.0,0.0,3
Kam Parker,AMCC,10.666667,2.0,4.0,1.0,3
Kayden Crosby,AMCC,0.0,0.0,2.0,0.0,1
Kobi Pearson,AMCC,10.0,1.0,3.0,2.0,1
Leo Torbor,AMCC,4.3333335,1.6666666,3.0,0.0,3
Mason Gibson,AMCC,13.666667,1.6666666,2.3333333,3.6666667,3
Sheldon Williams,AMCC,15.666667,0.6666667,11.0,1.0,3
Carson McDonald,AMER,10.5,0.5,7.0,0.0,2
Chris Eagan,AMER,1.0,0.0,0.5,0.0,2
Dean Hogans,AMER,0.0,0.0,0.0,0.0,1
Geoff Sprouse,AMER,10.0,2.0,1.5,2.0,2
Greg Jones,AMER,11.5,3.5,7.0,0.5,2
Julen Iturbe,AMER,11.0,2.5,4.5,1.5,2
Kade Sebastian,AMER,2.0,1.0,4.5,0.0,2
Madden Collins,AMER,15.0,1.0,3.0,1.5,2
Matt Mayock,AMER,4.5,0.5,4.5,0.5,2
Wyatt Nausadis,AMER,13.5,0.5,1.0,2.5,2
Alonzo Dodd,APP,9.333333,4.3333335,4.6666665,1.3333334,3
Andrin Njock,APP,6.6666665,0.0,6.6666665,0.0,3
Cameron O'Kelley,APP,3.0,0.0,0.0,0.0,1
Chad Moodie,APP,4.3333335,0.0,5.0,0.0,3
Eren Banks,APP,9.0,1.6666666,2.6666667,2.0,3
Grant Clayton,APP,2.0,0.0,5.0,0.0,1
Jacari Brim,APP,1.5,0.5,1.0,0.5,2
Jalen Tot,APP,7.0,1.3333334,0.6666667,1.6666666,3
Jason Clarke Jr.,APP,5.0,3.0,2.3333333,0.33333334,3
Kasen Jennings,APP,18.666666,3.0,3.0,2.0,3
Luke Ledford,APP,0.0,0.0,1.0,0.0,1
Luke Wilson,APP,9.666667,1.0,5.3333335,0.33333334,3
Michael Marcus Jr.,APP,5.6666665,0.0,4.3333335,0.33333334,3
Anton Brookshire,APSU,15.0,2.5,1.5,4.0,2
Collin Parker,APSU,6.5,2.0,3.0,0.0,2
Creighton Morisch,APSU,5.0,1.5,5.0,0.0,2
Hansel Enmanuel,APSU,3.5,0.0,4.5,0.0,2
Ja'Corey Robinson,APSU,7.5,2.0,3.0,0.0,2
Matt Enright,APSU,6.5,5.0,1.5,1.0,2
Quan Lax,APSU,5.5,1.0,0.0,0.5,2
Rashaud Marshall,APSU,5.5,0.5,3.0,0.0,2
Tate McCubbin,APSU,18.0,5.0,5.0,3.5,2
