Matchup,Green,Yellow,Red
test,🟢,🟡,🔴
"NYY, ATL","🟢 Cade Bunnell, Alex Jackson, Dominic Smith","🟡 Cole Gabrielson, Conner Capel, Alexander Vargas","🔴 Austin Wells, Sandy León, Anthony Volpe"
"WSH, HOU","🟢 Josh Bell, Cam Smith, Isaac Paredes","🟡 Robert Hassell, Andrés Chaparro, Tommy Sacco","🔴 Jacob Young, Shay Whitcomb, Andrew Pinckney"
"NYM, BOS","🟢 José Azocar, Simon Juan, Ceddanne Rafaela","🟡 Alex Bregman, Marcelo Mayer, Roman Anthony","🔴 Jose Siri, Juan Soto, Pete Alonso"
"TB, MIN","🟢 DaShawn Keirsey, Trevor Larnach, Matt Wallner","🟡 Tres Barrera, Junior Caminero, Allan Cerda","🔴 Curtis Mead, Kameron Misner, Christian Vázquez"
"BAL, PHI","🟢 Rafael Lantigua, Edmundo Sosa, Johan Rojas","🟡 Vimael Machín, Carson Taylor, Gabriel Rincones","🔴 Tyler Neill, Emmanuel Rivera, Heston Kjerstad"
"DET, PIT","🟢 Jack Suwinski, Justice Bigbie, Tomás Nido","🟡 Matt Gorski, Ben Malgeri, Dillon Dingler","🔴 Nick Solak, Enmanuel Valdez, Abrahan Gutierrez"
"PHI, TOR","🟢 Rafael Lantigua, Edmundo Sosa, Johan Rojas","🟡 Gabriel Rincones, Carson Taylor, Myles Straw","🔴 Charles Adoo, Orelvis Martinez, Alejandro Kirk"
"STL, MIA","🟢 Willson Contreras, Da Keirsey, Trevor Larnach","🟡 Luken Baker, Jose Barrero, Allan Cerda","🔴 Victor Scott, Matt Wallner, Wetherholt Wetherholt"
"CIN, CHC","🟢 Jonathon Long, Kevin Alcantara, Parker Chavers","🟡 Michael Busch, Gage Workman, Austin Hays","🔴 Elly De La Cruz, Haydn Geary, Reese Guire"
"MIL, CLE","🟢 Jorge Alfaro, Jake Bauers, Tyler Freeman","🟡 Vinny Capra, Travis Bazzana, Ernesto Martinez","🔴 Cooper Ingle, Luis Lara, Cooper Pratt"
"CWS, LAD","🟢 Max Muncy, Miguel Rojas, Zyhir Hope","🟡 David Bote, Kody Hoese, Hunter Feduccia","🔴 Chris Okey, Eddie Rosario, Lenyn Sosa"
"ARI, TEX","🟢 Justin Foscue, Jonathan Ornelas, Joc Pederson","🟡 Kyle Higashioka, Leody Taveras, Trevor Hauver","🔴 Nick Ahmed, Jax Biggers, Jake Burger"
"LAA, SF","🟢 Jo Adell, Jerar Encarnacion, Luis Matos","🟡 Jorge Soler, Kyren Paris, Nelson Rada","🔴 La Wade, Grant Cray, Mike Yastrzemski"
"LAD, OAK","🟢 Max Muncy, Miguel Rojas, Zyhir Hope","🟡 David Bote, Kody Hoese, Hunter Feduccia","🔴 Chris Okey, Eddie Rosario, Austin Barnes"
"SEA, COL","🟢 Michael Toglia, Thairo Estrada, Brenton Doyle","🟡 Cole Carrigg, Jack López, Samad Taylor","🔴 Luis Suisbel, Zac Veen, Hogan Windish"
"KC, SD","🟢 Trenton Brooks, Tyler Gentry, Nick Loftin","🟡 Maikel Garcia, Forrest Wall, Eguy Rosario","🔴 Luke Maile, Melendez Melendez, Nick Pratto"
"TOR, PIT","🟢 John Tavares, Auston Matthews, Bryan Rust","🟡 William Nylander, Rickard Rakell, Matthew Knies","🔴 Erik Karlsson, Kris Letang, Morgan Rielly"
"BOS, MIN","🟢 Morgan Geekie, Charlie Coyle, Mats Zuccarello","🟡 David Pastrnak, Marco Rossi, Matt Boldy","🔴 Brock Faber, Yakov Trenin, Jared Spurgeon"
"CGY, CAR","🟢 Nazem Kadri, Jack Roslovic, Andrei Svechnikov","🟡 Seth Jarvis, Jonathan Huberdeau, Sebastian Aho","🔴 Mikael Backlund, Jordan Martinook, Rasmus Andersson"
"STL, DAL","🟢 Roope Hintz, Wyatt Johnston, Dylan Holloway","🟡 Jason Robertson, Matt Duchene, Jordan Kyrou","🔴 Thomas Harley, Logan Stankoven, Mavrik Bourque"
"NSH, NYR","🟢 Vincent Trocheck, Steven Stamkos, Will Cuylle","🟡 Artemi Panarin, Filip Forsberg, Jonathan Marchessault","🔴 Jonny Brodzinski, Fedor Svechkov, Luke Evangelista"
"NJD, VGK","🟢 Tomas Hertl, Jack Eichel, Stefan Noesen","🟡 Jack Hughes, Nico Hischier, Pavel Dorofeyev","🔴 Keegan Kolesar, Victor Olofsson, Tanner Pearson"
"DEN, BOS - 15 PPG","🟢 Derrick White, Christian Braun, Payton Pritchard","🟡 Nikola Jokić, Jayson Tatum, Jaylen Brown","🔴 Al Horford, Julian Strawther, Jrue Holiday"
"POR, CLE - 2 3PM","🟢 Shaedon Sharpe, Sam Merrill","🟡 Donovan Mitchell, Anfernee Simons, De'Andre Hunter","🔴 Deni Avdija, Scoot Henderson, Ty Jerome"
"CHI, IND - 3 APG",🟢 No Green Plays,"🟡 Tyrese Haliburton, Josh Giddey, Andrew Nembhard","🔴 Myles Turner, Kevin Huerter, Bennedict Mathurin"
