PLAYERPLAYER,TEAMTEAM,GGames PlayedGames in which a player has appeared.GGames PlayedGames in which a player has appeared.,"ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.",RRunsWhen a baserunner safely reaches home plate and scores.RRunsWhen a baserunner safely reaches home plate and scores.,HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.,2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.,3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.,"HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.","caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.",BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.,SOStrikeoutsWhen the umpire calls three strikes on the batter.SOStrikeoutsWhen the umpire calls three strikes on the batter.,"SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.",CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.,AVGBatting AverageThe rate of hits per at bat.H/ABAVGBatting AverageThe rate of hits per at bat.H/AB,OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF)OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF),SLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/ABSLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/AB,OPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLGOPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLG
1KyleK SchwarberSchwarberDH1‌‌‌,PHI,122,452,83,113,19,1,43,101,80,149,10,2,.250,.373,.582,.955
2CalC RaleighRaleighC2‌‌‌,SEA,120,450,81,111,18,0,46,100,71,141,13,3,.247,.353,.593,.946
3PeteP AlonsoAlonso1B3‌‌‌,NYM,122,458,63,123,30,1,28,99,50,118,1,2,.269,.352,.522,.874
4EugenioE SuárezSuárez3B4‌‌‌,SEA,120,439,71,103,21,0,37,93,32,137,3,1,.235,.306,.535,.841
5TaylorT WardWardLF5‌‌‌,LAA,120,454,68,107,26,2,29,90,55,140,3,1,.236,.317,.493,.810
6RileyR GreeneGreeneLF6‌‌‌,DET,120,465,64,124,26,1,28,89,31,159,1,1,.267,.314,.508,.822
6AaronA JudgeJudgeRF6‌‌‌,NYY,112,406,94,134,24,2,38,89,81,128,7,3,.330,.442,.680,1.122
8ChristianC YelichYelichDH8‌‌‌,MIL,114,437,71,119,14,0,25,86,47,130,15,5,.272,.349,.476,.825
9JuniorJ CamineroCaminero3B9‌‌‌,TB,117,459,72,120,21,0,35,85,27,101,5,1,.261,.301,.536,.837
9SeiyaS SuzukiSuzukiDH9‌‌‌,CHC,116,450,60,112,27,3,27,85,49,132,3,2,.249,.319,.502,.821
11RafaelR DeversDeversDH11‌‌‌,SF,123,459,68,117,28,0,23,81,86,143,1,1,.255,.377,.466,.843
12ShoheiS OhtaniOhtaniDH12‌‌‌,LAD,120,468,115,132,16,8,43,80,81,149,17,6,.282,.390,.626,1.016
12VinnieV PasquantinoPasquantino1B12‌‌‌,KC,120,466,48,121,20,1,22,80,37,80,1,0,.260,.320,.448,.768
14BoB BichetteBichetteSS14‌‌‌,TOR,120,507,63,149,35,1,16,79,30,80,4,3,.294,.336,.462,.798
14PeteP Crow-ArmstrongCrow-ArmstrongCF14‌‌‌,CHC,118,459,75,119,32,4,27,79,20,119,30,6,.259,.297,.523,.820
14GeraldoG PerdomoPerdomoSS14‌‌‌,AZ,122,448,72,128,26,2,13,79,73,58,19,4,.286,.385,.440,.825
17JamesJ WoodWoodLF17‌‌‌,WSH,120,456,70,118,26,0,25,78,68,158,15,5,.259,.357,.480,.837
18EllyE De La CruzDe La CruzSS18‌‌‌,CIN,123,475,85,131,25,3,19,76,52,134,31,6,.276,.349,.461,.810
18TrevorT StoryStorySS18‌‌‌,BOS,119,458,68,118,20,0,18,76,25,141,21,0,.258,.303,.419,.722
20KyleK StowersStowersLF20‌‌‌,MIA,117,399,61,115,21,3,25,73,48,125,5,1,.288,.368,.544,.912
21JoJ AdellAdellCF21‌‌‌,LAA,115,390,44,88,14,1,25,72,27,108,3,1,.226,.290,.459,.749
21TeoscarT HernándezHernándezRF21‌‌‌,LAD,99,378,47,96,23,0,19,72,18,104,5,1,.254,.288,.466,.754
21MannyM MachadoMachado3B21‌‌‌,SD,122,470,71,138,30,0,20,72,45,90,11,2,.294,.356,.485,.841
