teamName,playerName,position,updated,injury,injuryStatus
Athletics,D. ClarkeDenzel Clarke,CF,"Sat, Aug 16",Hip,Expected to be out until at least Aug 16
Athletics,L. SeverinoLuis Severino,SP,"Thu, Aug 14",Oblique,Expected to be out until at least Aug 27
Athletics,A. WynnsAustin Wynns,C,"Mon, Aug 11",Abdomen,Out for the season
Athletics,J. WilsonJacob Wilson,SS,"Fri, Aug 8",Forearm,Expected to be out until at least Aug 19
Athletics,M. MuncyMax Muncy,3B,"Tue, Aug 5",Hand,Expected to be out until at least Aug 19
Athletics,J. LeclercJose Leclerc,RP,"Fri, Jul 25",Lat,Out for the season
Athletics,G. HoglundGunnar Hoglund,SP,"Sun, Jun 22",Hip,Out for the season
Athletics,L. MedinaLuis Medina,SP,"Wed, May 21",Elbow,Expected to be out until at least Sep 15
Arizona,C. MenaCristian Mena,RP,"Sat, Aug 16",Shoulder,Expected to be out until at least Aug 16
Arizona,K. AmendtKyle Amendt,RP,"Sat, Aug 16",Undisclosed,Expected to be out until at least Aug 16
Arizona,A. DeSclafaniAnthony DeSclafani,RP,"Wed, Aug 13",Thumb,Expected to be out until at least Aug 28
Arizona,G. MorenoGabriel Moreno,C,"Sun, Aug 10",Finger,Expected to be out until at least Aug 18
Arizona,I. VargasIldemaro Vargas,2B,"Sun, Aug 10",Foot,Expected to be out until at least Aug 18
Arizona,P. SmithPavin Smith,DH,"Sun, Aug 10",Oblique,Expected to be out until at least Aug 18
Arizona,J. MartinezJustin Martinez,RP,"Sat, Aug 9",Elbow,Out for the season
Arizona,K. GinkelKevin Ginkel,RP,"Thu, Aug 7",Shoulder,Out for the season
Arizona,R. ThompsonRyan Thompson,RP,"Mon, Aug 4",Shoulder,Expected to be out until at least Aug 16
Arizona,C. Montes De OcaChristian Montes De Oca,RP,"Tue, Jul 22",Back,Expected to be out until at least Sep 15
Arizona,A. PukA.J. Puk,RP,"Sun, Jul 6",Elbow,Out for the season
Arizona,C. BurnesCorbin Burnes,SP,"Sat, Jun 7",Elbow,Out for the season
Arizona,B. WalstonBlake Walston,SP,"Mon, Apr 28",Elbow,Out for the season
Atlanta,R. LopezReynaldo Lopez,SP,"Thu, Aug 14",Shoulder,Expected to be out until at least Sep 1
Atlanta,C. SaleChris Sale,SP,"Wed, Aug 13",Ribs,Expected to be out until at least Aug 27
Atlanta,A. RileyAustin Riley,3B,"Wed, Aug 13",Abdomen,Expected to be out until at least Aug 22
Atlanta,J. JimenezJoe Jimenez,RP,"Mon, Aug 11",Knee,Expected to be out until at least Sep 1
Atlanta,G. HolmesGrant Holmes,SP,"Tue, Aug 5",Elbow,Out for the season
Atlanta,S. SchwellenbachSpencer Schwellenbach,SP,"Mon, Aug 4",Elbow,Out for the season
Atlanta,R. KerrRaymond Kerr,RP,"Fri, Aug 1",Elbow,Expected to be out until at least Sep 1
Atlanta,A. Smith-ShawverA.J. Smith-Shawver,SP,"Mon, Jun 2",Elbow,Out for the season
