PLAYERPLAYER,TEAMTEAM,WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.,LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.,ERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IPERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IP,GGamesGames in which the pitcher threw at least one pitch.GGamesGames in which the pitcher threw at least one pitch.,"GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.",CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.,SHOShutoutsWhen a pitcher throws a complete game and allows no runs.SHOShutoutsWhen a pitcher throws a complete game and allows no runs.,"SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.",SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.,"IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.",HHitsHits allowed by a pitcher.HHitsHits allowed by a pitcher.,RRunsRuns allowed by a pitcher.RRunsRuns allowed by a pitcher.,EREarned RunsEarned runs allowed by a pitcher.EREarned RunsEarned runs allowed by a pitcher.,HRHome RunsHome runs allowed by a pitcher.HRHome RunsHome runs allowed by a pitcher.,HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.,BBWalksWalks allowed by a pitcher.BBWalksWalks allowed by a pitcher.,caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.,WHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IPWHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IP,AVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/ABAVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/AB
1MacKenzieM GoreGoreP1‌‌‌,WSH,0,0,0.00,1,1,0,0,0,0,6.0,1,0,0,0,0,0,13,0.17,.056
2NathanN EovaldiEovaldiP2‌‌‌,TEX,0,0,3.00,1,1,0,0,0,0,6.0,3,2,2,1,0,0,9,0.50,.143
3HunterH GreeneGreeneP3‌‌‌,CIN,0,0,3.60,1,1,0,0,0,0,5.0,3,2,2,1,0,1,8,0.80,.167
3FreddyF PeraltaPeraltaP3‌‌‌,MIL,0,1,3.60,1,1,0,0,0,0,5.0,4,2,2,2,0,1,8,1.00,.211
3ZackZ WheelerWheelerP3‌‌‌,PHI,0,0,1.50,1,1,0,0,0,0,6.0,2,1,1,1,0,2,8,0.67,.111
6SandyS AlcantaraAlcantaraP6‌‌‌,MIA,0,0,3.86,1,1,0,0,0,0,4.2,2,2,2,0,0,4,7,1.29,.125
6CarlosC RodónRodónP6‌‌‌,NYY,1,0,1.69,1,1,0,0,0,0,5.1,4,1,1,1,0,2,7,1.13,.200
6ChrisC SaleSaleP6‌‌‌,ATL,0,0,5.40,1,1,0,0,0,0,5.0,6,3,3,0,0,1,7,1.40,.300
6PaulP SkenesSkenesP6‌‌‌,PIT,0,0,3.38,1,1,0,0,0,0,5.1,3,2,2,0,0,2,7,0.94,.167
10SonnyS GrayGrayP10‌‌‌,STL,1,0,3.60,1,1,0,0,0,0,5.0,4,2,2,1,0,2,6,1.20,.222
11JoséJ BerríosBerríosP11‌‌‌,TOR,0,1,10.80,1,1,0,0,0,0,5.0,9,6,6,3,0,2,5,2.20,.409
11BenB BrownBrownP11‌‌‌,CHC,0,1,6.75,1,0,0,0,0,0,2.2,4,3,2,0,0,3,5,2.63,.333
11YuseiY KikuchiKikuchiP11‌‌‌,LAA,0,1,4.50,1,1,0,0,0,0,6.0,5,3,3,1,0,0,5,0.83,.217
11JustinJ SteeleSteeleP11‌‌‌,CHC,0,1,11.25,1,1,0,0,0,0,4.0,5,5,5,2,0,1,5,1.50,.333
11LoganL WebbWebbP11‌‌‌,SF,0,0,5.40,1,1,0,0,0,0,5.0,6,3,3,0,0,3,5,1.80,.316
16GarrettG CrochetCrochetP16‌‌‌,BOS,0,0,3.60,1,1,0,0,0,0,5.0,5,2,2,0,0,2,4,1.40,.263
16ClayC HolmesHolmesP16‌‌‌,NYM,0,1,3.86,1,1,0,0,0,0,4.2,5,3,2,0,1,4,4,1.93,.278
16BlakeB TreinenTreinenP16‌‌‌,LAD,0,0,0.00,2,0,0,0,1,1,2.0,1,0,0,0,1,1,4,1.00,.143
