PLAYERPLAYER,TEAMTEAM,WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.,LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.,ERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IPERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IP,GGamesGames in which the pitcher threw at least one pitch.GGamesGames in which the pitcher threw at least one pitch.,"GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.",CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.,SHOShutoutsWhen a pitcher throws a complete game and allows no runs.SHOShutoutsWhen a pitcher throws a complete game and allows no runs.,"SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.",SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.,"IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.",HHitsHits allowed by a pitcher.HHitsHits allowed by a pitcher.,RRunsRuns allowed by a pitcher.RRunsRuns allowed by a pitcher.,EREarned RunsEarned runs allowed by a pitcher.EREarned RunsEarned runs allowed by a pitcher.,HRHome RunsHome runs allowed by a pitcher.HRHome RunsHome runs allowed by a pitcher.,HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.,BBWalksWalks allowed by a pitcher.BBWalksWalks allowed by a pitcher.,caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.,WHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IPWHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IP,AVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/ABAVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/AB
1GarrettG CrochetCrochetP1‌‌‌,BOS,1,0,0.57,5,5,0,0,0,0,15.2,13,1,1,0,1,8,30,1.34,.228
2HunterH GreeneGreeneP2‌‌‌,CIN,1,1,5.57,6,6,0,0,0,0,21.0,22,13,13,4,1,7,29,1.38,.275
3SpencerS SchwellenbachSchwellenbachP3‌‌‌,ATL,2,0,3.00,6,5,0,0,0,0,21.0,17,7,7,1,1,3,28,0.95,.221
4DylanD CeaseCeaseP4‌‌‌,SD,1,0,3.26,5,5,0,0,0,0,19.1,15,7,7,2,0,6,26,1.09,.211
4MichaelM WachaWachaP4‌‌‌,KC,0,2,7.64,5,5,0,0,0,0,17.2,20,17,15,8,1,6,26,1.47,.270
4GavinG WilliamsWilliamsP4‌‌‌,CLE,2,0,2.08,5,5,0,0,0,0,17.1,13,4,4,1,1,4,26,0.98,.210
7KrisK BubicBubicP7‌‌‌,KC,2,1,5.40,7,6,0,0,0,0,21.2,24,13,13,2,0,6,25,1.38,.279
7CaseyC MizeMizeP7‌‌‌,DET,1,1,1.89,6,4,0,0,0,0,19.0,11,4,4,1,0,8,25,1.00,.164
7WillW WarrenWarrenP7‌‌‌,NYY,4,1,5.09,7,6,0,0,0,0,23.0,21,14,13,5,0,7,25,1.22,.236
10ChaseC DollanderDollanderP10‌‌‌,COL,2,3,7.13,6,6,0,0,0,0,17.2,17,16,14,5,0,10,24,1.53,.239
10KyleK FreelandFreelandP10‌‌‌,COL,2,1,6.16,5,5,0,0,0,0,19.0,21,14,13,1,2,3,24,1.26,.276
10TarikT SkubalSkubalP10‌‌‌,DET,2,0,2.33,5,5,0,0,0,0,19.1,15,5,5,2,0,1,24,0.83,.208
13ClayC HolmesHolmesP13‌‌‌,NYM,1,1,0.93,5,5,0,0,0,0,19.1,7,2,2,0,0,8,23,0.78,.109
13KentaK MaedaMaedaP13‌‌‌,DET,0,2,4.91,6,3,0,0,0,0,14.2,13,8,8,4,0,1,23,0.95,.228
13RobbieR RayRayP13‌‌‌,SF,3,0,1.86,5,5,0,0,0,0,19.1,11,5,4,3,1,1,23,0.62,.157
13PaulP SkenesSkenesP13‌‌‌,PIT,2,0,2.50,5,5,0,0,0,0,18.0,18,5,5,1,1,9,23,1.50,.254
17CorbinC BurnesBurnesP17‌‌‌,AZ,3,0,5.06,6,6,0,0,0,0,16.0,22,10,9,0,1,2,22,1.50,.319
17GriffinG CanningCanningP17‌‌‌,NYM,2,1,1.88,4,3,0,0,0,0,14.1,11,3,3,1,0,5,22,1.12,.208
17PabloP LópezLópezP17‌‌‌,MIN,0,4,6.62,5,5,0,0,0,0,17.2,24,13,13,2,0,9,22,1.87,.329
17ColeC RagansRagansP17‌‌‌,KC,2,2,8.20,6,6,0,0,0,0,18.2,32,17,17,5,0,6,22,2.04,.386
17LoganL WebbWebbP17‌‌‌,SF,3,0,1.77,5,5,0,0,0,0,20.1,12,6,4,2,0,3,22,0.74,.160
22JoeJ BoyleBoyleP22‌‌‌,TB,1,0,3.52,5,3,0,0,0,0,15.1,14,7,6,2,1,10,21,1.57,.237
22DeanD KremerKremerP22‌‌‌,BAL,0,2,7.27,5,3,0,0,0,0,17.1,21,14,14,6,0,9,21,1.73,.300
22JackJ LeiterLeiterP22‌‌‌,TEX,1,0,3.48,6,3,0,0,0,1,20.2,22,8,8,1,0,10,21,1.55,.286
22ChrisC PaddackPaddackP22‌‌‌,MIN,1,0,4.58,5,5,0,0,0,0,17.2,17,9,9,4,0,4,21,1.19,.250
22BradyB SingerSingerP22‌‌‌,CIN,1,0,2.55,5,5,0,0,0,0,17.2,18,5,5,1,2,7,21,1.42,.273
22JoséJ SorianoSorianoP22‌‌‌,LAA,0,2,3.60,6,6,0,0,0,0,20.0,18,8,8,2,0,10,21,1.40,.237
28JoséJ AlvaradoAlvaradoP28‌‌‌,PHI,0,0,0.00,9,0,0,0,0,0,9.0,3,0,0,0,0,3,20,0.67,.097
28SpencerS ArrighettiArrighettiP28‌‌‌,HOU,0,1,3.71,6,5,0,0,0,0,17.0,12,9,7,0,1,16,20,1.65,.203
28BradleyB BlalockBlalockP28‌‌‌,COL,2,0,1.02,9,3,0,0,0,0,17.2,17,2,2,0,0,7,20,1.36,.254
28KumarK RockerRockerP28‌‌‌,TEX,0,2,9.00,5,4,0,0,0,0,13.0,18,13,13,3,3,9,20,2.08,.327
28ChrisC SaleSaleP28‌‌‌,ATL,1,1,2.79,5,5,0,0,0,0,19.1,12,6,6,3,1,5,20,0.88,.176
28AJA Smith-ShawverSmith-ShawverP28‌‌‌,ATL,1,1,3.94,5,4,0,0,0,0,16.0,19,9,7,0,0,5,20,1.50,.297
28JeffreyJ SpringsSpringsP28‌‌‌,ATH,1,2,4.42,6,6,0,0,0,0,18.1,25,12,9,3,1,8,20,1.80,.321
35LoganL AllenAllenP35‌‌‌,CLE,1,0,1.89,6,3,0,0,1,2,19.0,16,7,4,1,2,4,19,1.05,.219
35LoganL GilbertGilbertP35‌‌‌,SEA,0,1,6.00,5,5,0,0,0,0,15.0,12,10,10,5,0,7,19,1.27,.214
35TylerT GlasnowGlasnowP35‌‌‌,LAD,0,1,3.27,4,4,0,0,0,0,11.0,8,4,4,2,0,2,19,0.91,.200
35DanielD Lynch IVLynchP35‌‌‌,KC,0,2,5.82,8,4,0,0,0,0,17.0,25,11,11,1,0,0,19,1.47,.333
35AntonioA SenzatelaSenzatelaP35‌‌‌,COL,0,0,1.21,6,4,0,0,0,0,22.1,16,3,3,1,1,4,19,0.90,.203
35CristopherC SánchezSánchezP35‌‌‌,PHI,1,0,1.62,5,5,0,0,0,0,16.2,12,4,3,0,0,2,19,0.84,.197
35JustinJ VerlanderVerlanderP35‌‌‌,SF,2,0,3.43,5,5,0,0,0,0,21.0,21,8,8,2,0,5,19,1.24,.263
35TrevorT WilliamsWilliamsP35‌‌‌,WSH,2,0,3.93,5,5,0,0,0,0,18.1,21,10,8,1,0,3,19,1.31,.284
43ChrisC BassittBassittP43‌‌‌,TOR,2,0,1.74,5,5,0,0,0,0,20.2,10,4,4,0,0,10,18,0.97,.143
43JoséJ BerríosBerríosP43‌‌‌,TOR,2,0,2.18,5,5,0,0,0,0,20.2,18,5,5,3,1,5,18,1.11,.237
43OsvaldoO BidoBidoP43‌‌‌,ATH,1,2,7.02,5,5,0,0,0,0,16.2,17,13,13,5,3,5,18,1.32,.262
43HaydenH BirdsongBirdsongP43‌‌‌,SF,2,0,0.75,4,1,0,0,1,1,12.0,6,1,1,0,2,0,18,0.50,.146
43JoeyJ CantilloCantilloP43‌‌‌,CLE,1,3,7.24,7,4,0,0,0,1,13.2,15,11,11,1,0,9,18,1.76,.278
43MacKenzieM GoreGoreP43‌‌‌,WSH,2,1,2.76,4,4,0,0,0,0,16.1,15,5,5,0,0,7,18,1.35,.254
43BrentB HeadrickHeadrickP43‌‌‌,NYY,0,0,5.40,7,1,0,0,0,0,11.2,13,7,7,1,0,7,18,1.71,.277
43SethS LugoLugoP43‌‌‌,KC,3,0,5.50,5,5,0,0,0,0,18.0,19,11,11,3,0,5,18,1.33,.271
43TylorT MegillMegillP43‌‌‌,NYM,0,2,4.24,4,4,0,0,0,0,17.0,16,8,8,1,0,4,18,1.18,.262
43MaxM ScherzerScherzerP43‌‌‌,TOR,1,0,1.38,4,4,0,0,0,0,13.0,5,2,2,1,0,1,18,0.46,.114
53CalebC BoushleyBoushleyP53‌‌‌,TEX,0,0,3.27,8,0,0,0,0,0,11.0,11,5,4,1,0,3,17,1.27,.268
53ReidR DetmersDetmersP53‌‌‌,LAA,2,1,2.79,6,3,0,0,0,0,19.1,17,7,6,0,0,4,17,1.09,.224
53CalebC FergusonFergusonP53‌‌‌,PIT,1,0,3.38,8,1,0,0,0,0,13.1,11,5,5,1,2,5,17,1.20,.229
53SonnyS GrayGrayP53‌‌‌,STL,0,3,12.56,4,4,0,0,0,0,14.1,23,20,20,8,1,6,17,2.02,.359
53JaredJ JonesJonesP53‌‌‌,PIT,0,1,2.25,4,4,0,0,0,0,12.0,8,3,3,0,1,6,17,1.17,.190
53BryceB MillerMillerP53‌‌‌,SEA,1,0,3.77,4,4,0,0,0,0,14.1,10,8,6,2,0,3,17,0.91,.189
53KeiderK MonteroMonteroP53‌‌‌,DET,0,1,3.21,5,3,0,0,0,0,14.0,12,5,5,1,0,6,17,1.29,.222
53AaronA NolaNolaP53‌‌‌,PHI,1,0,1.84,4,4,0,0,0,0,14.2,9,3,3,3,0,6,17,1.02,.180
53BaileyB OberOberP53‌‌‌,MIN,3,0,1.77,5,5,0,0,0,0,20.1,18,4,4,2,0,5,17,1.13,.231
53StevenS OkertOkertP53‌‌‌,HOU,1,0,0.00,10,1,0,0,0,0,11.0,2,0,0,0,0,2,17,0.36,.059
53NickN PivettaPivettaP53‌‌‌,SD,1,0,3.38,4,4,0,0,0,0,13.1,6,5,5,0,1,7,17,0.98,.133
53JoeJ RyanRyanP53‌‌‌,MIN,2,1,5.54,4,4,0,0,0,0,13.0,9,8,8,3,1,5,17,1.08,.191
53JustinJ SternerSternerP53‌‌‌,ATH,0,0,0.00,10,0,0,0,0,0,12.0,5,1,0,0,0,2,17,0.58,.125
53BryanB WooWooP53‌‌‌,SEA,1,0,4.96,5,5,0,0,0,0,16.1,19,10,9,2,0,4,17,1.41,.279
67JakeJ BirdBirdP67‌‌‌,COL,0,0,2.81,10,0,0,0,0,0,16.0,8,6,5,0,1,9,16,1.06,.154
67RyanR FeltnerFeltnerP67‌‌‌,COL,2,1,6.14,5,5,0,0,0,0,14.2,14,10,10,2,1,11,16,1.70,.250
67JackJ FlahertyFlahertyP67‌‌‌,DET,0,1,3.94,4,4,0,0,0,0,16.0,11,7,7,1,1,6,16,1.06,.200
67BowdenB FrancisFrancisP67‌‌‌,TOR,1,1,7.63,5,3,0,0,0,1,15.1,20,13,13,5,1,7,16,1.76,.308
67J.T.J GinnGinnP67‌‌‌,ATH,2,1,7.62,5,2,0,0,0,0,13.0,16,13,11,1,1,8,16,1.85,.296
