,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Aaron JudgeA. Judge,85,2025,NYY,103,377,90,129,24,2,37,73,4,120,6,3,459,268,63,0,5,27,11,.342,.449,.711,1.160,111,57.2,.468,206,57.1
,Kyle StowersK. Stowers,67,2025,MIA,104,351,54,103,18,3,24,41,5,113,5,1,401,199,45,1,3,3,6,.293,.373,.567,.939,74,27.1,.397,156,26.3
,Cody BellingerC. Bellinger,65,2025,NYY,102,398,62,111,20,5,20,32,1,58,9,2,436,201,45,0,5,1,4,.279,.330,.505,.835,66,14.7,.355,128,14.5
,Anthony VolpeA. Volpe,60,2025,NYY,110,394,51,87,23,3,17,36,4,104,14,7,441,167,43,1,6,0,7,.221,.289,.424,.712,49,-2.3,.307,95,-2.4
,Austin WellsA. Wells,56,2025,NYY,88,293,35,62,15,1,15,22,5,78,5,1,329,124,31,0,9,0,8,.212,.271,.423,.694,34,-4.7,.296,88,-4.8
,Otto LopezO. Lopez,55,2025,MIA,93,349,45,87,14,0,11,34,3,55,10,5,387,134,25,0,1,2,5,.249,.320,.384,.704,44,-1.2,.310,96,-2
,Agustín RamírezA. Ramírez,50,2025,MIA,85,340,48,83,24,1,17,22,0,70,5,2,363,160,42,0,1,1,10,.244,.289,.471,.760,46,3.1,.324,105,2.3
,Jazz Chisholm Jr.J. Chisholm Jr.,49,2025,NYY,80,289,45,70,11,0,18,37,5,92,14,4,334,135,29,1,2,0,3,.242,.336,.467,.803,49,9.5,.349,124,9.4
,Trent GrishamT. Grisham,43,2025,NYY,94,315,53,78,9,1,19,49,2,79,1,1,367,146,29,1,0,0,4,.248,.352,.463,.816,56,12.7,.357,129,12.6
,Paul GoldschmidtP. Goldschmidt,38,2025,NYY,104,374,59,104,24,1,8,31,2,77,5,1,408,154,33,0,1,5,7,.278,.336,.412,.748,51,3.2,.323,106,3.1
,Jasson DomínguezJ. Domínguez,37,2025,NYY,92,317,49,83,16,1,9,36,2,98,18,2,359,128,26,0,4,1,5,.262,.337,.404,.741,45,3.2,.325,107,3.1
,Jesús SánchezJ. Sánchez,36,2025,MIA,86,305,40,78,12,4,10,29,1,70,9,2,337,128,26,0,2,1,8,.256,.320,.420,.740,42,2.1,.321,104,1.4
,Ben RiceB. Rice,35,2025,NYY,92,300,49,70,18,2,16,34,9,68,3,2,344,140,36,0,1,0,8,.233,.328,.467,.795,49,8.7,.345,121,8.6
,Eric WagamanE. Wagaman,34,2025,MIA,99,356,35,83,21,1,5,22,1,71,3,1,383,121,27,0,4,0,10,.233,.277,.340,.617,32,-13.3,.271,69,-14.1
,Liam HicksL. Hicks,33,2025,MIA,75,198,20,52,9,1,4,25,5,39,0,0,234,75,14,3,3,0,3,.263,.355,.379,.734,30,2.6,.327,108,2.1
,Xavier EdwardsX. Edwards,28,2025,MIA,93,375,51,110,17,3,1,39,1,60,17,7,420,136,21,3,2,2,3,.293,.360,.363,.722,52,2.5,.321,103,1.6
,Giancarlo StantonG. Stanton,26,2025,NYY,34,119,16,32,3,0,9,11,1,42,0,0,131,62,12,0,0,1,1,.269,.336,.521,.857,21,5.5,.366,135,5.5
,Connor NorbyC. Norby,26,2025,MIA,72,253,33,61,11,1,6,14,4,73,7,2,273,92,18,0,2,0,2,.241,.289,.364,.653,26,-5.9,.287,80,-6.5
,Dane MyersD. Myers,25,2025,MIA,80,243,25,61,8,0,5,17,2,60,16,5,263,84,13,0,1,0,9,.251,.304,.346,.650,26,-5.3,.289,81,-5.8
,Javier SanojaJ. Sanoja,23,2025,MIA,77,201,29,50,13,3,3,13,0,31,3,5,222,78,19,4,4,0,1,.249,.289,.388,.677,22,-3.9,.292,83,-4.3
,Heriberto HernándezH. Hernández,18,2025,MIA,39,107,16,32,5,0,5,10,0,33,0,0,118,52,10,0,1,0,1,.299,.356,.486,.842,19,4.8,.364,133,4.5
,Matt MervisM. Mervis,14,2025,MIA,42,120,15,21,4,0,7,11,2,50,0,0,134,46,11,0,1,1,1,.175,.254,.383,.637,12,-4.2,.275,71,-4.5
,Oswald PerazaO. Peraza,13,2025,NYY,71,158,18,24,5,0,3,11,1,47,3,0,170,38,8,0,0,0,3,.152,.212,.241,.452,5,-14.9,.205,25,-14.9
,DJ LeMahieu,12,2025,NYY,45,128,13,34,3,0,2,14,0,35,0,0,142,43,5,0,0,0,4,.266,.338,.336,.674,16,-1.1,.304,93,-1.1
,Oswaldo CabreraO. Cabrera,11,2025,NYY,34,107,17,26,4,0,1,11,2,25,0,1,122,33,5,1,1,0,1,.243,.322,.308,.631,12,-2.6,.287,81,-2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
