PLAYERPLAYER,TEAMTEAM,GGames PlayedGames in which a player has appeared.GGames PlayedGames in which a player has appeared.,"ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.",RRunsWhen a baserunner safely reaches home plate and scores.RRunsWhen a baserunner safely reaches home plate and scores.,HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.,2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.,3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.,"HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.","caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.",BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.,SOStrikeoutsWhen the umpire calls three strikes on the batter.SOStrikeoutsWhen the umpire calls three strikes on the batter.,"SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.",CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.,AVGBatting AverageThe rate of hits per at bat.H/ABAVGBatting AverageThe rate of hits per at bat.H/AB,OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF)OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF),SLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/ABSLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/AB,OPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLGOPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLG
1MattM GorskiGorskiCF1‌‌‌,PIT,5,10,4,4,1,0,3,10,0,2,0,0,.400,.364,1.400,1.764
2CorbinC CarrollCarrollCF2‌‌‌,AZ,4,10,4,6,0,0,3,8,2,2,2,0,.600,.667,1.500,2.167
3MichaelM BuschBusch1B3‌‌‌,CHC,5,14,3,6,1,0,1,7,1,2,0,0,.429,.467,.714,1.181
3VinnyV CapraCapra3B3‌‌‌,MIL,5,13,3,5,0,0,3,7,0,5,1,0,.385,.385,1.077,1.462
3KyleK HigashiokaHigashiokaC3‌‌‌,TEX,4,8,4,4,1,0,2,7,1,2,0,0,.500,.500,1.375,1.875
3BenB MalgeriMalgeriCF3‌‌‌,DET,3,8,1,5,1,0,1,7,0,2,1,0,.625,.625,1.125,1.750
7DavidD BoteBote3B7‌‌‌,LAD,6,15,5,8,2,0,1,6,1,3,0,0,.533,.563,.867,1.430
7HunterH FeducciaFeducciaC7‌‌‌,LAD,4,9,2,5,2,0,1,6,1,2,0,0,.556,.600,1.111,1.711
7AustinA HaysHaysLF7‌‌‌,CIN,3,7,2,3,1,0,2,6,0,0,0,0,.429,.500,1.429,1.929
7KodyK HoeseHoese3B7‌‌‌,LAD,9,14,1,4,2,0,0,6,1,3,0,0,.286,.333,.429,.762
7JorgeJ SolerSolerRF7‌‌‌,LAA,5,10,4,5,1,0,2,6,2,3,0,0,.500,.615,1.200,1.815
7GageG WorkmanWorkman3B7‌‌‌,CHC,7,17,3,5,0,0,2,6,1,5,0,1,.294,.316,.647,.963
13TresT BarreraBarreraC13‌‌‌,TB,6,11,2,5,1,0,1,5,0,5,0,0,.455,.455,.818,1.273
13AlexA BregmanBregman3B13‌‌‌,BOS,3,7,1,3,1,0,1,5,1,3,0,0,.429,.400,1.000,1.400
13SethS BrownBrownLF13‌‌‌,ATH,4,10,1,2,1,0,0,5,1,2,1,0,.200,.273,.300,.573
13LawrenceL ButlerButlerRF13‌‌‌,ATH,4,12,4,7,1,0,2,5,0,1,0,1,.583,.583,1.167,1.750
13ColeC CarriggCarriggLF13‌‌‌,COL,8,11,2,3,2,0,1,5,1,3,2,0,.273,.333,.727,1.060
13DillonD DinglerDinglerC13‌‌‌,DET,4,9,1,3,1,0,1,5,0,0,0,0,.333,.333,.778,1.111
13ThairoT EstradaEstrada2B13‌‌‌,COL,4,12,1,7,0,0,0,5,0,0,1,0,.583,.583,.583,1.166
13ColeL GabrielsonGabrielsonCF13‌‌‌,NYY,5,4,1,1,0,0,1,5,0,0,0,0,.250,.200,1.000,1.200
13ZackZ GelofGelof2B13‌‌‌,ATH,4,10,3,4,1,0,1,5,1,5,0,0,.400,.500,.800,1.300
13RobertR Hassell IIIHassellCF13‌‌‌,WSH,7,20,4,9,3,0,1,5,1,4,1,0,.450,.476,.750,1.226
13JonathonJ LongLong3B13‌‌‌,CHC,7,14,2,3,1,0,0,5,1,2,0,0,.214,.267,.286,.553
