teamName,playerName,position,updated,injury,injuryStatus
Atlanta,Jacob Toppin,SF,"Sun, Jul 20",Hip,Probable for start of season
Atlanta,Nikola Djurisic,SF,"Sun, Jul 20",Hip,Probable for start of season
Atlanta,Jalen Johnson,SF,"Tue, Jun 24",Shoulder,Probable for start of season
Boston,Jayson Tatum,PF,"Thu, Jul 24",Achilles,Expected to be out until at least Apr 1
Boston,Jaylen Brown,SF,"Tue, Jun 24",Knee,Probable for start of season
Boston,Anfernee Simons,SG,"Tue, Jun 24",Forearm,Probable for start of season
Brooklyn,Tyson Etienne,PG,"Tue, Jul 22",Illness,Probable for start of season
Brooklyn,Day'Ron Sharpe,C,"Mon, Jun 30",Knee,Probable for start of season
Brooklyn,Ziaire Williams,SF,"Mon, Jun 30",Knee,Probable for start of season
Brooklyn,Noah Clowney,PF,"Tue, Jun 24",Ankle,Probable for start of season
Brooklyn,Cam Thomas,SG,"Tue, Jun 24",Hamstring,Probable for start of season
Charlotte,Liam McNeeley,SF,"Thu, Jul 24",Achilles,Probable for start of season
Charlotte,Sion James,PG,"Thu, Jul 24",Hip,Probable for start of season
Charlotte,Tidjane Salaun,PF,"Mon, Jul 21",Achilles,Probable for start of season
Charlotte,Nick Smith Jr.,PG,"Tue, Jun 24",Groin,Probable for start of season
Charlotte,Brandon Miller,SG,"Tue, Jun 24",Wrist,Probable for start of season
Charlotte,Miles Bridges,PF,"Tue, Jun 24",Hip,Probable for start of season
Charlotte,Grant Williams,PF,"Tue, Jun 24",Knee,Probable for start of season
Charlotte,LaMelo Ball,PG,"Tue, Jun 24",Ankle,Probable for start of season
Charlotte,Josh Green,SF,"Tue, Jun 24",Shoulder,Probable for start of season
Chicago,Noa Essengue,PF,"Sat, Jul 19",Quadriceps,Probable for start of season
Chicago,Ayo Dosunmu,PG,"Tue, Jun 24",Shoulder,Probable for start of season
Cleveland,Darius Garland,PG,"Thu, Jul 24",Toe,Expected to be out until at least Nov 1
Cleveland,Craig Porter Jr.,PG,"Sat, Jul 19",Hamstring,Probable for start of season
Cleveland,Sam Merrill,SG,"Tue, Jun 24",Neck,Probable for start of season
Cleveland,Lonzo Ball,PG,"Tue, Jun 24",Wrist,Probable for start of season
Dallas,Kyrie Irving,PG,"Thu, Jul 24",Knee,Expected to be out until at least Jan 1
Dallas,Ryan Nembhard,—,"Thu, Jul 24",Rest,Probable for start of season
Dallas,Dereck Lively II,C,"Tue, Jul 15",Foot,Probable for start of season
Dallas,Anthony Davis,C,"Tue, Jul 8",Eye,Probable for start of season
