teamName,playerName,position,updated,injury,injuryStatus
Atlanta,Jalen Johnson,SF,"Tue, Jun 24",Shoulder,Out|Expected to be out until at least Oct 1
Boston,Jaylen Brown,SF,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Boston,Anfernee Simons,SG,"Tue, Jun 24",Forearm,Out|Expected to be out until at least Oct 1
Boston,Jayson Tatum,PF,"Fri, May 16",Achilles,Out|Expected to be out until at least Feb 1
Brooklyn,Nolan Traore,PG,"Thu, Jul 10",Ankle,Out|Expected to be out until at least Jul 13
Brooklyn,Day'Ron Sharpe,C,"Mon, Jun 30",Knee,Out|Expected to be out until at least Oct 1
Brooklyn,Ziaire Williams,SF,"Mon, Jun 30",Knee,Out|Expected to be out until at least Oct 1
Brooklyn,Noah Clowney,PF,"Tue, Jun 24",Ankle,Out|Expected to be out until at least Oct 1
Brooklyn,Cam Thomas,SG,"Tue, Jun 24",Hamstring,Out|Expected to be out until at least Oct 1
Charlotte,LaMelo Ball,PG,"Tue, Jun 24",Ankle,Out|Expected to be out until at least Oct 1
Charlotte,Josh Green,SF,"Tue, Jun 24",Shoulder,Out|Expected to be out until at least Oct 1
Charlotte,Brandon Miller,SG,"Tue, Jun 24",Wrist,Out|Expected to be out until at least Oct 1
Charlotte,Nick Smith Jr.,PG,"Tue, Jun 24",Groin,Out|Expected to be out until at least Oct 1
Charlotte,Grant Williams,PF,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Charlotte,Miles Bridges,PF,"Tue, Jun 24",Hip,Out|Expected to be out until at least Oct 1
Chicago,Noa Essengue,PF,"Sun, Jul 13",Quadriceps,Out|Expected to be out until at least Jul 14
Chicago,Matas Buzelis,SF,"Sun, Jul 13",Rest,Out|Expected to be out until at least Jul 14
Chicago,Ayo Dosunmu,PG,"Tue, Jun 24",Shoulder,Out|Expected to be out until at least Oct 1
Cleveland,Craig Porter Jr.,PG,"Sun, Jul 13",Hamstring,Out|Expected to be out until at least Jul 13
Cleveland,Lonzo Ball,PG,"Tue, Jun 24",Wrist,Out|Expected to be out until at least Oct 1
Cleveland,Sam Merrill,SG,"Tue, Jun 24",Neck,Out|Expected to be out until at least Oct 1
Cleveland,Darius Garland,PG,"Mon, Jun 9",Toe,Out|Expected to be out until at least Nov 1
Dallas,Anthony Davis,C,"Tue, Jul 8",Eye,Out|Expected to be out until at least Oct 1
Dallas,Olivier-Maxence Prosper,SF,"Tue, Jun 24",Wrist,Out|Expected to be out until at least Oct 1
Dallas,Kyrie Irving,PG,"Sat, Apr 19",Knee,Out|Expected to be out until at least Jan 1
Detroit,Jaden Ivey,SG,"Tue, Jun 24",Lower Leg,Out|Expected to be out until at least Oct 1
Detroit,Isaiah Stewart,PF,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Golden St.,Moses Moody,SF,"Tue, Jun 24",Thumb,Out|Expected to be out until at least Oct 1
Golden St.,Brandin Podziemski,SG,"Tue, Jun 24",Abdomen,Out|Expected to be out until at least Oct 1
Golden St.,Stephen Curry,PG,"Tue, Jun 24",Hamstring,Out|Expected to be out until at least Oct 1
Houston,Dorian Finney-Smith,PF,"Mon, Jun 30",Ankle,Out|Expected to be out until at least Oct 1
Houston,Kevin Durant,PF,"Tue, Jun 24",Ankle,Out|Expected to be out until at least Oct 1
Indiana,Quenton Jackson,SG,"Sun, Jul 13",Leg,Out|Expected to be out until at least Jul 14
Indiana,Tyrese Haliburton,PG,"Wed, Jul 9",Achilles,"Out|Expected to be out until at least Oct 1, 2026"
Indiana,James Wiseman,C,"Mon, Jul 7",Achilles,Out|Expected to be out until at least Oct 1
Indiana,Jarace Walker,PF,"Mon, Jun 23",Ankle,Out|Expected to be out until at least Oct 1
Indiana,Isaiah Jackson,C,"Mon, Jun 23",Achilles,Out|Expected to be out until at least Oct 1
L.A. Clippers,Patrick Baldwin Jr.,SF,"Sun, Jul 13",Ankle,Out|Expected to be out until at least Jul 13
L.A. Clippers,Kobe Brown,SF,"Sat, Jul 12",Ankle,Out|Expected to be out until at least Jul 13
L.A. Lakers,Dalton Knecht,SF,"Sun, Jul 13",Rest,Out|Expected to be out until at least Jul 14
Memphis,Gregory Jackson,PF,"Sun, Jul 13",Illness,Out|Expected to be out until at least Jul 15
Memphis,Jaren Jackson Jr.,PF,"Tue, Jul 1",Toe,Out|Expected to be out until at least Oct 1
Memphis,Brandon Clarke,C,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Memphis,Ja Morant,PG,"Tue, Jun 24",Hip,Out|Expected to be out until at least Oct 1
Memphis,Zach Edey,C,"Wed, Jun 11",Ankle,Out|Expected to be out until at least Nov 1
Miami,Dru Smith,SG,"Tue, Jun 24",Achilles,Out|Expected to be out until at least Oct 1
Miami,Terry Rozier,SG,"Tue, Jun 24",Ankle,Out|Expected to be out until at least Oct 1
New Orleans,Yves Missi,C,"Tue, Jun 24",Ankle,Out|Expected to be out until at least Oct 1
New Orleans,Karlo Matkovic,PF,"Tue, Jun 24",Hamstring,Out|Expected to be out until at least Oct 1
New Orleans,Jordan Hawkins,SG,"Tue, Jun 24",Back,Out|Expected to be out until at least Oct 1
New Orleans,Dejounte Murray,PG,"Tue, Jun 24",Achilles,Out|Expected to be out until at least Nov 1
New Orleans,Zion Williamson,PF,"Tue, Jun 24",Back,Out|Expected to be out until at least Oct 1
New Orleans,Trey Murphy III,SF,"Tue, Jun 24",Shoulder,Out|Expected to be out until at least Oct 1
New Orleans,Saddiq Bey,SF,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
New Orleans,Herbert Jones,SG,"Tue, Jun 24",Shoulder,Out|Expected to be out until at least Oct 1
Oklahoma City,Jalen Williams,SF,"Thu, Jul 3",Wrist,Out|Expected to be out until at least Oct 1
Orlando,Jalen Suggs,SG,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Philadelphia,Jalen Hood-Schifino,SG,"Sun, Jul 13",Undisclosed,Out|Expected to be out until at least Jul 15
Philadelphia,Jared McCain,SG,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Philadelphia,Tyrese Maxey,PG,"Tue, Jun 24",Finger,Out|Expected to be out until at least Oct 1
Philadelphia,Kelly Oubre Jr.,SG,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Philadelphia,Joel Embiid,C,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Philadelphia,Andre Drummond,C,"Tue, Jun 24",Toe,Out|Expected to be out until at least Oct 1
Philadelphia,Paul George,SF,"Tue, Jun 24",Thigh,Out|Expected to be out until at least Oct 1
Phoenix,Nick Richards,C,"Tue, Jun 24",Elbow,Out|Expected to be out until at least Oct 1
Portland,Deni Avdija,SF,"Tue, Jun 24",Thumb,Out|Expected to be out until at least Oct 1
Portland,Scoot Henderson,PG,"Tue, Jun 24",Concussion,Out|Expected to be out until at least Oct 1
Portland,Shaedon Sharpe,SG,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Portland,Jerami Grant,PF,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Portland,Robert Williams III,C,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Sacramento,Malik Monk,SG,"Tue, Jun 24",Calf,Out|Expected to be out until at least Oct 1
San Antonio,Jeremy Sochan,SF,"Tue, Jun 24",Back,Out|Expected to be out until at least Oct 1
San Antonio,Victor Wembanyama,C,"Tue, Jun 24",Shoulder,Out|Expected to be out until at least Oct 1
San Antonio,De'Aaron Fox,PG,"Tue, Jun 24",Finger,Out|Expected to be out until at least Oct 1
San Antonio,Devin Vassell,SG,"Tue, Jun 24",Ankle,Out|Expected to be out until at least Oct 1
Toronto,Ja'Kobe Walter,SG,"Tue, Jun 24",Hip,Out|Expected to be out until at least Oct 1
Toronto,Gradey Dick,SG,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Toronto,Brandon Ingram,SF,"Tue, Jun 24",Ankle,Out|Expected to be out until at least Oct 1
Toronto,Jakob Poeltl,C,"Tue, Jun 24",Hand,Out|Expected to be out until at least Oct 1
Utah,Brice Sensabaugh,SG,"Sat, Jul 12",Knee,Out|Expected to be out until at least Jul 13
Utah,Kenyon Martin Jr.,SF,"Tue, Jun 24",Illness,Out|Expected to be out until at least Oct 1
Utah,Walker Kessler,C,"Tue, Jun 24",Concussion,Out|Expected to be out until at least Oct 1
Utah,Taylor Hendricks,PF,"Tue, Jun 24",Lower Leg,Out|Expected to be out until at least Oct 1
Utah,Lauri Markkanen,PF,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Washington,Bilal Coulibaly,SF,"Tue, Jun 24",Hamstring,Out|Expected to be out until at least Oct 1
Washington,Kelly Olynyk,PF,"Tue, Jun 24",Heel,Out|Expected to be out until at least Oct 1
Washington,Richaun Holmes,C,"Tue, Jun 24",Shoulder,Out|Expected to be out until at least Oct 1
Washington,Khris Middleton,SF,"Tue, Jun 24",Knee,Out|Expected to be out until at least Oct 1
Washington,Corey Kispert,SG,"Tue, Jun 24",Thumb,Out|Expected to be out until at least Oct 1
