PLAYERPLAYER ON TEAM,GPGAMES PLAYED,ATTRUSHING ATTEMPTS,YDSRUSHING YARDS,YDS/GRUSHING YARDS PER GAME,AVGAVERAGE YARDS PER RUSH,TDRUSHING TOUCHDOWNS,LNGLONGEST RUSH,PLAYER,TEAM
B. CorumRBLARBlake CorumRBLAR,1,9,32,32.0,3.6,2,9,B. CorumRBLARBlake CorumRBLAR,
K. VidalRBLACKimani VidalRBLAC,2,15,53,26.5,3.5,2,16,K. VidalRBLACKimani VidalRBLAC,
R. AliRBBALRasheen AliRBBAL,1,9,37,37.0,4.1,1,19,R. AliRBBALRasheen AliRBBAL,
N. CarterRBATLNate CarterRBATL,2,12,75,37.5,6.3,1,43,N. CarterRBATLNate CarterRBATL,
Z. CharbonnetRBSEAZach CharbonnetRBSEA,1,5,45,45.0,9.0,1,15,Z. CharbonnetRBSEAZach CharbonnetRBSEA,
J. DobbsQBNEJoshua DobbsQBNE,1,1,2,2.0,2.0,1,2,J. DobbsQBNEJoshua DobbsQBNE,
J. FieldsQBNYJJustin FieldsQBNYJ,1,2,14,14.0,7.0,1,13,J. FieldsQBNYJJustin FieldsQBNYJ,
O. Gordon IIRBMIAOllie Gordon IIRBMIA,1,8,33,33.0,4.1,1,21,O. Gordon IIRBMIAOllie Gordon IIRBMIA,
W. GrierQBDALWill GrierQBDAL,1,2,12,12.0,6.0,1,8,W. GrierQBDALWill GrierQBDAL,
K. HerbertRBINDKhalil HerbertRBIND,1,7,29,29.0,4.1,1,17,K. HerbertRBINDKhalil HerbertRBIND,
G. HolaniRBSEAGeorge HolaniRBSEA,2,12,110,55.0,9.2,1,30,G. HolaniRBSEAGeorge HolaniRBSEA,
S. HowellQBMINSam HowellQBMIN,1,4,2,2.0,0.5,1,2,S. HowellQBMINSam HowellQBMIN,
J. JeffersonRBTENJermar JeffersonRBTEN,1,4,18,18.0,4.5,1,16,J. JeffersonRBTENJermar JeffersonRBTEN,
T. JenningsRBNETerrell JenningsRBNE,1,6,19,19.0,3.2,1,7,T. JenningsRBNETerrell JenningsRBNE,
A. JohnsonRBGBAmar JohnsonRBGB,1,7,67,67.0,9.6,1,39,A. JohnsonRBGBAmar JohnsonRBGB,
T. LanceQBLACTrey LanceQBLAC,2,10,56,28.0,5.6,1,17,T. LanceQBLACTrey LanceQBLAC,
L. LarisonRBNELan LarisonRBNE,1,7,35,35.0,5.0,1,16,L. LarisonRBNELan LarisonRBNE,
G. LarvadainWRCLEGage LarvadainWRCLE,1,1,4,4.0,4.0,1,4,G. LarvadainWRCLEGage LarvadainWRCLE,
D. MartinezRBSEADamien MartinezRBSEA,2,17,60,30.0,3.5,1,19,D. MartinezRBSEADamien MartinezRBSEA,
A. MattisonRBMIAAlexander MattisonRBMIA,1,3,8,8.0,2.7,1,7,A. MattisonRBMIAAlexander MattisonRBMIA,
D. MayeQBNEDrake MayeQBNE,1,2,16,16.0,8.0,1,11,D. MayeQBNEDrake MayeQBNE,
T. McKeeQBPHITanner McKeeQBPHI,1,1,1,1.0,1.0,1,1,T. McKeeQBPHITanner McKeeQBPHI,
J. McNicholsRBWASJeremy McNicholsRBWAS,1,3,18,18.0,6.0,1,9,J. McNicholsRBWASJeremy McNicholsRBWAS,
G. MinshewQBKCGardner MinshewQBKC,2,4,9,4.5,2.3,1,5,G. MinshewQBKCGardner MinshewQBKC,
