,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM
1,Andrei Vasilevskiy,2024-25,TBL,L,47,47,29,15,--,3,"1,305","1,205",101,.923,2.18,2778:14,4,0,2,2,6
2,Connor Hellebuyck,2024-25,WPG,L,45,45,36,7,--,2,"1,230","1,139",91,.926,2.02,2706:44,6,0,1,1,0
3,Mackenzie Blackwood,2024-25,"SJS, COL",L,44,41,22,16,--,5,"1,231","1,128",104,.916,2.49,2504:59,3,0,1,1,2
4,Igor Shesterkin,2024-25,NYR,L,43,43,20,21,--,2,"1,245","1,126",119,.904,2.93,2433:05,3,0,0,0,4
5,Juuse Saros,2024-25,NSH,L,45,45,13,25,--,6,"1,252","1,125",128,.899,2.96,2598:40,4,0,1,1,4
6,Jeremy Swayman,2024-25,BOS,L,43,43,18,19,--,6,"1,228","1,101",127,.897,3.00,2542:28,3,0,0,0,0
7,Ilya Sorokin,2024-25,NYI,L,44,43,22,18,--,4,"1,213","1,097",117,.904,2.79,2517:04,3,1,0,1,2
8,Sam Montembeault,2024-25,MTL,L,45,43,21,21,--,3,"1,196","1,075",121,.899,2.90,2506:49,4,0,1,1,0
9,Filip Gustavsson,2024-25,MIN,L,39,39,22,13,--,3,"1,163","1,061",102,.912,2.67,2288:02,3,1,1,2,0
10,Joey Daccord,2024-25,SEA,L,40,38,20,15,--,3,"1,135","1,038",98,.915,2.55,2305:52,1,0,2,2,0
11,Jake Oettinger,2024-25,DAL,L,43,43,28,13,--,2,"1,133","1,031",102,.910,2.45,2493:37,1,0,1,1,0
12,Ukko-Pekka Luukkonen,2024-25,BUF,L,42,42,20,16,--,4,"1,135","1,015",120,.894,3.01,2390:06,2,0,1,1,0
13,Lukas Dostal,2024-25,ANA,L,36,33,17,14,--,5,"1,112","1,012",100,.910,2.90,2067:59,1,0,0,0,0
14,Elvis Merzlikins,2024-25,CBJ,L,39,39,21,14,--,4,"1,109",993,116,.895,3.01,2313:19,1,0,0,0,6
15,Jordan Binnington,2024-25,STL,L,41,40,17,19,--,4,"1,100",989,111,.899,2.82,2365:11,3,0,0,0,2
16,Stuart Skinner,2024-25,EDM,L,40,40,20,15,--,4,"1,085",974,111,.898,2.87,2321:02,2,0,0,0,0
17,Sergei Bobrovsky,2024-25,FLA,L,40,40,25,13,--,2,"1,066",964,102,.904,2.59,2361:08,3,0,0,0,0
18,Dustin Wolf,2024-25,CGY,L,35,35,20,12,--,3,"1,040",949,91,.913,2.60,2101:34,2,0,3,3,2
19,Karel Vejmelka,2024-25,UTA,R,37,34,16,15,--,4,983,895,88,.910,2.44,2167:20,1,0,0,0,0
20,Logan Thompson,2024-25,WSH,R,34,33,25,4,--,5,948,871,77,.919,2.27,2031:12,2,0,1,1,0
21,Kevin Lankinen,2024-25,VAN,L,36,34,20,9,--,7,959,870,89,.907,2.50,2134:43,4,0,1,1,0
22,Petr Mrazek,2024-25,CHI,L,33,33,10,19,--,2,964,858,106,.890,3.46,1839:32,0,0,0,0,0
23,Cam Talbot,2024-25,DET,L,34,31,17,12,--,3,945,855,91,.905,2.89,1889:46,2,0,0,0,0
24,Adin Hill,2024-25,VGK,L,35,35,21,10,--,4,917,828,89,.903,2.59,2060:50,2,0,0,0,2
25,Pyotr Kochetkov,2024-25,CAR,L,36,36,21,11,--,3,910,821,90,.902,2.53,2133:30,1,0,3,3,4
26,Jacob Markstrom,2024-25,NJD,L,36,36,21,9,--,5,886,808,78,.912,2.20,2127:52,3,0,0,0,0
27,Joseph Woll,2024-25,TOR,L,31,30,20,11,--,0,884,804,80,.910,2.63,1825:22,1,0,0,0,0
28,Alexandar Georgiev,2024-25,"COL, SJS",L,34,32,10,19,--,1,899,788,111,.877,3.65,1826:42,0,0,1,1,0
29,Arvid Soderblom,2024-25,CHI,L,28,25,7,15,--,5,864,783,81,.906,3.02,1608:32,0,0,0,0,0
30,Darcy Kuemper,2024-25,LAK,L,32,32,18,7,--,6,850,777,74,.914,2.33,1906:43,2,0,1,1,2
31,Alex Nedeljkovic,2024-25,PIT,L,31,30,12,12,--,5,869,775,94,.892,3.18,1774:48,1,1,1,2,2
32,Samuel Ersson,2024-25,PHI,L,34,33,18,10,--,4,835,746,89,.893,2.82,1890:27,2,0,0,0,2
