,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Nathan MacKinnon,2024-25,COL,R,C,59,21,66,87,+18,29,1.47,16,61,5,26,0,0,1,3,238,8.8,22:59,49.3
2,Leon Draisaitl,2024-25,EDM,L,C,57,42,44,86,+25,20,1.51,30,62,12,24,0,0,4,9,190,22.1,21:38,54.9
3,Nikita Kucherov,2024-25,TBL,L,R,53,26,57,83,+13,35,1.57,22,51,4,32,0,0,1,7,182,14.3,21:43,0.0
4,Connor McDavid,2024-25,EDM,L,C,51,22,50,72,+4,29,1.41,14,48,8,24,0,0,0,3,157,14.0,22:07,47.7
5,Mitch Marner,2024-25,TOR,R,R,56,16,55,71,+10,12,1.27,10,45,5,24,1,2,1,5,127,12.6,21:27,23.5
6,Kyle Connor,2024-25,WPG,L,L,57,30,40,70,+9,21,1.23,19,45,9,23,2,2,1,6,187,16.0,20:07,12.5
7,Jack Eichel,2024-25,VGK,R,C,56,19,50,69,+30,6,1.23,15,44,3,23,1,2,0,1,175,10.9,21:02,46.1
8,David Pastrnak,2024-25,BOS,R,R,58,28,41,69,-1,30,1.19,22,53,6,16,0,0,3,4,233,12.0,20:03,42.9
9,Jesper Bratt,2024-25,NJD,L,L,59,17,51,68,+11,14,1.15,12,40,4,26,1,2,0,1,133,12.8,18:48,0.0
10,Jack Hughes,2024-25,NJD,L,C,59,26,42,68,+12,12,1.15,19,39,6,27,1,2,2,7,220,11.8,20:54,37.4
11,Mikko Rantanen,2024-25,"COL, CAR",L,R,56,26,41,67,+12,32,1.20,18,48,8,19,0,0,0,5,157,16.6,22:12,53.0
12,Brandon Hagel,2024-25,TBL,L,L,56,27,37,64,+26,40,1.14,24,50,0,7,3,7,0,3,161,16.8,21:12,31.8
13,Mark Scheifele,2024-25,WPG,R,C,57,31,33,64,+5,41,1.12,22,44,9,20,0,0,1,8,124,25.0,20:18,48.2
14,Martin Necas,2024-25,"CAR, COL",R,C,59,20,44,64,+4,12,1.08,12,40,8,24,0,0,0,7,143,14.0,18:54,37.8
15,Cale Makar,2024-25,COL,R,D,59,22,42,64,+16,12,1.08,11,36,9,26,2,2,0,3,183,12.0,25:46,--
