,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1,Nathan MacKinnon,2024-25,COL,R,C,61,23,68,91,+19,31,1.49,16,62,7,29,0,0,1,4,247,9.3,22:55,49.7
2,Leon Draisaitl,2024-25,EDM,L,C,59,44,44,88,+27,26,1.49,31,63,13,25,0,0,4,9,198,22.2,21:37,54.4
3,Nikita Kucherov,2024-25,TBL,L,R,56,27,60,87,+14,39,1.55,22,52,5,35,0,0,1,8,189,14.3,21:38,0.0
4,Connor McDavid,2024-25,EDM,L,C,53,22,52,74,+3,29,1.40,14,49,8,25,0,0,0,3,161,13.7,22:06,47.9
5,Mitch Marner,2024-25,TOR,R,R,58,18,56,74,+11,12,1.28,11,47,6,25,1,2,2,6,133,13.5,21:34,27.8
6,David Pastrnak,2024-25,BOS,R,R,60,31,42,73,0,30,1.22,25,56,6,17,0,0,3,4,248,12.5,20:13,42.9
7,Kyle Connor,2024-25,WPG,L,L,60,31,42,73,+12,23,1.22,20,48,9,23,2,2,1,6,200,15.5,20:18,12.5
8,Jack Eichel,2024-25,VGK,R,C,58,19,51,70,+27,6,1.21,15,44,3,24,1,2,0,1,179,10.6,21:03,46.5
9,Mikko Rantanen,2024-25,"COL, CAR",L,R,58,27,42,69,+11,34,1.19,18,49,9,20,0,0,0,6,163,16.6,22:06,53.0
10,Clayton Keller,2024-25,UTA,L,R,59,22,47,69,-5,16,1.17,16,41,6,28,0,0,1,4,163,13.5,19:12,31.0
11,Jack Hughes,2024-25,NJD,L,C,60,27,42,69,+11,14,1.15,20,40,6,27,1,2,2,7,222,12.2,20:53,37.6
12,Brandon Hagel,2024-25,TBL,L,L,59,30,38,68,+29,42,1.15,27,54,0,7,3,7,0,4,172,17.4,21:14,31.8
13,Jesper Bratt,2024-25,NJD,L,L,60,17,51,68,+10,14,1.13,12,40,4,26,1,2,0,1,135,12.6,18:46,0.0
14,Martin Necas,2024-25,"CAR, COL",R,C,61,20,48,68,+5,12,1.11,12,41,8,27,0,0,0,7,148,13.5,18:57,37.8
15,Cale Makar,2024-25,COL,R,D,61,22,45,67,+17,12,1.10,11,37,9,28,2,2,0,3,190,11.6,25:49,--
16,Mark Scheifele,2024-25,WPG,R,C,60,33,33,66,+9,41,1.10,24,46,9,20,0,0,2,9,130,25.4,20:24,48.0
17,Sam Reinhart,2024-25,FLA,R,C,61,31,33,64,+11,27,1.05,17,37,9,21,5,6,0,3,162,19.1,20:28,40.6
18,Lucas Raymond,2024-25,DET,R,L,59,22,41,63,-7,16,1.07,15,33,6,29,1,1,1,3,136,16.2,18:56,0.0
19,Travis Konecny,2024-25,PHI,R,R,60,22,41,63,-6,45,1.05,13,44,8,16,1,3,0,3,139,15.8,20:38,34.7
20,Zach Werenski,2024-25,CBJ,L,D,58,18,44,62,+14,29,1.07,13,40,5,20,0,2,2,4,210,8.6,26:50,--
21,Brayden Point,2024-25,TBL,R,C,54,31,30,61,+8,2,1.13,18,36,13,25,0,0,2,6,139,22.3,19:34,50.5
22,Sidney Crosby,2024-25,PIT,L,C,59,18,43,61,-22,21,1.03,12,44,6,17,0,0,3,5,168,10.7,20:23,55.8
23,Quinn Hughes,2024-25,VAN,L,D,49,14,46,60,+13,27,1.22,11,38,3,22,0,0,0,3,142,9.9,25:11,--
24,Kirill Marchenko,2024-25,CBJ,R,R,56,24,36,60,+34,12,1.07,22,44,2,16,0,0,1,2,152,15.8,18:33,31.4
25,Matt Duchene,2024-25,DAL,L,C,59,24,36,60,+10,8,1.02,17,39,7,21,0,0,1,6,110,21.8,17:03,54.0
26,Nick Suzuki,2024-25,MTL,R,C,59,18,42,60,+7,6,1.02,15,41,3,19,0,0,4,5,119,15.1,19:29,50.4
27,Artemi Panarin,2024-25,NYR,R,L,57,23,36,59,-11,16,1.04,15,39,8,20,0,0,0,1,170,13.5,19:44,0.0
28,Tim Stützle,2024-25,OTT,L,C,58,18,41,59,-1,28,1.02,15,36,3,23,0,0,0,0,115,15.7,19:54,43.7
29,William Nylander,2024-25,TOR,R,R,59,34,25,59,+4,16,1.00,26,38,8,21,0,0,1,7,192,17.7,19:51,47.8
30,Jason Robertson,2024-25,DAL,L,L,59,25,34,59,+5,10,1.00,17,43,8,16,0,0,0,4,168,14.9,17:31,35.3
31,Dylan Strome,2024-25,WSH,L,C,60,18,41,59,+11,22,0.98,12,34,6,25,0,0,0,2,110,16.4,17:34,55.0
32,Matthew Tkachuk,2024-25,FLA,L,L,52,22,35,57,-3,54,1.10,11,34,11,23,0,0,0,2,156,14.1,18:14,20.0
33,Sebastian Aho,2024-25,CAR,L,C,58,21,36,57,0,40,0.98,17,36,2,17,2,4,4,6,154,13.6,20:10,55.3
34,Jake Guentzel,2024-25,TBL,L,C,58,27,29,56,+11,18,0.97,14,36,13,20,0,0,0,2,151,17.9,19:58,47.0
35,Aleksander Barkov,2024-25,FLA,L,C,51,14,40,54,+1,12,1.06,7,29,6,21,1,4,1,2,111,12.6,20:24,59.0
36,Filip Forsberg,2024-25,NSH,R,L,59,22,32,54,-16,36,0.92,15,36,7,18,0,0,0,2,211,10.4,18:48,10.0
37,Gabriel Vilardi,2024-25,WPG,R,C,60,26,28,54,+8,12,0.90,15,32,11,22,0,0,0,5,115,22.6,18:04,50.4
38,Dylan Larkin,2024-25,DET,L,C,59,24,29,53,-6,38,0.90,11,31,13,22,0,0,0,2,185,13.0,19:58,55.6
39,Cole Caufield,2024-25,MTL,R,R,59,28,25,53,-1,14,0.90,20,40,8,13,0,0,1,5,175,16.0,17:51,37.5
40,Kirill Kaprizov,2024-25,MIN,L,L,37,23,29,52,+19,14,1.41,20,40,3,12,0,0,1,4,128,18.0,22:25,0.0
41,Wyatt Johnston,2024-25,DAL,R,C,59,18,34,52,+7,12,0.88,11,33,4,16,3,3,1,2,159,11.3,19:08,49.0
42,Matt Boldy,2024-25,MIN,L,L,60,21,31,52,+6,39,0.87,15,37,6,15,0,0,1,8,206,10.2,19:57,44.6
43,Nikolaj Ehlers,2024-25,WPG,L,L,51,18,33,51,+16,8,1.00,14,33,4,18,0,0,1,3,127,14.2,15:51,35.7
44,Tage Thompson,2024-25,BUF,R,C,51,28,23,51,+4,15,1.00,24,39,4,12,0,0,0,2,160,17.5,18:37,41.8
45,Alex DeBrincat,2024-25,DET,R,R,59,27,24,51,-12,14,0.86,17,28,10,23,0,0,1,4,163,16.6,17:37,48.9
46,Mikael Granlund,2024-25,"SJS, DAL",L,C,60,15,36,51,-6,24,0.85,9,35,5,15,1,1,0,1,137,11.0,20:25,48.5
47,Marco Rossi,2024-25,MIN,L,C,60,21,30,51,+16,24,0.85,15,39,6,12,0,0,1,2,102,20.6,18:17,47.6
48,Mark Stone,2024-25,VGK,R,R,45,15,35,50,+17,8,1.11,11,28,4,21,0,1,0,2,92,16.3,19:45,40.0
49,Aliaksei Protas,2024-25,WSH,L,C,60,23,27,50,+30,16,0.83,22,47,0,1,1,2,1,5,112,20.5,16:30,27.3
50,Auston Matthews,2024-25,TOR,L,C,44,21,28,49,+4,20,1.11,15,34,5,14,1,1,1,1,173,12.1,20:30,56.1
51,John Tavares,2024-25,TOR,L,C,52,22,27,49,+8,30,0.94,14,38,8,11,0,0,1,7,140,15.7,18:24,57.0
52,Adrian Kempe,2024-25,LAK,L,R,57,26,23,49,+15,26,0.86,21,39,4,9,1,1,1,3,170,15.3,19:33,41.2
53,Connor Bedard,2024-25,CHI,R,C,59,16,33,49,-28,34,0.83,9,26,7,23,0,0,0,4,137,11.7,20:15,35.5
54,Rickard Rakell,2024-25,PIT,R,R,60,25,24,49,-21,10,0.82,20,37,5,12,0,0,1,1,155,16.1,19:16,52.2
55,Pierre-Luc Dubois,2024-25,WSH,L,L,60,14,35,49,+20,42,0.82,12,40,2,9,0,0,1,3,99,14.1,17:16,49.7
56,Alex Ovechkin,2024-25,WSH,R,L,44,31,17,48,+18,12,1.09,23,34,8,14,0,0,1,6,166,18.7,17:51,0.0
57,Robert Thomas,2024-25,STL,R,C,48,16,32,48,+9,18,1.00,14,38,1,9,1,1,0,3,112,14.3,19:57,57.0
58,Shea Theodore,2024-25,VGK,L,D,55,7,41,48,+10,20,0.87,5,29,2,19,0,0,0,2,111,6.3,22:03,--
59,Adam Fox,2024-25,NYR,R,D,58,5,43,48,+5,28,0.83,3,30,1,16,1,2,0,2,100,5.0,23:14,--
60,Logan Cooley,2024-25,UTA,L,C,53,17,30,47,+8,28,0.89,10,31,7,16,0,0,0,1,114,14.9,17:41,44.6
61,Victor Hedman,2024-25,TBL,L,D,57,9,38,47,+11,24,0.82,7,27,2,20,0,0,0,1,135,6.7,23:25,--
62,Josh Morrissey,2024-25,WPG,L,D,59,8,39,47,+10,22,0.80,7,29,1,18,0,0,1,1,123,6.5,24:02,--
63,Brad Marchand,2024-25,BOS,L,L,60,21,26,47,-8,62,0.78,16,33,5,13,0,1,2,5,175,12.0,18:43,41.7
64,Nick Schmaltz,2024-25,UTA,R,C,60,12,35,47,-9,8,0.78,7,28,5,19,0,0,0,1,129,9.3,18:52,47.5
65,Jordan Kyrou,2024-25,STL,R,C,60,24,23,47,+11,12,0.78,18,35,6,12,0,0,0,4,166,14.5,17:49,30.8
66,Rasmus Dahlin,2024-25,BUF,L,D,49,9,37,46,+7,32,0.94,5,30,4,15,0,1,1,1,124,7.3,24:20,--
67,Seth Jarvis,2024-25,CAR,R,C,52,23,23,46,+2,12,0.88,14,28,6,13,3,5,0,1,135,17.0,19:20,35.0
68,Nico Hischier,2024-25,NJD,L,C,54,24,22,46,+13,16,0.85,15,26,9,19,0,1,0,2,145,16.6,20:17,55.1
69,Anze Kopitar,2024-25,LAK,L,C,57,13,33,46,+7,2,0.81,10,31,3,14,0,1,0,5,72,18.1,19:17,56.7
70,Drake Batherson,2024-25,OTT,R,R,58,16,30,46,-13,14,0.79,7,22,9,24,0,0,0,2,128,12.5,18:28,47.4
71,Tomas Hertl,2024-25,VGK,L,C,59,23,23,46,-12,18,0.78,12,27,11,19,0,0,0,3,146,15.8,17:11,56.8
72,J.T. Miller,2024-25,"VAN, NYR",L,C,49,14,31,45,-4,37,0.92,11,27,3,18,0,0,1,2,98,14.3,17:56,58.8
73,Troy Terry,2024-25,ANA,R,R,53,17,28,45,+5,16,0.85,13,35,4,10,0,0,1,3,125,13.6,19:00,28.0
74,Alex Tuch,2024-25,BUF,R,R,57,21,24,45,+14,31,0.79,17,35,1,6,3,4,0,2,137,15.3,19:19,41.8
75,Anthony Cirelli,2024-25,TBL,L,C,57,20,25,45,+22,20,0.79,13,34,3,5,4,6,0,1,117,17.1,18:55,50.0
