,,NAME,HIT,SEASON,TM,GP,G,A,P,+/-,PIM,PPG,PPA,SHG,SHA,GWG,OTG,S,S%,FOW,FO,FOW%,BKS,TKA,GVA,TOI/GP
1,,Kiefer Sherwood K. Sherwood,320,2024-25,VAN,55,13,10,23,-2,24,0,1,1,0,3,0,99,13.1,18,41,43.9,25,20,29,14:38
2,,Mathieu Olivier M. Olivier,223,2024-25,CBJ,59,11,9,20,-8,99,0,0,1,1,3,0,74,14.9,10,28,35.7,66,19,34,14:28
3,,Will Cuylle W. Cuylle,221,2024-25,NYR,59,16,15,31,+8,30,2,1,2,0,2,0,109,14.7,9,28,32.1,35,9,33,14:50
4,,Luke Schenn L. Schenn,218,2024-25,NSH,59,1,4,5,-10,41,0,0,0,0,0,0,63,1.6,0,0,,75,12,46,15:31
5,,Garnet Hathaway G. Hathaway,218,2024-25,PHI,60,8,10,18,+4,48,0,0,1,0,1,0,76,10.5,7,18,38.9,56,7,24,11:53
6,,Martin Pospisil M. Pospisil,209,2024-25,CGY,59,4,16,20,+1,76,1,3,0,0,0,0,79,5.1,65,157,41.4,20,10,38,13:50
7,,Jack McBain J. McBain,206,2024-25,UTA,60,11,6,17,+2,61,0,0,0,0,1,0,62,17.7,121,238,50.8,39,13,40,13:20
8,,Radko Gudas R. Gudas,198,2024-25,ANA,57,1,12,13,+4,66,0,0,0,0,0,0,67,1.5,0,0,,132,5,71,19:15
9,,Marcus Foligno M. Foligno,193,2024-25,MIN,60,11,11,22,+8,57,0,0,0,0,1,0,66,16.7,3,11,27.3,28,17,40,14:06
10,,Mark Kastelic M. Kastelic,193,2024-25,BOS,52,4,9,13,-1,90,0,0,0,0,0,0,59,6.8,172,308,55.8,29,12,23,10:50
11,,Paul Cotter P. Cotter,192,2024-25,NJD,60,13,6,19,-8,45,0,0,0,0,2,0,72,18.1,32,61,52.5,26,13,28,13:31
12,,Brady Tkachuk B. Tkachuk,188,2024-25,OTT,56,21,23,44,-2,101,11,7,0,0,4,3,234,9.0,139,277,50.2,30,15,39,18:37
13,,Eeli Tolvanen E. Tolvanen,182,2024-25,SEA,60,16,10,26,0,14,1,3,0,0,2,0,97,16.5,4,8,50.0,47,10,33,13:43
14,,Nathan Walker N. Walker,181,2024-25,STL,51,6,4,10,-5,36,0,0,0,1,0,0,44,13.6,77,139,55.4,33,7,32,11:46
15,,Keegan Kolesar K. Kolesar,170,2024-25,VGK,59,12,12,24,+6,39,0,0,0,1,3,0,63,19.0,5,12,41.7,39,10,27,13:23
16,,Tanner Jeannot T. Jeannot,170,2024-25,LAK,54,5,4,9,0,68,0,0,0,0,1,0,42,11.9,6,15,40.0,31,2,30,11:22
17,,Vincent Trocheck V. Trocheck,169,2024-25,NYR,59,17,21,38,-5,38,4,6,1,0,3,0,152,11.2,680,"1,135",59.9,63,28,64,21:16
18,,Tom Wilson T. Wilson,168,2024-25,WSH,59,26,19,45,+14,54,10,5,1,1,3,1,133,19.5,4,16,25.0,52,14,57,18:45
19,,A.J. Greer,164,2024-25,FLA,61,5,10,15,+2,89,0,0,1,0,2,0,64,7.8,12,37,32.4,18,8,31,9:42
20,,Yakov Trenin Y. Trenin,164,2024-25,MIN,54,6,7,13,+2,29,0,0,2,0,2,0,59,10.2,11,34,32.4,26,7,37,13:07
21,,Casey Cizikas C. Cizikas,160,2024-25,NYI,59,5,6,11,-13,28,0,1,0,0,1,0,64,7.8,201,365,55.1,48,13,28,12:43
22,,Moritz Seider M. Seider,159,2024-25,DET,59,5,30,35,-3,28,1,16,0,0,0,0,117,4.3,0,0,,133,23,64,25:16
23,,Trent Frederic T. Frederic,155,2024-25,BOS,57,8,7,15,-14,44,1,2,0,0,0,0,76,10.5,93,212,43.9,29,12,32,13:50
24,,Luke Kunin L. Kunin,155,2024-25,SJS,60,11,7,18,-22,40,0,0,0,0,0,0,89,12.4,174,370,47.0,62,10,26,15:11
25,,MacKenzie Weegar M. Weegar,154,2024-25,CGY,59,6,26,32,+11,27,3,12,0,1,0,0,136,4.4,0,1,0.0,130,35,108,23:46
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
