,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA,_game_idx,_stat,_teams,_page_id,_sport
,Aaron JudgeA. Judge,85,2025,NYY,103,377,90,129,24,2,37,73,4,120,6,3,459,268,63,0,5,27,11,.342,.449,.711,1.160,111,57.2,.468,206,57.2,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Cody BellingerC. Bellinger,65,2025,NYY,103,402,62,111,20,5,20,32,1,58,9,2,440,201,45,0,5,1,4,.276,.327,.500,.827,65,13.7,.352,127,13.7,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Adolis GarcíaA. García,62,2025,TEX,107,401,43,89,20,0,15,23,4,112,10,3,435,154,35,0,7,0,6,.222,.267,.384,.651,40,-11.3,.281,78,-11.3,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Anthony VolpeA. Volpe,60,2025,NYY,111,398,51,88,23,4,17,36,4,106,14,7,445,170,44,1,6,0,7,.221,.288,.427,.715,50,-2,.308,96,-2,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Austin WellsA. Wells,56,2025,NYY,89,296,35,62,15,1,15,22,5,79,5,1,332,124,31,0,9,0,8,.209,.268,.419,.687,33,-5.4,.293,86,-5.4,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Marcus SemienM. Semien,55,2025,TEX,111,411,54,95,14,1,13,45,4,84,11,1,467,150,28,0,7,0,6,.231,.308,.365,.673,49,-5.9,.298,89,-5.9,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Jazz Chisholm Jr.J. Chisholm Jr.,51,2025,NYY,81,293,46,72,11,0,19,37,5,93,14,4,338,140,30,1,2,0,3,.246,.338,.478,.816,50,10.9,.354,127,10.9,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Trent GrishamT. Grisham,44,2025,NYY,95,317,54,79,9,1,20,51,2,79,1,1,371,150,30,1,0,0,4,.249,.357,.473,.830,58,14.5,.362,133,14.5,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Wyatt LangfordW. Langford,44,2025,TEX,91,347,46,84,16,0,15,39,2,108,15,5,391,145,31,0,3,2,6,.242,.320,.418,.738,48,2.2,.321,105,2.2,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Josh JungJ. Jung,40,2025,TEX,84,309,31,77,10,1,10,19,2,83,4,1,330,119,21,0,0,0,6,.249,.297,.385,.682,35,-3.8,.299,90,-3.8,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Paul GoldschmidtP. Goldschmidt,38,2025,NYY,105,375,59,104,24,1,8,31,2,78,5,1,409,154,33,0,1,5,7,.277,.335,.411,.746,51,3,.323,106,3,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Corey SeagerC. Seager,38,2025,TEX,79,294,44,78,15,0,15,47,4,71,1,0,347,138,30,0,2,9,12,.265,.372,.469,.841,53,12.6,.359,131,12.6,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Jasson DomínguezJ. Domínguez,37,2025,NYY,93,319,49,84,16,1,9,36,2,98,18,2,361,129,26,0,4,1,5,.263,.338,.404,.742,46,3.4,.325,108,3.4,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Jonah HeimJ. Heim,35,2025,TEX,89,295,25,64,12,0,9,18,1,73,3,0,318,103,21,1,3,0,6,.217,.262,.349,.611,25,-11.9,.267,68,-11.9,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Jake BurgerJ. Burger,35,2025,TEX,75,272,33,62,14,0,11,8,4,73,1,1,286,109,25,0,2,0,2,.228,.259,.401,.659,27,-6.8,.284,80,-6.8,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Ben RiceB. Rice,35,2025,NYY,93,303,49,70,18,2,16,34,9,68,3,2,347,140,36,0,1,0,8,.231,.326,.462,.788,49,8,.342,120,8,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Kyle HigashiokaK. Higashioka,30,2025,TEX,60,197,22,53,9,1,7,12,2,40,3,0,212,85,17,0,1,0,2,.269,.316,.431,.748,27,1.9,.325,108,1.9,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Josh SmithJ. Smith,29,2025,TEX,99,353,55,94,17,2,9,37,5,66,9,3,399,142,28,3,1,2,2,.266,.343,.402,.746,51,4.6,.328,110,4.6,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Giancarlo StantonG. Stanton,26,2025,NYY,35,123,17,33,3,0,9,11,1,45,0,0,135,63,12,0,0,1,1,.268,.333,.512,.846,21,5.2,.361,133,5.2,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Evan CarterE. Carter,21,2025,TEX,55,168,27,40,8,2,4,17,4,39,12,2,189,64,14,0,0,1,1,.238,.323,.381,.704,22,-0.5,.311,98,-0.5,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
