,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Aaron JudgeA. Judge,85,2025,NYY,103,377,90,129,24,2,37,73,4,120,6,3,459,268,63,0,5,27,11,.342,.449,.711,1.160,111,57.3,.468,206,57.2
,Cody BellingerC. Bellinger,65,2025,NYY,102,398,62,111,20,5,20,32,1,58,9,2,436,201,45,0,5,1,4,.279,.330,.505,.835,66,14.7,.355,129,14.7
,Adolis GarcíaA. García,62,2025,TEX,107,401,43,89,20,0,15,23,4,112,10,3,435,154,35,0,7,0,6,.222,.267,.384,.651,40,-11.3,.281,78,-11.3
,Anthony VolpeA. Volpe,60,2025,NYY,110,394,51,87,23,3,17,36,4,104,14,7,441,167,43,1,6,0,7,.221,.289,.424,.712,49,-2.2,.307,96,-2.3
,Austin WellsA. Wells,56,2025,NYY,88,293,35,62,15,1,15,22,5,78,5,1,329,124,31,0,9,0,8,.212,.271,.423,.694,34,-4.6,.296,88,-4.7
,Marcus SemienM. Semien,55,2025,TEX,111,411,54,95,14,1,13,45,4,84,11,1,467,150,28,0,7,0,6,.231,.308,.365,.673,49,-5.9,.298,89,-6
,Jazz Chisholm Jr.J. Chisholm Jr.,49,2025,NYY,80,289,45,70,11,0,18,37,5,92,14,4,334,135,29,1,2,0,3,.242,.336,.467,.803,49,9.5,.349,124,9.5
,Wyatt LangfordW. Langford,44,2025,TEX,91,347,46,84,16,0,15,39,2,108,15,5,391,145,31,0,3,2,6,.242,.320,.418,.738,48,2.3,.321,105,2.2
,Trent GrishamT. Grisham,43,2025,NYY,94,315,53,78,9,1,19,49,2,79,1,1,367,146,29,1,0,0,4,.248,.352,.463,.816,56,12.8,.357,130,12.7
,Josh JungJ. Jung,40,2025,TEX,84,309,31,77,10,1,10,19,2,83,4,1,330,119,21,0,0,0,6,.249,.297,.385,.682,35,-3.8,.299,90,-3.8
,Paul GoldschmidtP. Goldschmidt,38,2025,NYY,104,374,59,104,24,1,8,31,2,77,5,1,408,154,33,0,1,5,7,.278,.336,.412,.748,51,3.3,.323,107,3.2
,Corey SeagerC. Seager,38,2025,TEX,79,294,44,78,15,0,15,47,4,71,1,0,347,138,30,0,2,9,12,.265,.372,.469,.841,53,12.6,.359,131,12.6
,Jasson DomínguezJ. Domínguez,37,2025,NYY,92,317,49,83,16,1,9,36,2,98,18,2,359,128,26,0,4,1,5,.262,.337,.404,.741,45,3.2,.325,107,3.2
,Jonah HeimJ. Heim,35,2025,TEX,89,295,25,64,12,0,9,18,1,73,3,0,318,103,21,1,3,0,6,.217,.262,.349,.611,25,-11.9,.267,68,-11.9
,Jake BurgerJ. Burger,35,2025,TEX,75,272,33,62,14,0,11,8,4,73,1,1,286,109,25,0,2,0,2,.228,.259,.401,.659,27,-6.8,.284,80,-6.8
,Ben RiceB. Rice,35,2025,NYY,92,300,49,70,18,2,16,34,9,68,3,2,344,140,36,0,1,0,8,.233,.328,.467,.795,49,8.7,.345,122,8.7
,Kyle HigashiokaK. Higashioka,30,2025,TEX,60,197,22,53,9,1,7,12,2,40,3,0,212,85,17,0,1,0,2,.269,.316,.431,.748,27,1.9,.325,108,1.9
,Josh SmithJ. Smith,29,2025,TEX,99,353,55,94,17,2,9,37,5,66,9,3,399,142,28,3,1,2,2,.266,.343,.402,.746,51,4.6,.328,110,4.6
,Giancarlo StantonG. Stanton,26,2025,NYY,34,119,16,32,3,0,9,11,1,42,0,0,131,62,12,0,0,1,1,.269,.336,.521,.857,21,5.5,.366,136,5.5
,Evan CarterE. Carter,21,2025,TEX,55,168,27,40,8,2,4,17,4,39,12,2,189,64,14,0,0,1,1,.238,.323,.381,.704,22,-0.5,.311,98,-0.5
,Oswald PerazaO. Peraza,13,2025,NYY,71,158,18,24,5,0,3,11,1,47,3,0,170,38,8,0,0,0,3,.152,.212,.241,.452,5,-14.8,.205,25,-14.9
,DJ LeMahieu,12,2025,NYY,45,128,13,34,3,0,2,14,0,35,0,0,142,43,5,0,0,0,4,.266,.338,.336,.674,16,-1.1,.304,93,-1.1
,Sam HaggertyS. Haggerty,12,2025,TEX,54,139,29,36,6,3,2,14,2,29,11,2,156,54,11,1,0,1,1,.259,.335,.388,.724,19,0.6,.318,103,0.5
,Oswaldo CabreraO. Cabrera,11,2025,NYY,34,107,17,26,4,0,1,11,2,25,0,1,122,33,5,1,1,0,1,.243,.322,.308,.631,12,-2.6,.287,81,-2.6
,J.C. Escarra,10,2025,NYY,39,83,5,17,5,0,2,11,1,14,1,0,97,28,7,0,2,0,1,.205,.299,.337,.636,9,-2.3,.284,80,-2.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
