,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Taylor WardT. Ward,78,2025,LAA,109,417,58,95,25,2,25,46,2,131,3,1,471,199,52,0,6,1,8,.228,.304,.477,.781,62,7.3,.333,111,6.2
,Junior CamineroJ. Caminero,72,2025,TBR,107,420,61,106,20,0,28,24,2,91,5,1,452,210,48,0,6,1,26,.252,.292,.500,.792,61,7.9,.335,119,9.9
,Yandy DíazY. Díaz,65,2025,TBR,107,426,55,120,19,1,20,36,6,67,3,0,473,201,40,0,5,3,10,.282,.342,.472,.814,69,13.8,.350,129,15.9
,Jo AdellJ. Adell,61,2025,LAA,104,349,40,80,14,1,21,26,9,98,3,1,385,159,36,0,1,0,5,.229,.299,.456,.754,49,4,.326,107,3
,Jonathan ArandaJ. Aranda,54,2025,TBR,103,358,53,113,22,0,12,40,8,102,0,2,409,171,34,0,3,3,8,.316,.394,.478,.871,69,21.3,.378,148,23.1
,Brandon LoweB. Lowe,51,2025,TBR,91,343,56,93,12,0,19,25,1,94,3,1,371,162,31,0,2,1,3,.271,.321,.472,.793,52,8.2,.341,123,9.9
,Mike TroutM. Trout,47,2025,LAA,83,293,43,69,7,1,19,56,5,105,2,0,359,135,27,0,5,8,5,.235,.362,.461,.823,53,10.9,.351,124,10
,Nolan SchanuelN. Schanuel,45,2025,LAA,107,397,51,110,20,1,9,50,7,56,5,1,460,159,30,3,3,4,8,.277,.365,.401,.766,63,8.8,.337,114,7.7
,Zach NetoZ. Neto,41,2025,LAA,92,365,67,99,21,1,15,21,9,102,21,8,398,167,37,0,3,2,5,.271,.324,.458,.782,54,7.3,.336,114,6.3
,Logan O'HoppeL. O'Hoppe,38,2025,LAA,88,318,32,76,6,1,18,16,2,105,2,1,337,138,25,0,1,0,7,.239,.279,.434,.713,38,-1.6,.308,94,-2.5
,Taylor WallsT. Walls,37,2025,TBR,98,272,35,61,13,1,4,26,0,65,13,6,306,88,18,2,6,0,1,.224,.286,.324,.610,25,-10.7,.270,74,-9.3
,Jorge SolerJ. Soler,34,2025,LAA,82,279,31,60,12,0,12,28,4,94,0,0,314,108,24,0,3,0,5,.215,.293,.387,.680,33,-3.8,.299,88,-4.6
,Danny JansenD. Jansen,29,2025,TBR,73,221,28,45,8,0,11,33,3,68,0,0,259,86,19,1,1,0,4,.204,.314,.389,.703,30,-0.2,.312,103,0.9
,Jake MangumJ. Mangum,28,2025,TBR,75,260,25,74,11,1,2,14,1,40,16,3,276,93,14,1,0,0,4,.285,.324,.358,.681,30,-2.6,.302,96,-1.4
,Josh LoweJ. Lowe,27,2025,TBR,67,244,35,58,12,1,7,23,1,58,9,3,270,93,20,1,1,1,4,.238,.305,.381,.686,29,-2.8,.301,95,-1.6
,José CaballeroJ. Caballero,27,2025,TBR,86,235,37,53,12,1,2,33,3,80,34,8,275,73,15,3,1,0,1,.226,.327,.311,.638,27,-4.8,.292,89,-3.6
,Luis RengifoL. Rengifo,26,2025,LAA,104,365,39,88,13,1,5,22,3,72,4,6,393,118,19,1,2,0,7,.241,.288,.323,.612,33,-13.2,.272,69,-14.2
,Yoán MoncadaY. Moncada,24,2025,LAA,46,145,23,31,6,1,8,19,3,43,0,0,168,63,15,0,1,0,2,.214,.315,.434,.750,22,1.9,.327,107,1.4
,Kameron MisnerK. Misner,22,2025,TBR,71,197,27,42,9,1,5,16,1,69,8,1,217,68,15,1,2,0,1,.213,.273,.345,.618,18,-7.2,.272,75,-6.2
,Christopher MorelC. Morel,19,2025,TBR,76,201,30,43,12,0,7,18,2,75,6,2,221,76,19,0,0,0,5,.214,.285,.378,.663,22,-3.8,.292,89,-2.8
,Travis d'ArnaudT. d'Arnaud,17,2025,LAA,51,159,15,35,9,0,6,12,3,52,0,0,175,62,15,0,1,0,4,.220,.286,.390,.676,18,-2.5,.296,86,-2.9
,Chandler SimpsonC. Simpson,15,2025,TBR,65,229,30,68,8,1,0,13,0,22,32,8,245,78,9,1,2,0,6,.297,.332,.341,.673,26,-3,.298,93,-1.9
,Kevin NewmanK. Newman,11,2025,LAA,56,114,13,23,2,0,2,1,0,23,1,0,116,31,4,1,0,0,5,.202,.209,.272,.481,4,-9.7,.210,26,-10
,Kyren ParisK. Paris,11,2025,LAA,44,126,20,24,4,1,6,10,3,59,7,1,139,48,11,0,0,0,1,.190,.266,.381,.647,13,-3.3,.284,78,-3.6
,Matt ThaissM. Thaiss,8,2025,TBR,25,71,5,16,2,1,0,6,2,25,0,0,80,20,3,1,0,0,0,.225,.304,.282,.585,6,-2.9,.268,73,-2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
