,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Eugenio SuárezE. Suárez,87,2025,AZ,106,387,64,96,19,0,36,29,15,117,1,0,437,223,55,0,6,1,7,.248,.320,.576,.897,73,22.2,.376,142,21.7
,Geraldo PerdomoG. Perdomo,75,2025,AZ,110,401,58,110,22,2,11,65,6,53,17,4,485,169,35,3,10,0,6,.274,.376,.421,.797,71,14.5,.351,125,14
,Manny MachadoM. Machado,72,2025,SDP,111,428,64,129,27,0,20,39,3,81,10,2,475,216,47,0,5,2,13,.301,.360,.505,.865,77,21.8,.370,143,24
,Josh NaylorJ. Naylor,59,2025,AZ,93,349,49,102,19,1,11,37,2,49,11,2,392,156,31,0,4,4,14,.292,.360,.447,.807,57,10.9,.348,123,10.5
,Gavin SheetsG. Sheets,54,2025,SDP,103,357,39,89,15,1,15,31,3,78,2,1,394,151,31,0,3,1,9,.249,.312,.423,.735,48,1.8,.319,108,3.6
,Corbin CarrollC. Carroll,52,2025,AZ,94,377,71,93,19,14,22,36,7,103,14,4,422,206,55,0,2,1,3,.247,.322,.546,.869,67,17.9,.366,135,17.4
,Lourdes Gurriel Jr.L. Gurriel Jr.,50,2025,AZ,101,396,35,98,21,2,12,26,4,57,8,3,432,159,35,0,6,0,8,.247,.296,.402,.698,47,-3.8,.303,92,-4.3
,Ketel MarteK. Marte,44,2025,AZ,79,295,56,85,15,0,21,46,4,50,2,2,346,163,36,0,1,4,7,.288,.390,.553,.943,65,24.4,.401,160,24.1
,Fernando Tatis Jr.F. Tatis Jr.,44,2025,SDP,109,413,77,109,18,2,17,61,5,85,22,4,480,182,37,0,1,7,4,.264,.365,.441,.805,70,13.9,.349,129,16.2
,Jackson MerrillJ. Merrill,44,2025,SDP,78,301,38,80,14,3,8,24,3,72,1,2,333,124,25,1,4,1,3,.266,.322,.412,.734,40,1.4,.319,108,3
,Luis ArraezL. Arraez,41,2025,SDP,105,425,50,127,21,4,6,22,2,12,5,2,460,174,31,8,3,0,5,.299,.334,.409,.743,58,4,.324,112,6.2
,Xander BogaertsX. Bogaerts,37,2025,SDP,109,394,47,106,24,0,7,44,1,68,16,1,445,151,31,1,5,3,10,.269,.340,.383,.723,53,1.3,.317,107,3.5
,Jake CronenworthJ. Cronenworth,32,2025,SDP,86,277,37,65,14,1,8,41,8,68,2,1,332,105,23,2,4,0,3,.235,.345,.379,.725,42,2.8,.324,111,4.4
,Pavin SmithP. Smith,28,2025,AZ,79,222,33,58,15,1,8,40,0,84,2,2,264,99,24,0,2,1,7,.261,.371,.446,.817,40,9.3,.357,129,9
,Alek ThomasA. Thomas,28,2025,AZ,95,284,36,71,13,2,7,17,4,80,5,2,310,109,22,3,2,0,2,.250,.300,.384,.683,33,-3.6,.299,89,-3.9
,Jose IglesiasJ. Iglesias,24,2025,SDP,81,224,21,52,9,0,0,16,5,44,4,1,249,61,9,2,2,0,4,.232,.296,.272,.568,18,-10.9,.259,67,-9.7
,Elias DíazE. Díaz,22,2025,SDP,86,211,26,43,7,0,5,18,1,61,0,0,234,65,12,4,0,0,8,.204,.270,.308,.578,17,-10.2,.259,67,-9.1
,Randal GrichukR. Grichuk,22,2025,AZ,70,175,25,42,15,1,7,10,0,39,0,1,188,80,23,0,3,1,5,.240,.277,.457,.734,21,-0.7,.309,96,-0.9
,Gabriel MorenoG. Moreno,20,2025,AZ,53,174,29,47,8,1,5,13,1,32,1,1,188,72,14,0,0,0,4,.270,.324,.414,.738,23,1.5,.323,106,1.3
,Jose HerreraJ. Herrera,14,2025,AZ,50,146,17,27,6,0,1,21,1,45,0,0,180,36,7,10,2,0,2,.185,.288,.247,.535,12,-9.2,.250,55,-9.4
,Tim TawaT. Tawa,14,2025,AZ,59,155,21,31,6,0,6,13,1,47,7,2,173,55,12,1,3,0,4,.200,.262,.355,.616,14,-6.1,.270,69,-6.3
,Jason HeywardJ. Heyward,12,2025,SDP,34,85,9,15,2,0,2,6,0,20,0,1,94,23,4,0,3,0,1,.176,.223,.271,.494,4,-7.2,.218,38,-6.8
,Martín MaldonadoM. Maldonado,12,2025,SDP,64,147,11,30,6,0,4,8,0,57,0,0,161,48,10,6,0,0,3,.204,.245,.327,.572,11,-8.1,.251,61,-7.3
,Tyler WadeT. Wade,9,2025,SDP,59,107,13,22,1,2,0,15,1,31,1,2,127,27,3,4,0,0,0,.206,.309,.252,.561,10,-5.2,.263,69,-4.6
,Jake McCarthyJ. McCarthy,9,2025,AZ,34,105,7,17,3,2,2,9,1,20,3,0,117,30,7,1,1,0,1,.162,.233,.286,.518,6,-7.8,.231,42,-7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
