,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Shohei OhtaniS. Ohtani,73,2025,LAD,110,431,102,118,14,7,38,71,3,136,15,4,507,260,59,0,2,13,5,.274,.379,.603,.982,98,38.2,.407,167,39.5
,Andy PagesA. Pages,65,2025,LAD,108,405,49,112,17,1,19,20,7,93,9,5,437,188,37,0,5,0,5,.277,.318,.464,.782,59,8.1,.337,118,9.2
,Teoscar HernándezT. Hernández,64,2025,LAD,90,343,44,86,20,0,16,18,1,90,5,1,364,154,36,0,2,0,9,.251,.288,.449,.737,44,0.9,.317,104,1.8
,Willson ContrerasW. Contreras,63,2025,STL,106,389,54,100,29,0,15,34,17,109,4,0,444,174,44,1,3,1,12,.257,.341,.447,.788,63,10.7,.344,123,11.8
,Freddie FreemanF. Freeman,60,2025,LAD,99,373,54,114,29,1,12,40,4,97,2,2,420,181,42,0,3,5,9,.306,.376,.485,.861,68,19,.370,141,20
,Max MuncyM. Muncy,55,2025,LAD,81,256,39,64,10,2,13,51,3,69,4,0,315,117,25,0,5,1,4,.250,.375,.457,.832,49,12.3,.362,135,13.1
,Will SmithW. Smith,50,2025,LAD,87,290,54,94,19,1,14,50,3,66,2,3,348,157,34,0,5,1,6,.324,.422,.541,.964,69,27.9,.413,171,28.8
,Alec BurlesonA. Burleson,49,2025,STL,100,341,38,97,19,0,14,30,1,49,4,0,376,158,33,1,3,1,11,.284,.341,.463,.805,54,10.3,.347,125,11.2
,Mookie BettsM. Betts,48,2025,LAD,102,399,63,93,15,1,11,42,2,50,8,1,449,143,27,0,6,2,8,.233,.305,.358,.664,45,-7.8,.292,87,-6.8
,Tommy EdmanT. Edman,44,2025,LAD,86,303,43,69,13,1,12,18,6,57,3,1,332,120,26,1,4,0,4,.228,.281,.396,.677,34,-5.2,.294,89,-4.4
,Nolan ArenadoN. Arenado,43,2025,STL,96,361,43,85,15,1,10,28,3,39,2,0,394,132,26,0,2,4,7,.235,.294,.366,.660,38,-8.5,.287,84,-7.5
,Brendan DonovanB. Donovan,42,2025,STL,103,398,56,112,24,0,9,39,7,59,3,1,449,163,33,1,4,3,4,.281,.353,.410,.762,60,7.3,.334,116,8.3
,Masyn WinnM. Winn,41,2025,STL,99,377,59,103,24,0,7,27,4,69,6,5,412,148,31,2,2,0,9,.273,.327,.393,.719,49,1,.316,104,2
,Iván HerreraI. Herrera,39,2025,STL,58,209,26,63,9,0,9,24,5,46,3,1,240,99,18,0,2,0,11,.301,.383,.474,.857,40,11.7,.374,144,12.3
,Lars NootbaarL. Nootbaar,37,2025,STL,89,336,50,76,15,0,12,48,5,85,4,4,391,127,27,0,2,2,4,.226,.330,.378,.708,46,0.2,.314,103,1.2
,Victor Scott IIV. Scott II,33,2025,STL,105,326,47,74,13,1,5,35,8,94,29,2,376,104,19,5,2,0,3,.227,.315,.319,.634,36,-7.8,.288,84,-6.9
,Pedro PagésP. Pagés,32,2025,STL,83,258,27,52,10,0,7,14,1,73,0,0,278,83,17,3,2,0,7,.202,.244,.322,.565,18,-14.6,.248,57,-14
,Nolan GormanN. Gorman,30,2025,STL,68,203,32,45,8,1,9,27,0,71,1,1,233,82,18,0,3,1,1,.222,.309,.404,.713,27,-0.6,.310,100,-0.1
,Jordan WalkerJ. Walker,27,2025,STL,69,225,24,51,10,1,3,17,2,78,4,2,245,72,14,0,1,0,5,.227,.286,.320,.606,20,-8.5,.270,72,-7.9
,Michael ConfortoM. Conforto,24,2025,LAD,97,300,40,58,17,0,9,41,8,80,1,0,350,102,26,0,1,0,10,.193,.306,.340,.646,35,-6,.292,87,-5.2
,Enrique HernándezE. Hernández,22,2025,LAD,71,169,23,33,5,0,8,15,0,48,0,0,186,62,13,1,1,0,6,.195,.259,.367,.626,16,-5.9,.274,75,-5.4
,Yohel PozoY. Pozo,16,2025,STL,47,116,13,32,8,0,4,4,0,14,0,0,121,52,12,0,1,0,2,.276,.298,.448,.746,15,0.6,.320,106,0.9
,Hyeseong KimH. Kim,15,2025,LAD,58,138,17,42,6,1,2,6,1,42,12,0,146,56,9,1,0,0,0,.304,.338,.406,.744,19,1.5,.326,111,1.8
,Miguel RojasM. Rojas,14,2025,LAD,70,165,21,41,8,0,6,15,0,24,2,0,181,67,14,1,0,0,6,.248,.311,.406,.717,21,0.1,.314,103,0.6
,Dalton RushingD. Rushing,11,2025,LAD,30,83,9,16,3,0,1,7,1,37,0,0,92,22,4,0,1,0,0,.193,.261,.265,.526,5,-5.5,.239,51,-5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
