,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Riley GreeneR. Greene,84,2025,DET,109,424,59,115,23,1,26,28,2,145,1,1,456,218,50,0,2,1,9,.271,.318,.514,.832,68,15.1,.355,129,15.6
,Spencer TorkelsonS. Torkelson,63,2025,DET,106,384,60,90,23,0,23,46,9,110,2,1,444,182,46,0,5,5,10,.234,.327,.474,.801,62,9.9,.341,120,10.4
,Byron BuxtonB. Buxton,59,2025,MIN,85,326,68,92,14,4,23,29,4,97,17,0,364,183,41,0,5,2,0,.282,.343,.561,.905,62,19.7,.381,146,19.6
,Gleyber TorresG. Torres,54,2025,DET,99,358,57,99,17,0,13,55,4,58,4,1,422,155,30,0,5,0,8,.277,.374,.433,.807,64,14.2,.355,130,14.7
,Javier BáezJ. Báez,45,2025,DET,91,307,45,82,14,2,11,9,5,78,4,1,322,133,27,0,1,0,4,.267,.298,.433,.731,38,0.7,.316,103,1
,Ty FranceT. France,44,2025,MIN,101,350,41,88,19,0,6,19,17,63,1,0,387,125,25,0,1,0,8,.251,.320,.357,.678,42,-3.2,.303,93,-3.3
,Trevor LarnachT. Larnach,44,2025,MIN,101,360,47,87,15,1,13,37,3,89,2,3,404,143,29,0,4,1,13,.242,.314,.397,.712,47,-0.7,.311,98,-0.8
,Brooks LeeB. Lee,43,2025,MIN,91,316,28,79,10,0,10,16,3,64,2,1,338,119,20,0,3,0,8,.250,.290,.377,.667,33,-6.1,.291,85,-6.1
,Dillon DinglerD. Dingler,42,2025,DET,83,287,32,79,14,1,9,11,7,72,0,0,306,122,24,0,1,0,3,.275,.317,.425,.742,38,2.4,.323,108,2.7
,Harrison BaderH. Bader,38,2025,MIN,96,271,31,70,13,0,12,27,7,81,10,4,307,119,25,0,2,0,3,.258,.339,.439,.778,43,6.6,.340,118,6.6
,Zach McKinstryZ. McKinstry,37,2025,DET,100,328,53,87,16,8,9,39,4,81,17,3,376,146,33,1,4,1,3,.265,.347,.445,.792,53,8.9,.343,121,9.3
,Kerry CarpenterK. Carpenter,36,2025,DET,83,280,44,74,13,3,18,8,4,64,1,1,293,147,34,0,1,0,2,.264,.294,.525,.819,42,8,.347,124,8.3
,Ryan JeffersR. Jeffers,34,2025,MIN,87,290,33,74,19,0,7,34,5,60,0,0,329,114,26,0,0,1,8,.255,.343,.393,.737,42,3.5,.327,109,3.4
,Colt KeithC. Keith,33,2025,DET,100,298,46,77,16,2,9,37,1,68,0,1,339,124,27,0,3,0,6,.258,.339,.416,.755,44,4.8,.331,113,5.2
,Carlos CorreaC. Correa,31,2025,MIN,93,337,40,90,19,0,7,26,0,68,0,0,364,130,26,0,1,0,12,.267,.319,.386,.704,42,-1.1,.310,97,-1.1
,Kody ClemensK. Clemens,31,2025,MIN,65,180,26,40,7,3,12,17,4,48,0,1,204,89,22,1,2,0,2,.222,.300,.494,.795,28,4.1,.339,117,4.1
,Willi CastroW. Castro,27,2025,MIN,86,302,48,74,15,2,10,32,9,84,9,3,344,123,27,1,0,1,9,.245,.335,.407,.743,44,3.9,.328,110,3.9
,Trey SweeneyT. Sweeney,27,2025,DET,85,231,28,48,5,1,5,23,0,68,3,1,258,70,11,0,4,0,2,.208,.275,.303,.578,19,-11.4,.259,63,-11.1
,Matt WallnerM. Wallner,24,2025,MIN,69,216,28,45,10,2,14,30,3,74,0,2,251,101,26,0,2,0,1,.208,.311,.468,.778,34,4.4,.335,115,4.4
,Wenceel PérezW. Pérez,23,2025,DET,52,178,31,47,9,3,8,11,2,38,5,1,192,86,20,0,1,0,2,.264,.313,.483,.796,27,4.2,.341,120,4.4
,Royce LewisR. Lewis,21,2025,MIN,55,189,20,47,11,0,5,15,0,28,1,0,205,73,16,0,1,0,4,.249,.302,.386,.689,22,-1.9,.302,92,-2
,Andy IbáñezA. Ibáñez,17,2025,DET,50,105,16,25,6,0,3,7,4,16,3,0,117,40,9,0,1,0,5,.238,.308,.381,.689,13,-0.9,.304,94,-0.8
,Justyn-Henry MalloyJ. Malloy,16,2025,DET,46,96,13,20,4,0,1,19,1,31,0,0,118,27,5,0,2,0,1,.208,.339,.281,.620,12,-2.2,.290,85,-2.1
,Christian VázquezC. Vázquez,13,2025,MIN,59,171,12,31,7,0,2,15,3,31,0,1,191,44,9,0,2,0,3,.181,.257,.257,.514,10,-12.1,.235,46,-12.1
,Jake RogersJ. Rogers,13,2025,DET,30,80,11,15,2,1,3,12,0,25,0,0,94,28,6,1,1,0,0,.188,.290,.350,.640,9,-2.2,.285,81,-2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
