,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Kyle StowersK. Stowers,67,2025,MIA,104,351,54,103,18,3,24,41,5,113,5,1,401,199,45,1,3,3,6,.293,.373,.567,.939,74,27.1,.397,156,26.2
,Christian WalkerC. Walker,58,2025,HOU,106,403,45,96,16,1,15,29,9,117,1,1,445,159,32,0,4,0,9,.238,.301,.395,.696,49,-3.2,.305,95,-2.7
,Jose AltuveJ. Altuve,57,2025,HOU,108,414,59,116,17,1,18,39,2,74,6,6,460,189,36,0,5,4,13,.280,.341,.457,.798,65,10.8,.343,121,11.3
,Otto LopezO. Lopez,55,2025,MIA,93,349,45,87,14,0,11,34,3,55,10,5,387,134,25,0,1,2,5,.249,.320,.384,.704,44,-1.2,.310,95,-2
,Isaac ParedesI. Paredes,50,2025,HOU,94,351,51,91,15,1,19,49,7,67,0,1,409,165,35,0,2,0,8,.259,.359,.470,.829,64,15.8,.362,134,16.2
,Agustín RamírezA. Ramírez,50,2025,MIA,85,340,48,83,24,1,17,22,0,70,5,2,363,160,42,0,1,1,10,.244,.289,.471,.760,46,3.1,.324,105,2.3
,Yainer DiazY. Diaz,45,2025,HOU,99,377,40,95,15,1,15,15,2,66,1,1,397,157,31,0,3,1,9,.252,.282,.416,.699,42,-4.3,.300,92,-3.9
,Cam SmithC. Smith,45,2025,HOU,96,345,39,87,18,2,7,32,5,107,5,1,383,130,27,0,1,0,10,.252,.324,.377,.701,44,-0.9,.311,99,-0.5
,Jeremy PeñaJ. Peña,40,2025,HOU,84,326,48,105,18,1,11,20,10,57,15,2,359,158,30,1,2,1,6,.322,.377,.485,.862,59,17.5,.374,142,17.8
,Victor CaratiniV. Caratini,36,2025,HOU,79,262,27,70,11,0,10,13,7,48,1,0,287,111,21,0,5,0,8,.267,.314,.424,.737,35,1.4,.320,105,1.7
,Jesús SánchezJ. Sánchez,36,2025,TOT,89,316,40,81,13,4,10,30,1,72,9,2,349,132,27,0,2,1,8,.256,.321,.418,.739,43,2.1,.321,103,1.4
,Eric WagamanE. Wagaman,34,2025,MIA,99,356,35,83,21,1,5,22,1,71,3,1,383,121,27,0,4,0,10,.233,.277,.340,.617,32,-13.2,.271,69,-14.1
,Liam HicksL. Hicks,33,2025,MIA,75,198,20,52,9,1,4,25,5,39,0,0,234,75,14,3,3,0,3,.263,.355,.379,.734,30,2.6,.327,108,2.1
,Xavier EdwardsX. Edwards,28,2025,MIA,93,375,51,110,17,3,1,39,1,60,17,7,420,136,21,3,2,2,3,.293,.360,.363,.722,52,2.5,.321,103,1.6
,Connor NorbyC. Norby,26,2025,MIA,72,253,33,61,11,1,6,14,4,73,7,2,273,92,18,0,2,0,2,.241,.289,.364,.653,26,-5.9,.287,80,-6.5
,Dane MyersD. Myers,25,2025,MIA,80,243,25,61,8,0,5,17,2,60,16,5,263,84,13,0,1,0,9,.251,.304,.346,.650,26,-5.2,.289,81,-5.8
,Mauricio DubónM. Dubón,23,2025,HOU,88,252,30,66,16,0,6,17,1,27,3,0,273,100,22,2,1,0,8,.262,.310,.397,.707,31,-1,.309,98,-0.7
,Javier SanojaJ. Sanoja,23,2025,MIA,77,201,29,50,13,3,3,13,0,31,3,5,222,78,19,4,4,0,1,.249,.289,.388,.677,22,-3.9,.292,83,-4.4
,Jake MeyersJ. Meyers,21,2025,HOU,89,289,47,89,15,2,3,27,2,58,14,5,322,117,20,2,2,0,8,.308,.369,.405,.774,45,7.3,.342,120,7.6
,Yordan AlvarezY. Alvarez,18,2025,HOU,29,100,7,21,4,0,3,16,0,21,1,0,121,34,7,0,5,3,0,.210,.306,.340,.646,10,-3.7,.276,75,-3.6
,Heriberto HernándezH. Hernández,18,2025,MIA,39,107,16,32,5,0,5,10,0,33,0,0,118,52,10,0,1,0,1,.299,.356,.486,.842,19,4.8,.364,133,4.5
,Matt MervisM. Mervis,14,2025,MIA,42,120,15,21,4,0,7,11,2,50,0,0,134,46,11,0,1,1,1,.175,.254,.383,.637,12,-4.2,.275,71,-4.5
,Brendan RodgersB. Rodgers,11,2025,HOU,43,115,12,22,4,0,2,11,1,46,0,1,128,32,6,0,1,0,2,.191,.266,.278,.544,8,-6.9,.247,55,-6.7
,Nick FortesN. Fortes,10,2025,MIA,59,129,11,31,6,1,2,7,2,22,0,0,141,45,9,2,1,0,4,.240,.288,.349,.637,13,-3.8,.280,75,-4.1
,Zach DezenzoZ. Dezenzo,10,2025,HOU,34,98,17,24,6,0,2,11,0,37,1,0,109,36,8,0,0,0,2,.245,.321,.367,.688,12,-0.6,.306,96,-0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
