,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Willy AdamesW. Adames,59,2025,SFG,110,409,66,96,18,2,17,51,3,120,4,2,469,169,37,0,6,1,6,.235,.320,.413,.733,57,2.3,.320,107,4
,Wilmer FloresW. Flores,59,2025,SFG,97,342,36,85,9,0,12,30,6,68,1,0,380,130,21,0,2,0,14,.249,.318,.380,.699,43,-1.3,.309,100,0.1
,Bryan ReynoldsB. Reynolds,52,2025,PIT,104,410,41,98,23,2,10,32,3,119,3,2,448,155,35,0,3,1,11,.239,.297,.378,.675,46,-6.7,.295,85,-7.7
,Heliot RamosH. Ramos,50,2025,SFG,109,421,57,112,20,1,14,38,13,111,6,4,478,176,35,0,6,2,10,.266,.341,.418,.759,63,6.9,.332,116,8.7
,Oneil CruzO. Cruz,48,2025,PIT,99,361,56,78,16,2,18,51,3,134,34,4,420,152,36,0,5,4,6,.216,.314,.421,.735,50,1.3,.317,101,0.3
,Jung Hoo LeeJ. Hoo Lee,44,2025,SFG,105,395,52,99,24,8,6,37,5,46,7,2,441,157,38,0,4,0,2,.251,.320,.397,.717,52,0.1,.314,103,1.6
,Matt ChapmanM. Chapman,42,2025,SFG,87,314,51,73,14,2,16,48,5,90,7,2,367,139,32,0,0,0,6,.232,.343,.443,.786,52,9.3,.345,125,10.7
,Andrew McCutchenA. McCutchen,39,2025,PIT,97,354,37,87,15,0,11,40,2,88,1,1,399,135,26,0,3,1,6,.246,.323,.381,.705,46,-0.8,.311,96,-1.7
,Ke'Bryan HayesK. Hayes,36,2025,PIT,100,369,34,87,10,2,2,18,4,81,10,2,392,107,14,1,0,1,8,.236,.279,.290,.569,27,-18.8,.254,57,-19.7
,Isiah Kiner-FalefaI. Kiner-Falefa,29,2025,PIT,96,322,32,88,14,2,1,15,4,57,13,3,345,109,17,3,1,0,6,.273,.313,.339,.651,34,-6.8,.289,81,-7.6
,Tommy PhamT. Pham,29,2025,PIT,78,250,28,68,12,1,4,27,1,63,3,1,281,94,17,0,3,2,8,.272,.342,.376,.718,33,0.4,.315,99,-0.2
,Patrick BaileyP. Bailey,29,2025,SFG,88,263,26,55,14,2,2,21,2,88,0,0,295,79,18,4,5,0,4,.209,.268,.300,.568,20,-14.5,.253,61,-13.4
,Mike YastrzemskiM. Yastrzemski,28,2025,SFG,96,321,38,74,14,1,8,47,1,86,6,2,372,114,23,2,1,4,4,.231,.330,.355,.685,41,-3,.304,96,-1.6
,Spencer HorwitzS. Horwitz,25,2025,PIT,60,211,25,53,13,0,3,23,1,51,0,0,236,75,16,0,1,1,5,.251,.326,.355,.682,26,-2.1,.303,91,-2.6
,Adam FrazierA. Frazier,21,2025,PIT,78,235,22,60,10,0,3,17,6,45,7,5,262,79,13,1,3,2,8,.255,.318,.336,.654,26,-5.1,.290,82,-5.7
,Casey SchmittC. Schmitt,18,2025,SFG,52,161,16,40,8,0,5,15,3,43,0,0,180,63,13,1,0,0,3,.248,.324,.391,.715,22,0.5,.317,105,1.1
,Joey BartJ. Bart,17,2025,PIT,65,206,15,50,7,1,1,32,4,65,1,0,242,62,9,0,0,0,11,.243,.355,.301,.656,27,-1.7,.305,92,-2.3
,Nick GonzalesN. Gonzales,16,2025,PIT,48,188,21,49,7,2,5,14,1,35,0,1,204,75,14,0,1,0,5,.261,.314,.399,.713,24,-0.3,.312,97,-0.8
,Rafael DeversR. Devers,15,2025,SFG,39,146,14,32,9,0,4,22,1,56,0,0,171,53,13,0,2,1,5,.219,.322,.363,.685,19,-1.4,.303,96,-0.8
,Dominic SmithD. Smith,15,2025,SFG,35,103,12,28,6,0,3,11,2,21,2,0,118,43,9,0,2,0,3,.272,.347,.417,.765,16,2.1,.335,118,2.5
,LaMonte Wade Jr.L. Wade Jr.,15,2025,SFG,50,144,12,24,8,2,1,21,1,35,0,0,169,39,11,2,1,1,2,.167,.275,.271,.546,11,-8.8,.249,59,-8.2
,Tyler FitzgeraldT. Fitzgerald,13,2025,SFG,63,198,18,45,10,1,3,15,2,62,9,4,222,66,14,6,1,0,3,.227,.287,.333,.620,19,-6.8,.276,77,-6
,Alexander CanarioA. Canario,13,2025,PIT,57,158,19,33,5,1,3,16,0,56,2,1,174,49,9,0,0,0,3,.209,.282,.310,.592,14,-6.6,.266,65,-7
,Henry DavisH. Davis,13,2025,PIT,55,158,17,27,5,0,4,15,3,44,0,1,179,44,9,2,1,0,0,.171,.254,.278,.533,11,-10.2,.243,49,-10.6
,Luis MatosL. Matos,13,2025,SFG,40,114,13,19,6,0,5,6,0,19,2,0,120,40,11,0,0,0,5,.167,.208,.351,.559,7,-7,.242,54,-6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
