,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Kyle SchwarberK. Schwarber,87,2025,PHI,110,407,76,102,16,1,37,74,8,131,10,2,489,231,54,0,0,5,1,.251,.376,.568,.944,91,34,.400,160,34.1
,Nick CastellanosN. Castellanos,60,2025,PHI,108,414,53,111,23,1,15,23,3,93,4,0,444,181,39,0,4,0,9,.268,.309,.437,.746,55,3,.322,106,3.1
,Cedric MullinsC. Mullins,49,2025,BAL,91,314,42,72,19,0,15,34,2,85,14,4,355,136,34,1,4,0,2,.229,.305,.433,.738,43,1.8,.320,106,2.5
,Bryce HarperB. Harper,47,2025,PHI,82,308,50,83,24,0,16,49,4,73,10,0,363,155,40,0,2,3,3,.269,.375,.503,.878,61,18.6,.377,144,18.6
,Ramón LaureanoR. Laureano,46,2025,BAL,82,259,45,75,17,0,15,22,6,72,4,3,290,137,32,0,3,1,6,.290,.355,.529,.884,49,14.9,.377,146,15.5
,Gunnar HendersonG. Henderson,46,2025,BAL,104,393,63,112,25,4,13,40,3,97,14,3,437,184,42,0,1,4,7,.285,.355,.468,.823,65,14.4,.354,130,15.3
,Trea TurnerT. Turner,45,2025,PHI,108,448,72,128,23,3,11,33,4,83,25,6,487,190,37,0,2,1,8,.286,.339,.424,.763,65,7.6,.333,113,7.6
,Ryan O'HearnR. O'Hearn,43,2025,BAL,94,311,45,88,15,1,13,42,5,63,3,1,361,144,29,0,3,3,10,.283,.374,.463,.837,57,14.3,.363,136,15.1
,Bryson StottB. Stott,43,2025,PHI,99,346,43,81,12,2,7,38,1,66,17,3,390,118,21,2,3,0,3,.234,.309,.341,.650,38,-7.3,.290,84,-7.2
,Jackson HollidayJ. Holliday,43,2025,BAL,103,409,48,106,15,2,14,24,5,102,11,8,439,167,31,0,1,0,3,.259,.308,.408,.716,51,-0.3,.313,101,0.6
,Alec BohmA. Bohm,42,2025,PHI,92,353,39,98,12,2,8,22,4,62,2,0,383,138,22,0,4,0,13,.278,.324,.391,.715,45,-0.1,.313,100,-0.1
,J.T. Realmuto,39,2025,PHI,91,349,40,94,20,1,7,24,2,91,6,2,375,137,28,0,0,1,11,.269,.320,.393,.713,43,-0.4,.312,99,-0.3
,Ramón UríasR. Urías,34,2025,BAL,77,258,27,64,12,0,8,21,2,60,2,0,290,100,20,0,9,0,5,.248,.300,.388,.688,30,-3.7,.298,91,-3.1
,Max KeplerM. Kepler,33,2025,PHI,95,307,40,62,14,0,11,39,3,69,1,0,353,109,25,1,3,3,8,.202,.295,.355,.651,34,-7.7,.286,81,-7.7
,Jordan WestburgJ. Westburg,27,2025,BAL,59,232,45,63,9,1,12,11,4,56,1,2,247,110,22,0,0,0,4,.272,.316,.474,.790,34,5.5,.341,121,6
,Edmundo SosaE. Sosa,25,2025,PHI,59,158,17,42,9,1,4,8,2,38,1,0,170,65,14,1,1,0,3,.266,.308,.411,.719,20,-0.1,.313,99,-0.1
,Adley RutschmanA. Rutschman,25,2025,BAL,73,262,33,61,14,1,8,33,1,47,0,0,298,101,23,0,2,0,7,.233,.319,.385,.704,34,-0.6,.311,100,0.1
,Gary SánchezG. Sánchez,24,2025,BAL,29,91,13,21,2,0,5,4,5,27,0,0,101,38,7,0,1,0,2,.231,.297,.418,.715,12,-0.1,.312,101,0.1
,Brandon MarshB. Marsh,24,2025,PHI,88,240,36,63,12,1,5,27,0,67,5,1,273,92,18,3,3,0,1,.263,.333,.383,.717,33,0.6,.316,102,0.6
,Tyler O'NeillT. O'Neill,21,2025,BAL,41,138,19,29,6,1,7,15,3,39,2,0,159,58,14,0,3,1,2,.210,.296,.420,.716,18,-0.8,.308,98,-0.4
,Colton CowserC. Cowser,21,2025,BAL,52,183,22,39,8,0,9,13,5,62,6,0,201,74,17,0,0,0,3,.213,.284,.404,.688,22,-2,.301,93,-1.5
,Heston KjerstadH. Kjerstad,19,2025,BAL,54,156,16,30,5,2,4,6,4,45,1,0,167,51,11,0,1,0,9,.192,.240,.327,.566,11,-8.8,.249,57,-8.4
,Johan RojasJ. Rojas,18,2025,PHI,71,152,23,34,3,2,1,13,0,40,12,2,172,44,6,4,3,0,2,.224,.280,.289,.569,12,-8.2,.255,59,-8.2
,Otto KempO. Kemp,17,2025,PHI,40,129,16,31,7,0,4,6,6,41,1,2,142,50,11,0,1,0,2,.240,.303,.388,.690,16,-1.1,.304,93,-1.1
,Ryan MountcastleR. Mountcastle,15,2025,BAL,52,187,19,46,13,0,2,8,2,46,1,0,200,65,15,0,3,0,6,.246,.280,.348,.628,17,-6.4,.274,75,-5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
