,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Pete AlonsoP. Alonso,86,2025,NYM,111,412,57,108,27,1,24,50,12,111,1,2,480,209,52,0,6,4,16,.262,.354,.507,.861,77,20.7,.367,141,23
,Francisco LindorF. Lindor,63,2025,NYM,109,443,70,111,21,0,20,35,11,94,17,2,495,192,41,0,6,2,5,.251,.317,.433,.751,62,4.4,.325,112,6.8
,Brandon NimmoB. Nimmo,63,2025,NYM,107,403,56,105,21,0,19,34,7,92,12,1,447,183,40,0,3,1,5,.261,.327,.454,.781,61,8.8,.338,121,10.9
,Juan SotoJ. Soto,63,2025,NYM,109,388,75,96,16,0,25,84,2,92,16,1,479,187,41,1,4,10,15,.247,.381,.482,.863,77,21.4,.369,142,23.7
,José RamírezJ. Ramírez,59,2025,CLE,107,403,70,121,21,2,22,45,6,47,32,7,459,212,45,0,5,16,3,.300,.375,.526,.901,77,22.9,.375,143,23.3
,Kyle ManzardoK. Manzardo,48,2025,CLE,94,308,30,73,13,2,18,32,3,89,1,0,347,144,33,0,4,1,5,.237,.311,.468,.779,46,5.6,.334,115,5.9
,Carlos SantanaC. Santana,46,2025,CLE,103,361,44,83,8,0,11,47,3,77,6,0,415,124,19,0,4,1,7,.230,.320,.343,.664,43,-5.3,.298,90,-4.9
,Steven KwanS. Kwan,38,2025,CLE,104,411,54,117,20,1,9,40,3,39,11,2,461,166,30,1,6,1,2,.285,.348,.404,.752,60,5.9,.330,112,6.4
,Angel MartínezA. Martínez,38,2025,CLE,93,320,41,77,19,1,9,13,3,76,6,2,343,125,29,3,4,0,7,.241,.274,.391,.664,33,-7.4,.287,82,-7.1
,Brett BatyB. Baty,34,2025,NYM,89,263,32,60,9,2,11,23,1,71,5,0,290,106,22,0,3,0,5,.228,.290,.403,.693,31,-2.9,.301,95,-1.6
,Gabriel AriasG. Arias,34,2025,CLE,84,280,29,65,19,0,7,20,5,95,4,3,308,105,26,1,2,0,6,.232,.293,.375,.668,31,-4.9,.294,87,-4.6
,Jeff McNeilJ. McNeil,33,2025,NYM,75,234,24,58,11,4,9,34,5,27,2,0,277,104,24,1,3,4,4,.248,.351,.444,.796,39,6.4,.342,124,7.7
,Mark VientosM. Vientos,31,2025,NYM,77,272,23,64,12,2,7,18,2,70,0,0,294,101,21,0,2,0,7,.235,.286,.371,.657,28,-6.2,.288,86,-4.8
,Daniel SchneemannD. Schneemann,29,2025,CLE,89,252,35,57,13,0,10,31,1,69,8,1,286,100,23,1,1,1,4,.226,.312,.397,.709,33,-0.5,.311,99,-0.3
,Nolan JonesN. Jones,28,2025,CLE,99,265,24,58,11,2,3,34,4,81,7,3,307,82,16,1,3,1,5,.219,.314,.309,.623,28,-7.8,.282,79,-7.5
,Bo NaylorB. Naylor,27,2025,CLE,83,244,35,44,13,1,11,36,1,72,1,2,285,92,25,1,3,0,4,.180,.285,.377,.662,28,-5,.292,86,-4.7
,Brayan RocchioB. Rocchio,23,2025,CLE,63,178,17,39,13,1,1,10,5,39,2,4,201,57,15,4,4,0,3,.219,.274,.320,.594,15,-8.3,.263,66,-8.1
,Starling MarteS. Marte,21,2025,NYM,63,177,23,50,10,0,4,16,8,36,5,2,205,72,14,1,3,0,3,.282,.363,.407,.770,28,4.5,.340,123,5.4
,Tyrone TaylorT. Taylor,18,2025,NYM,97,271,27,54,13,3,2,13,8,69,11,1,296,79,18,2,2,1,4,.199,.255,.292,.547,18,-16.9,.243,55,-15.5
,Luis TorrensL. Torrens,16,2025,NYM,70,198,10,43,10,1,2,18,1,50,0,0,217,61,13,0,0,0,5,.217,.286,.308,.594,17,-8.1,.267,72,-7.1
,David FryD. Fry,13,2025,CLE,39,87,10,15,2,0,5,6,1,36,1,0,94,32,7,0,0,0,2,.172,.234,.368,.602,7,-3.8,.263,66,-3.7
,Francisco AlvarezF. Alvarez,13,2025,NYM,43,148,17,36,5,1,4,18,2,45,0,0,168,55,10,0,0,0,4,.243,.333,.372,.705,20,0.2,.315,105,1
,Lane ThomasL. Thomas,11,2025,CLE,39,125,10,20,2,0,4,14,1,44,4,1,142,34,6,0,2,0,4,.160,.246,.272,.518,8,-8.9,.236,47,-8.7
,Jesse WinkerJ. Winker,10,2025,NYM,26,70,8,16,5,2,1,9,0,21,1,0,81,28,8,0,2,1,1,.229,.309,.400,.709,9,-0.8,.302,96,-0.4
,Jhonkensy NoelJ. Noel,9,2025,CLE,49,107,12,15,2,0,2,3,0,35,0,0,111,23,4,0,1,0,4,.140,.162,.215,.377,0,-13.2,.166,-1,-13.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
