,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Trevor StoryT. Story,69,2025,BOS,109,418,59,107,19,0,18,22,4,127,18,0,446,180,37,1,1,0,2,.256,.299,.431,.729,53,1,.316,96,-2.2
,Salvador PerezS. Perez,66,2025,KCR,106,410,35,105,27,0,20,19,6,88,0,0,436,192,47,0,1,4,11,.256,.298,.468,.766,55,4.4,.326,104,1.8
,Vinnie PasquantinoV. Pasquantino,65,2025,KCR,109,421,43,111,18,1,18,35,5,75,1,0,463,185,37,0,2,3,5,.264,.326,.439,.766,61,6.5,.331,107,3.8
,Bobby Witt Jr.B. Witt Jr.,63,2025,KCR,110,434,67,124,36,3,16,35,3,93,29,7,478,214,55,0,6,6,3,.286,.339,.493,.832,71,14.7,.352,121,11.9
,Jarren DuranJ. Duran,60,2025,BOS,110,446,62,117,30,12,11,38,7,122,18,5,494,204,53,1,2,0,4,.262,.329,.457,.786,68,10.3,.339,112,6.7
,Wilyer AbreuW. Abreu,59,2025,BOS,96,310,46,76,13,0,20,32,0,84,6,3,346,149,33,1,3,4,8,.245,.313,.481,.794,47,6.4,.336,110,3.9
,Rafael DeversR. Devers,58,2025,BOS,73,272,47,74,18,0,15,56,4,76,1,1,334,137,33,0,2,7,7,.272,.401,.504,.905,59,19.7,.387,144,17.3
,Ceddanne RafaelaC. Rafaela,50,2025,BOS,107,374,61,100,23,3,14,17,5,75,14,3,401,171,40,3,2,0,3,.267,.307,.457,.764,52,4.9,.329,104,2
,Maikel GarciaM. Garcia,47,2025,KCR,109,405,50,121,28,5,10,36,1,57,20,9,448,189,43,3,3,0,9,.299,.355,.467,.822,68,15.2,.356,124,12.5
,Alex BregmanA. Bregman,44,2025,BOS,67,256,39,75,20,0,14,24,6,49,1,1,287,137,34,0,1,1,4,.293,.366,.535,.901,50,16.7,.386,144,14.7
,Romy GonzálezR. González,36,2025,BOS,56,175,31,51,16,3,8,11,2,49,4,2,191,97,27,0,3,1,2,.291,.335,.554,.889,31,9.1,.373,135,7.8
,Carlos NarváezC. Narváez,33,2025,BOS,84,294,41,74,21,0,9,32,0,81,1,1,329,122,30,1,2,0,8,.252,.323,.415,.738,41,2.5,.323,100,0.1
,Jonathan IndiaJ. India,32,2025,KCR,102,389,48,94,25,0,5,39,9,72,0,4,440,134,30,1,2,0,7,.242,.323,.344,.668,47,-4.8,.300,86,-7.4
,Abraham ToroA. Toro,24,2025,BOS,66,219,29,57,13,0,6,13,6,35,2,1,242,88,19,0,4,1,0,.260,.314,.402,.716,28,-0.6,.311,92,-2.3
,Kyle IsbelK. Isbel,22,2025,KCR,97,265,33,68,13,4,3,13,1,56,4,2,293,98,20,11,3,0,4,.257,.291,.370,.661,28,-6.2,.287,77,-8
,Kristian CampbellK. Campbell,21,2025,BOS,67,229,24,51,10,0,6,29,4,72,2,1,263,79,16,0,1,0,1,.223,.319,.345,.664,28,-3,.300,84,-4.9
,Rob RefsnyderR. Refsnyder,20,2025,BOS,51,130,22,36,9,0,6,18,1,40,3,0,151,63,15,0,2,1,3,.277,.364,.485,.849,24,6.2,.364,129,5.1
,Roman AnthonyR. Anthony,19,2025,BOS,46,159,27,45,15,1,2,26,5,47,2,1,190,68,18,0,0,0,1,.283,.400,.428,.828,31,8.4,.369,132,7.1
,Drew WatersD. Waters,14,2025,KCR,71,206,21,50,6,3,1,11,2,60,5,3,219,65,10,0,0,0,2,.243,.288,.316,.603,18,-8,.268,64,-9.3
,Michael MasseyM. Massey,14,2025,KCR,56,198,10,40,5,0,2,5,1,32,1,0,209,51,7,1,4,0,3,.202,.221,.258,.479,7,-17.4,.210,24,-18.7
,Nick LoftinN. Loftin,13,2025,KCR,39,114,12,24,5,2,3,4,2,18,1,1,121,42,10,0,1,0,4,.211,.248,.368,.616,10,-4.6,.266,62,-5.4
,David HamiltonD. Hamilton,12,2025,BOS,66,128,18,23,3,0,3,7,1,32,17,3,138,35,6,2,0,0,2,.180,.228,.273,.501,6,-9.9,.224,32,-10.9
,John RaveJ. Rave,12,2025,KCR,47,96,12,17,4,0,3,15,0,28,5,2,114,30,7,2,1,0,1,.177,.286,.313,.598,9,-3.9,.271,66,-4.6
,Freddy FerminF. Fermin,12,2025,KCR,67,192,17,49,7,0,3,13,2,37,1,2,208,65,10,1,0,1,2,.255,.309,.339,.648,20,-4.4,.287,77,-5.7
,Triston CasasT. Casas,11,2025,BOS,29,99,5,18,3,0,3,11,2,27,0,0,112,30,6,0,0,2,3,.182,.277,.303,.580,8,-5.2,.256,55,-6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
