,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Christian YelichC. Yelich,72,2025,MIL,104,396,59,103,12,0,21,42,5,121,15,5,444,178,33,0,1,3,4,.260,.338,.449,.787,62,10,.342,119,10.1
,Matt OlsonM. Olson,68,2025,ATL,110,420,61,109,27,0,18,66,2,113,0,0,491,190,45,0,3,2,11,.260,.360,.452,.813,73,16.1,.354,127,15.5
,Jackson ChourioJ. Chourio,67,2025,MIL,106,445,71,123,29,4,17,22,2,95,18,7,472,211,50,0,3,1,10,.276,.311,.474,.786,64,8.5,.336,115,8.5
,Austin RileyA. Riley,54,2025,ATL,102,416,54,108,20,1,16,27,3,128,2,1,447,178,37,0,1,1,9,.260,.309,.428,.737,54,2.1,.319,103,1.6
,Michael Harris IIM. Harris II,50,2025,ATL,108,407,32,97,16,6,9,13,2,86,12,3,431,152,31,4,5,1,7,.238,.262,.373,.636,36,-14.2,.273,71,-14.6
,Marcell OzunaM. Ozuna,48,2025,ATL,100,344,43,80,11,0,15,72,2,95,0,0,423,136,26,0,5,2,8,.233,.364,.395,.759,58,8.3,.338,116,7.8
,William ContrerasW. Contreras,47,2025,MIL,104,391,60,101,20,0,9,59,1,82,5,2,455,148,29,0,4,4,8,.258,.354,.379,.732,57,3.8,.324,107,3.8
,Brice TurangB. Turang,45,2025,MIL,105,396,63,109,20,0,6,42,1,95,19,8,446,147,26,2,5,1,2,.275,.342,.371,.714,53,0.8,.316,102,0.9
,Ozzie AlbiesO. Albies,43,2025,ATL,110,416,48,95,14,1,9,44,4,73,10,1,467,138,24,0,3,0,6,.228,.306,.332,.638,44,-10.2,.286,80,-10.7
,Rhys HoskinsR. Hoskins,42,2025,MIL,82,269,30,65,12,1,12,38,5,85,2,1,318,115,25,0,6,2,6,.242,.340,.428,.767,42,4.9,.333,113,5
,Sean MurphyS. Murphy,42,2025,ATL,75,237,29,54,12,0,16,29,7,84,0,0,276,114,28,0,3,1,7,.228,.326,.481,.807,40,7.3,.347,122,7
,Sal FrelickS. Frelick,41,2025,MIL,98,362,49,107,12,3,8,27,7,53,17,4,402,149,23,3,3,0,1,.296,.353,.412,.765,54,7.5,.337,116,7.5
,Drake BaldwinD. Baldwin,41,2025,ATL,79,241,26,68,11,0,11,23,2,46,0,0,266,112,22,0,0,0,5,.282,.350,.465,.814,40,8.9,.355,128,8.6
,Caleb DurbinC. Durbin,37,2025,MIL,86,274,37,72,15,0,5,22,14,30,9,5,316,102,20,2,4,0,4,.263,.344,.372,.716,39,1.6,.320,104,1.6
,Joey OrtizJ. Ortiz,33,2025,MIL,107,340,44,73,12,0,7,21,3,59,9,3,369,106,19,5,0,0,9,.215,.266,.312,.578,27,-16.6,.258,62,-16.5
,Isaac CollinsI. Collins,32,2025,MIL,89,242,37,67,11,1,6,36,3,65,12,4,284,98,18,2,1,0,4,.277,.376,.405,.781,41,7.9,.348,124,7.9
,Ronald Acuña Jr.R. Acuña Jr.,26,2025,ATL,55,196,48,60,9,1,14,42,0,62,4,1,238,113,24,0,0,3,1,.306,.429,.577,1.005,50,21.8,.427,178,21.6
,Eli WhiteE. White,24,2025,ATL,76,201,32,51,7,3,6,9,2,51,7,1,213,82,16,1,0,1,2,.254,.292,.408,.700,23,-1.9,.302,91,-2.2
,Andrew VaughnA. Vaughn,24,2025,MIL,18,62,13,23,4,0,6,8,0,10,0,0,72,45,10,0,2,0,2,.371,.431,.726,1.156,18,9.5,.477,213,9.5
,Jake BauersJ. Bauers,18,2025,MIL,59,127,16,25,5,0,5,23,0,45,5,0,151,45,10,0,1,1,0,.197,.318,.354,.672,16,-1.6,.300,91,-1.6
,Nick AllenN. Allen,18,2025,ATL,101,291,27,66,9,0,0,28,3,79,6,5,331,75,9,6,3,0,5,.227,.298,.258,.556,23,-15.3,.256,59,-15.7
,Alex VerdugoA. Verdugo,12,2025,ATL,56,197,21,47,10,0,0,14,2,31,1,0,213,57,10,0,0,0,1,.239,.296,.289,.585,17,-8.4,.265,65,-8.6
,Jurickson ProfarJ. Profar,11,2025,ATL,30,125,17,29,7,1,3,12,1,25,2,0,138,47,11,0,0,0,2,.232,.304,.376,.680,15,-1.4,.301,90,-1.6
,Eric HaaseE. Haase,9,2025,MIL,30,70,11,16,3,0,2,4,2,31,0,0,77,25,5,1,0,0,1,.229,.289,.357,.647,7,-1.7,.287,82,-1.6
,Andruw MonasterioA. Monasterio,8,2025,MIL,34,55,10,13,3,0,1,5,0,13,1,0,60,19,4,0,0,0,1,.236,.300,.345,.645,6,-1.3,.287,82,-1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
