,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Seiya SuzukiS. Suzuki,81,2025,CHC,106,418,56,103,25,3,26,43,0,125,3,2,466,212,54,0,5,1,11,.246,.313,.507,.820,67,13,.348,127,14.7
,Pete Crow-ArmstrongP. Crow-Armstrong,78,2025,CHC,108,423,74,114,31,4,27,20,4,108,29,5,455,234,62,4,4,0,1,.270,.306,.553,.859,71,17.9,.362,137,19.5
,Elly De La CruzE. De La Cruz,72,2025,CIN,112,429,80,121,23,3,19,51,2,118,30,6,483,207,45,0,1,9,11,.282,.360,.483,.843,74,17.8,.359,126,14.5
,Kyle TuckerK. Tucker,61,2025,CHC,108,399,75,109,21,4,18,74,2,67,23,2,478,192,43,0,3,7,6,.273,.387,.481,.868,79,23,.373,144,24.8
,Michael BuschM. Busch,61,2025,CHC,104,349,50,94,15,3,21,38,9,95,4,0,396,178,39,0,0,1,1,.269,.356,.510,.866,65,19,.373,144,20.5
,Ian HappI. Happ,52,2025,CHC,100,392,62,89,18,0,15,56,1,101,5,2,453,152,33,0,4,0,6,.227,.322,.388,.710,53,0.3,.314,104,1.9
,Dansby SwansonD. Swanson,51,2025,CHC,108,414,60,102,14,2,16,31,0,125,8,3,450,168,32,1,4,1,4,.246,.296,.406,.702,49,-3.4,.304,97,-1.8
,Spencer SteerS. Steer,46,2025,CIN,103,369,45,88,15,2,12,32,4,93,6,1,406,143,29,0,1,0,10,.238,.305,.388,.693,45,-2.8,.305,88,-5.6
,Nico HoernerN. Hoerner,46,2025,CHC,106,403,59,118,19,3,4,24,6,35,19,3,436,155,26,0,3,0,2,.293,.339,.385,.724,53,2,.319,107,3.5
,Austin HaysA. Hays,43,2025,CIN,62,231,41,63,9,4,10,21,1,62,4,0,256,110,23,0,3,1,6,.273,.332,.476,.808,37,6.6,.345,116,4.8
,Gavin LuxG. Lux,42,2025,CIN,98,314,34,86,18,1,4,42,0,82,1,0,356,118,23,0,0,0,3,.274,.360,.376,.735,46,4.5,.329,105,2
,Matt McLainM. McLain,38,2025,CIN,102,374,54,84,12,0,11,40,5,112,15,1,422,129,23,1,2,0,6,.225,.306,.345,.651,42,-7.4,.292,79,-10.3
,Carson KellyC. Kelly,36,2025,CHC,73,235,42,64,12,1,13,35,3,43,0,0,276,117,26,0,3,0,7,.272,.370,.498,.867,46,13.5,.374,145,14.5
,TJ Friedl,36,2025,CIN,104,391,63,106,16,2,10,54,12,70,10,3,464,156,28,4,3,0,5,.271,.374,.399,.773,66,11.9,.345,116,8.7
,Tyler StephensonT. Stephenson,34,2025,CIN,65,227,30,54,13,0,8,31,0,92,0,1,261,91,21,0,3,1,3,.238,.326,.401,.727,31,0.9,.318,97,-0.9
,Will BensonW. Benson,32,2025,CIN,61,183,25,41,6,1,9,12,1,57,2,2,201,76,16,0,5,0,4,.224,.269,.415,.684,20,-3.5,.292,79,-4.9
,Noelvi MarteN. Marte,28,2025,CIN,43,151,21,42,7,1,7,8,3,29,7,2,163,72,15,0,1,0,3,.278,.325,.477,.802,23,4.2,.345,116,3.1
,Miguel AmayaM. Amaya,25,2025,CHC,27,93,14,26,9,0,4,4,1,22,0,0,100,47,13,1,1,0,0,.280,.313,.505,.819,15,2.8,.348,127,3.2
,Matt ShawM. Shaw,25,2025,CHC,77,253,35,56,15,0,6,22,2,53,14,2,279,89,21,0,2,0,1,.221,.287,.352,.639,26,-7,.282,82,-6
,Jake FraleyJ. Fraley,23,2025,CIN,61,155,28,38,7,0,6,24,1,38,4,2,180,63,13,0,0,1,0,.245,.350,.406,.756,24,3,.334,108,1.8
,Christian Encarnacion-StrandC. Encarnacion-Strand,19,2025,CIN,36,130,13,27,4,0,6,3,2,32,0,2,137,49,10,0,2,0,1,.208,.234,.377,.610,10,-5.7,.262,58,-6.7
,Reese McGuireR. McGuire,16,2025,CHC,25,81,11,20,1,0,6,2,0,17,0,0,85,39,7,1,1,0,2,.247,.262,.481,.743,10,0.1,.315,104,0.4
,Jose TrevinoJ. Trevino,15,2025,CIN,63,193,23,49,18,0,4,12,0,24,0,0,209,79,22,1,3,0,7,.254,.293,.409,.703,23,-1.8,.303,87,-3.3
,Santiago EspinalS. Espinal,14,2025,CIN,96,274,24,69,12,0,0,20,1,34,2,1,297,81,12,2,0,0,10,.252,.305,.296,.601,25,-10.1,.271,65,-12.2
,Justin TurnerJ. Turner,13,2025,CHC,57,128,11,27,5,0,2,14,1,24,2,0,147,38,7,0,4,0,2,.211,.286,.297,.583,11,-6.1,.262,67,-5.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
