,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA
,Bo BichetteB. Bichette,68,2025,TOR,109,462,52,137,33,1,13,25,3,75,4,3,492,211,47,0,2,2,13,.297,.335,.457,.792,69,11.1,.342,120,11.6
,Hunter GoodmanH. Goodman,61,2025,COL,96,366,52,102,20,4,20,23,3,106,1,2,393,190,44,0,1,0,14,.279,.326,.519,.845,61,15,.361,120,9.1
,Vladimir Guerrero Jr.V. Guerrero Jr.,58,2025,TOR,110,411,72,120,24,0,16,67,6,66,5,2,486,192,40,0,2,7,10,.292,.397,.467,.864,81,24,.375,143,24.5
,George SpringerG. Springer,57,2025,TOR,101,344,66,100,18,1,18,51,3,76,12,0,402,174,37,0,4,1,10,.291,.383,.506,.889,70,22.5,.383,149,22.9
,Addison BargerA. Barger,52,2025,TOR,88,307,48,80,25,1,16,22,2,82,3,1,331,155,42,0,0,4,3,.261,.314,.505,.819,47,8.8,.346,124,9.1
,Alejandro KirkA. Kirk,47,2025,TOR,88,312,27,95,13,0,7,29,1,34,0,0,346,129,20,0,4,2,8,.304,.361,.413,.775,47,6.9,.338,118,7.3
,Nathan LukesN. Lukes,42,2025,TOR,86,235,35,59,8,0,9,30,2,34,1,2,274,94,17,6,1,2,8,.251,.340,.400,.740,35,2.5,.325,109,2.8
,Mickey MoniakM. Moniak,42,2025,COL,92,279,42,76,13,6,16,18,2,74,5,2,301,149,35,0,2,1,1,.272,.319,.534,.853,47,11.4,.360,119,6.8
,Jordan BeckJ. Beck,40,2025,COL,98,362,49,100,19,5,13,30,3,110,12,7,396,168,37,0,1,0,7,.276,.336,.464,.800,57,10.4,.346,110,4.5
,Ryan McMahonR. McMahon,35,2025,COL,100,350,42,76,15,1,16,49,1,127,2,1,401,141,32,0,1,1,4,.217,.314,.403,.717,47,0.5,.315,88,-5.5
,Brenton DoyleB. Doyle,34,2025,COL,91,338,40,76,13,2,8,23,0,95,10,1,364,117,23,1,2,0,8,.225,.273,.346,.619,30,-12.2,.272,58,-17.7
,Michael TogliaM. Toglia,32,2025,COL,85,299,22,58,15,1,11,27,1,126,3,0,329,108,27,0,2,2,7,.194,.261,.361,.623,27,-11.5,.270,57,-16.4
,Ernie ClementE. Clement,32,2025,TOR,110,379,53,105,21,1,5,20,2,42,3,3,411,143,27,5,5,1,9,.277,.313,.377,.690,44,-4.3,.301,92,-3.8
,Andrés GiménezA. Giménez,23,2025,TOR,61,211,26,46,7,0,5,16,9,39,10,1,238,68,12,1,1,0,3,.218,.300,.322,.622,22,-6.2,.281,79,-5.9
,Kyle FarmerK. Farmer,22,2025,COL,74,226,18,49,14,0,5,11,4,53,0,1,242,78,19,0,1,0,8,.217,.264,.345,.610,19,-8.9,.268,56,-12.5
,Thairo EstradaT. Estrada,21,2025,COL,36,144,14,38,8,0,3,5,2,24,1,3,154,55,11,0,3,0,5,.264,.292,.382,.674,15,-2.7,.292,72,-5
,Myles StrawM. Straw,21,2025,TOR,92,198,34,50,11,0,2,12,1,33,8,1,220,67,13,8,1,0,5,.253,.297,.338,.636,20,-5.7,.281,79,-5.5
,Tyler FreemanT. Freeman,21,2025,COL,66,207,29,63,16,1,1,23,6,21,12,5,240,84,18,0,4,0,7,.304,.383,.406,.789,35,6.9,.349,112,3.3
,Daulton VarshoD. Varsho,20,2025,TOR,25,95,14,19,5,1,8,5,0,33,1,0,103,50,14,0,3,1,0,.200,.233,.526,.759,12,-0.4,.308,97,-0.3
,Anthony SantanderA. Santander,18,2025,TOR,50,184,14,33,5,0,6,24,0,55,0,0,209,56,11,0,1,1,6,.179,.273,.304,.577,15,-9.1,.259,64,-8.9
,Ezequiel TovarE. Tovar,17,2025,COL,44,174,25,47,11,2,6,10,1,39,3,2,188,80,19,3,0,0,2,.270,.314,.460,.773,25,3,.334,101,0.2
,Tyler HeinemanT. Heineman,16,2025,TOR,43,105,20,35,7,1,3,8,5,23,2,0,123,53,11,3,2,0,1,.333,.400,.505,.905,22,7.7,.391,154,7.8
,Davis SchneiderD. Schneider,15,2025,TOR,46,101,18,22,3,0,5,21,2,32,1,1,124,40,8,0,0,0,3,.218,.363,.396,.759,17,2.8,.342,120,2.9
,Ryan RitterR. Ritter,12,2025,COL,31,101,13,24,4,2,1,7,1,35,1,0,113,35,7,3,1,0,3,.238,.291,.347,.637,10,-3,.281,64,-4.7
,Braxton FulfordB. Fulford,11,2025,COL,14,40,4,10,2,1,1,1,0,18,1,0,42,17,4,0,1,0,0,.250,.262,.425,.687,4,-0.8,.289,70,-1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
