PLAYER,TEAM,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Kyle Filipowski,UTA,3,28.6,29.3,10.7,19.0,0.561,3.0,7.7,0.391,5.0,8.0,0.625,1.3,6.3,7.7,2.3,0.3,0.7,2.3,6.0
Drew Timme,BRK,3,30.7,25.3,10.3,18.7,0.554,1.0,4.7,0.214,3.7,5.7,0.647,2.3,5.7,8.0,2.7,1.0,0.7,1.7,2.7
Quenton Jackson,IND,1,25.8,24.0,8.0,10.0,0.8,1.0,1.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,4.0
Reed Sheppard,HOU,2,30.6,23.0,8.0,22.0,0.364,3.5,11.0,0.318,3.5,5.0,0.7,0.0,5.5,5.5,2.5,4.0,1.5,4.5,3.0
"Terrence Shannon, Jr.",MIN,3,29.3,22.7,6.7,14.0,0.476,3.3,8.7,0.385,6.0,6.3,0.947,0.7,5.3,6.0,5.0,1.7,0.0,3.3,2.3
Matas Buzelis,CHI,2,28.4,22.5,6.0,14.0,0.429,2.0,6.0,0.333,8.5,10.0,0.85,0.0,5.0,5.0,1.0,1.0,1.5,4.0,4.0
Jordan Miller,LAC,5,31.8,22.0,7.0,13.2,0.53,2.0,5.2,0.385,6.0,6.8,0.882,2.2,5.6,7.8,2.6,1.2,0.2,2.8,2.2
Ron Holland,DET,3,29.6,21.7,6.3,12.0,0.528,2.3,5.0,0.467,6.7,8.7,0.769,1.0,5.0,6.0,2.3,4.0,0.3,4.0,4.3
David Jones-Garcia,SAS,5,24.9,21.6,7.8,14.8,0.527,3.6,6.8,0.529,2.4,2.6,0.923,1.4,4.8,6.2,3.8,1.2,0.0,3.8,2.8
"Kevin McCullar, Jr.",NYK,2,27.8,21.5,7.5,14.5,0.517,1.0,5.0,0.2,5.5,6.0,0.917,2.0,3.0,5.0,2.0,1.5,0.0,4.5,5.5
Javon Freeman-Liberty,CHI,5,29.5,21.0,6.6,13.2,0.5,1.2,4.0,0.3,6.6,8.2,0.805,1.4,4.6,6.0,3.4,1.4,0.6,2.6,2.6
"Walter Clayton, Jr.",UTA,1,27.2,21.0,8.0,17.0,0.471,4.0,10.0,0.4,1.0,2.0,0.5,0.0,6.0,6.0,3.0,0.0,1.0,2.0,6.0
Chris Livingston,MIL,4,28.3,20.8,7.5,15.3,0.492,2.0,5.3,0.381,3.8,5.3,0.714,1.8,3.5,5.3,2.3,0.8,0.5,2.8,3.5
Cooper Flagg,DAL,2,31.4,20.5,7.5,21.0,0.357,1.5,7.0,0.214,4.0,7.0,0.571,0.0,5.0,5.0,2.5,1.5,1.0,1.5,1.5
Cody Williams,UTA,5,31.7,20.4,7.6,16.4,0.463,2.6,7.6,0.342,2.6,3.6,0.722,0.4,4.0,4.4,2.8,2.2,0.4,2.2,2.4
Ajay Mitchell,OKC,3,27.3,20.0,6.3,12.3,0.514,1.3,3.7,0.364,6.0,7.3,0.818,1.0,5.0,6.0,4.3,1.7,0.7,4.7,3.3
Jaylon Tyson,CLE,3,29.6,19.7,6.3,15.7,0.404,2.7,7.7,0.348,4.3,5.3,0.813,2.3,3.7,6.0,6.7,1.3,1.3,4.0,4.3
Nae'qwan Tomlin,CLE,5,26.3,19.6,7.6,15.2,0.5,2.0,6.0,0.333,2.4,2.8,0.857,5.0,3.2,8.2,3.4,2.2,0.8,3.2,4.4
Kobe Bufkin,ATL,4,26.5,19.5,5.5,15.5,0.355,1.8,6.8,0.259,6.8,7.0,0.964,0.3,5.0,5.3,4.3,1.0,0.8,3.3,4.8
Tre Johnson,WAS,2,27.5,19.5,7.0,12.0,0.583,2.5,5.5,0.455,3.0,5.0,0.6,1.0,2.0,3.0,1.5,1.0,0.0,2.5,1.5
A.J. Lawson,TOR,4,23.9,18.5,5.3,10.5,0.5,2.5,5.5,0.455,5.5,7.3,0.759,1.0,4.3,5.3,3.0,1.8,0.8,2.0,1.8
Tristan Da Silva,ORL,2,28.1,18.5,7.0,14.0,0.5,2.5,6.5,0.385,2.0,2.5,0.8,1.5,4.5,6.0,3.0,1.0,1.0,4.5,5.0
Isaac Jones,SAC,6,26.3,18.3,7.0,10.8,0.646,0.5,1.5,0.333,3.8,4.7,0.821,2.5,4.2,6.7,1.7,0.3,0.7,1.8,2.5
Kennedy Chandler,HOU,5,31.1,18.2,6.2,16.0,0.388,1.4,5.0,0.28,4.4,7.2,0.611,1.0,1.6,2.6,4.8,1.8,0.6,2.6,2.4
Liam McNeeley,CHA,2,29.1,18.0,5.5,13.5,0.407,3.0,7.0,0.429,4.0,4.5,0.889,3.0,5.5,8.5,4.0,0.5,0.0,1.5,1.5
Pelle Larsson,MIA,3,29.0,18.0,4.3,10.0,0.433,1.3,4.0,0.333,8.0,9.7,0.828,0.0,2.3,2.3,3.7,0.7,0.0,4.3,2.3
Cam Spencer,MEM,4,27.6,17.8,5.5,12.8,0.431,2.8,7.3,0.379,4.0,4.5,0.889,1.5,1.8,3.3,2.5,0.8,0.0,2.8,4.5
Cole Swider,LAL,5,29.7,17.6,6.0,13.2,0.455,3.6,8.8,0.409,2.0,3.0,0.667,1.2,5.8,7.0,1.6,1.2,0.2,1.6,2.8
Myron Gardner,MIA,2,24.6,17.5,5.5,12.5,0.44,3.0,4.5,0.667,3.5,3.5,1.0,0.5,4.0,4.5,2.0,2.5,0.5,2.0,5.5
Jeremiah Fears,NOP,5,27.0,17.4,6.0,15.0,0.4,0.8,4.4,0.182,4.6,6.4,0.719,1.0,2.8,3.8,2.6,1.4,0.2,5.0,4.0
Kel'el Ware,MIA,3,28.9,17.3,6.7,12.7,0.526,1.7,2.7,0.625,2.3,3.7,0.636,2.3,7.7,10.0,0.7,1.3,1.7,1.0,3.3
Rob Dillingham,MIN,4,29.3,17.3,6.5,16.5,0.394,1.5,4.5,0.333,2.8,3.0,0.917,1.0,2.8,3.8,6.5,1.8,0.0,4.3,2.5
Tyrese Proctor,CLE,4,27.5,17.3,5.5,15.3,0.361,2.5,8.5,0.294,3.8,4.5,0.833,0.5,2.5,3.0,3.8,1.3,0.3,1.5,2.5
Leonard Miller,MIN,4,25.6,17.0,6.8,13.5,0.5,0.8,4.5,0.167,2.8,4.0,0.688,2.0,6.8,8.8,0.8,1.3,1.5,2.0,3.5
Javon Small,MEM,2,23.2,17.0,5.0,10.5,0.476,3.0,6.0,0.5,4.0,4.5,0.889,0.5,4.0,4.5,7.0,0.5,0.0,1.0,1.0
Kyshawn George,WAS,2,31.5,17.0,7.0,17.0,0.412,2.0,8.5,0.235,1.0,1.5,0.667,1.5,6.5,8.0,4.5,4.0,0.0,3.5,5.0
Reyne Smith,WAS,1,26.4,17.0,6.0,15.0,0.4,5.0,13.0,0.385,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0
Quincy Olivari,BRK,3,25.6,16.7,4.0,11.3,0.353,1.3,6.7,0.2,7.3,9.7,0.759,1.3,2.0,3.3,2.7,1.0,0.0,3.3,4.0
Enrique Freeman,IND,5,27.8,16.6,5.8,8.0,0.725,1.0,1.8,0.556,4.0,6.2,0.645,2.8,6.8,9.6,2.0,0.8,1.8,2.0,3.6
Jamaree Bouyea,MIL,2,23.4,16.5,6.5,14.5,0.448,3.5,7.0,0.5,0.0,0.0,0.0,1.0,2.5,3.5,4.0,2.5,0.5,0.0,1.5
