,NAME,APG,SEASON,TM,GP,MPG,PPG,RPG,SPG,BPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
,Skylar DigginsS. Diggins,5.9,2025,SEA,27,32.0,17.0,2.8,1.1,0.8,5.7,13.3,42.8,1.6,3.9,40.4,4.0,5.1,78.8,54.5,0.5,2.3,2.3,863,458,76,158,29,22,63,67,+163
,Chelsea GrayC. Gray,4.5,2025,LVA,28,29.9,11.1,3.9,1.2,0.7,3.7,8.9,41.9,1.4,4.0,35.7,2.3,2.5,91.3,55.9,0.6,3.3,3.0,836,311,109,127,34,19,84,56,-8
,Gabby WilliamsG. Williams,4.5,2025,SEA,28,32.8,12.9,4.6,2.6,0.5,5.0,11.4,43.9,1.4,4.3,31.9,1.5,1.8,85.7,52.9,0.6,4.0,2.1,918,360,129,127,73,13,58,41,+160
,Jackie YoungJ. Young,4.4,2025,LVA,28,29.4,16.6,4.1,1.2,0.3,5.7,12.7,44.8,1.5,4.9,31.6,3.7,4.0,92.0,57.4,1.2,3.0,2.4,824,464,116,124,34,9,66,75,+38
,Erica WheelerE. Wheeler,3.8,2025,SEA,28,27.5,11.0,3.2,1.1,0.3,4.1,10.1,40.5,1.6,4.5,36.5,1.2,1.4,84.6,51.3,0.5,2.7,1.8,769,309,89,106,31,8,51,70,+111
,A'ja WilsonA. Wilson,3.4,2025,LVA,24,30.0,21.6,9.0,1.6,2.3,7.6,15.6,48.9,0.4,1.3,28.1,6.0,7.2,83.2,57.7,1.6,7.3,2.4,721,519,215,81,38,56,57,48,+74
,Nneka OgwumikeN. Ogwumike,2.3,2025,SEA,28,30.8,18.1,7.3,1.1,0.6,7.3,14.0,52.2,1.3,3.7,35.0,2.2,2.6,84.7,59.7,1.3,5.9,1.9,862,507,203,63,32,16,52,57,+137
,Ezi MagbegorE. Magbegor,2.2,2025,SEA,28,27.5,8.4,6.4,0.8,2.3,3.4,6.9,49.0,0.2,1.0,17.2,1.5,2.2,67.7,53.6,2.2,4.3,0.9,769,235,180,61,21,64,25,79,+101
,Dana EvansD. Evans,2.0,2025,LVA,28,17.9,6.4,1.1,0.5,0.1,2.3,6.3,36.2,0.7,2.2,31.1,1.2,1.6,73.3,45.7,0.2,0.9,0.8,500,180,30,56,13,3,23,36,-75
,Jewell LoydJ. Loyd,1.9,2025,LVA,28,28.5,10.8,3.8,0.9,0.1,3.7,9.8,37.5,1.9,5.4,35.1,1.5,1.8,84.0,50.7,1.4,2.4,1.3,798,301,106,52,26,4,37,57,-53
,Alysha ClarkA. Clark,1.0,2025,SEA,26,18.5,3.7,2.4,0.7,0.1,1.3,3.4,38.6,0.6,2.0,30.2,0.4,0.5,84.6,50.7,0.3,2.1,0.7,480,95,63,27,19,2,17,53,-45
