teamName,playerName,position,estReturn,returnDate,status
Unknown,Courtney Vandersloot,G,May 1,Out,"Jun 24: The Sky announced Tuesday that Vandersloot (knee) had successful ACL surgery, Kareem Copeland of The Washington Post reports."
Unknown,Jaelyn Brown,G,Jul 13,Out,"Jul 11: Brown (illness) will not play Friday against the Storm, Deyscha Smith of The Next Hoops reports."
Unknown,Marina Mabrey,G,Jul 24,Out,"Jul 11: Mabrey (knee) is expected to miss three more games for the Sun, Gabby Alfveby of The Next Hoops reports."
Unknown,Arike Ogunbowale,G,Jul 13,Out,"Jul 11: Wings general manager Curt Miller said Ogunbowale (thumb) is probable for Sunday's game against the Fever, Myah Taylor of Dallas News reports."
Unknown,Maddy Siegrist,F,Jul 13,Out,"Jul 11: Siegrist (knee) was not spotted at Friday's practice, Melissa Triebwasser of Winsidr reports."
Unknown,DiJonai Carrington,G,Jul 13,Out,"Jul 11: Carrington (ribs) was not a full participant at Friday's practice, Melissa Triebwasser of Winsidr reports."
Unknown,Tyasha Harris,G,May 1,Out,"Jun 10: Harris (knee) will miss the rest of the 2025 season after undergoing a procedure on her left knee, Grant Afseth of The Next reports."
Unknown,A'ja Wilson,C,Jul 12,Day-To-Day,"Jul 11: Wilson (wrist) is questionable for Saturday's game against the Valkyries, Callie Fin of the Las Vegas Review-Journal reports."
Unknown,Cheyenne Parker-Tyus,F,Aug 15,Out,
Unknown,Cameron Brink,F,Jul 13,Out,Jul 9: Brink (knee) won't play in Thursday's game against Minnesota.
Unknown,Karlie Samuelson,G,May 1,Out,"Jul 4: Samuelson (foot) will undergo left foot surgery and will miss the remainder of the 2025 season, the team announced Friday."
Unknown,Natasha Cloud,G,Jul 13,Day-To-Day,"Jul 11: Cloud (hip) was limited to individual work at Friday's practice, Myles Ehrlich of Winsidr.com reports."
Unknown,Isabelle Harrison,F,Jul 13,Day-To-Day,"Jul 11: Harrison (knee) participated in Friday's practice, Myles Ehrlich of Winsidr.com reports."
Unknown,Jonquel Jones,C,Jul 22,Out,"Jul 5: Jones (ankle) is not expected to return until after the All-Star break, Madeline Kenney of the New York Post reports."
Unknown,Annika Soltau,F,May 1,Out,
Unknown,Lexi Held,G,Jul 14,Out,
Unknown,Satou Sabally,F,Jul 14,Day-To-Day,
Unknown,Kahleah Copper,G,Jul 14,Day-To-Day,
Unknown,Katie Lou Samuelson,F,May 1,Out,
Unknown,Georgia Amoore,G,May 1,Out,"May 16: Amoore underwent successful surgery to repair her right ACL injury, the Mystics announced Friday."
